Title:,"Time Series, Area-Averaged of Chlorophyll a concentration 8-daily 4 km [MODIS-Aqua MODISA_L3m_CHL_8d_4km ()"
2016-03-05 00:15:01,1.17742229
2016-03-13 00:30:00,1.38357186
2016-03-21 00:15:01,1.36090744
2016-03-29 00:30:00,7.96140194
2016-04-06 00:15:01,11.0679245
2016-04-14 00:55:01,4.92836523
2016-04-22 00:15:00,8.90662861
2016-04-30 00:55:01,8.67239475
2016-05-08 00:15:00,5.79778528
2016-05-16 00:55:01,2.74533987
2016-05-24 00:15:00,2.18743038
2016-06-01 00:55:01,2.15094233
2016-06-09 00:15:00,0.710394442
2016-06-17 00:55:01,0.543608963
2016-06-25 00:15:00,1.69670904
2016-07-03 00:55:01,-32767
2016-07-11 00:15:00,-32767
2016-07-19 00:55:01,1.96581435
2016-07-27 00:15:00,6.20158005
2016-08-04 00:55:00,2.81515956
2016-08-12 00:15:00,14.7386198
2016-08-20 00:55:00,3.52572489
2016-08-28 00:15:01,0.714147866
2016-09-05 00:30:01,1.57624662
2016-09-13 00:15:01,1.72883904
2016-09-21 00:30:01,1.06691134
2016-09-29 00:15:01,9.66423702
2016-10-07 00:30:01,6.01582384
2016-10-15 00:15:01,-32767
2016-10-23 00:30:01,1.43315566
2016-10-31 00:15:01,0.774074614
2016-11-08 00:30:01,-32767
2016-11-16 00:15:00,-32767
2016-11-24 00:30:01,-32767
2016-12-02 00:15:00,-32767
2016-12-10 00:30:00,-32767
2016-12-18 00:15:01,-32767
2016-12-26 00:30:00,-32767
2017-01-01 00:25:01,-32767
2017-01-09 00:40:01,-32767
2017-01-17 00:25:01,-32767
2017-01-25 00:40:01,1.65506399
2017-02-02 00:25:01,2.6340847
2017-02-10 00:40:01,1.26952136
2017-02-18 00:25:00,2.13368416
2017-02-26 00:40:01,5.42614508
2017-03-06 00:25:00,-32767
2017-03-14 00:45:01,0.733075023
2017-03-22 00:25:00,-32767
2017-03-30 00:45:01,0.509004354
2017-04-07 00:25:00,1.2232331
2017-04-15 00:45:01,1.82141638
2017-04-23 00:25:00,5.27046824
2017-05-01 01:00:00,1.17123067
2017-05-09 00:25:00,2.36511302
2017-05-17 01:00:01,-32767
2017-05-25 00:25:00,9.70608425
2017-06-02 01:00:01,2.19557834
2017-06-10 00:25:00,-32767
2017-06-18 01:00:01,1.78165138
2017-06-26 00:25:00,4.36214161
2017-07-04 01:00:01,1.68381858
2017-07-12 00:25:00,1.78192246
2017-07-20 01:00:00,1.22284126
2017-07-28 00:25:01,2.26284099
2017-08-05 01:00:00,-32767
2017-08-13 00:25:01,-32767
2017-08-21 01:00:00,0.798741281
2017-08-29 00:25:01,2.20050955
2017-09-06 00:45:01,6.81954336
2017-09-14 00:25:01,13.3671045
2017-09-22 00:40:01,3.07958579
2017-09-30 00:25:01,7.34547138
2017-10-16 00:25:01,1.4280262
2017-10-24 00:40:01,7.75494766
2017-11-01 00:25:00,4.6678586
2017-11-09 00:40:01,0.802239656
2017-11-17 00:25:00,-32767
2017-11-25 00:40:01,-32767
2017-12-03 00:25:00,-32767
2017-12-11 00:40:00,-32767
2017-12-19 00:25:01,-32767
2017-12-27 00:40:01,-32767
2018-01-01 00:00:01,-32767
2018-01-09 00:10:01,-32767
2018-01-17 00:00:01,-32767
2018-01-25 00:10:01,-32767
2018-02-02 00:00:00,3.22699523
2018-02-10 00:10:01,13.7320337
2018-02-18 00:00:00,3.79093552
2018-02-26 00:10:01,1.70036578
2018-03-06 00:00:00,1.47839165
2018-03-14 00:10:00,1.70594144
2018-03-22 00:00:00,-32767
2018-04-07 00:00:00,2.29326224
2018-04-15 00:40:01,1.02555084
2018-04-23 00:00:00,11.8772459
2018-05-01 00:40:01,12.2347584
2018-05-09 00:00:00,1.83705378
2018-05-17 00:40:01,1.92307281
2018-05-25 00:00:00,2.12944031
2018-06-02 00:40:01,0.899485767
2018-06-10 00:00:01,4.04764748
2018-06-18 00:40:01,3.42400694
2018-06-26 00:00:01,2.59912133
2018-07-04 00:40:01,1.77033722
2018-07-12 00:00:01,7.59598494
2018-07-20 00:40:01,-32767
2018-07-28 00:00:01,1.52444124
2018-08-05 00:40:01,8.58574963
2018-08-13 00:00:00,3.38672543
2018-08-21 00:40:01,3.85018778
2018-08-29 00:00:00,3.89067388
2018-09-06 00:15:00,0.920611262
2018-09-14 00:00:00,4.36455822
2018-09-22 00:10:00,9.34634686
2018-09-30 00:00:00,19.2779083
2018-10-08 00:10:00,4.17625809
2018-10-16 00:00:00,3.42483735
2018-10-24 00:10:00,1.57286584
2018-11-01 00:00:01,-32767
2018-11-09 00:10:00,-32767
2018-11-17 00:00:01,-32767
2018-11-25 00:10:01,-32767
2018-12-03 00:00:01,-32767
2018-12-11 00:10:01,-32767
2018-12-19 00:00:01,-32767
2018-12-27 00:10:01,-32767
2019-01-01 00:30:00,-32767
2019-01-09 00:15:01,-32767
2019-01-17 00:30:00,-32767
2019-01-25 00:15:01,-32767
2019-02-02 00:30:01,31.0090656
2019-02-10 00:15:01,5.31776571
2019-02-18 00:30:01,2.52309465
2019-02-26 00:15:01,1.95688403
2019-03-06 00:30:01,1.10013759
2019-03-14 00:15:00,2.40240359
2019-03-22 00:30:01,3.68520427
2019-03-30 00:15:00,23.4922371
2019-04-07 00:30:01,-32767
2019-04-15 00:15:00,1.24339414
2019-04-23 00:55:00,18.4421196
2019-05-01 00:15:00,13.7930937
2019-05-09 00:55:00,5.2841568
2019-05-17 00:15:00,1.14106572
2019-05-25 00:55:01,1.25017607
2019-06-02 00:15:00,2.70196199
2019-06-10 00:55:01,1.89838314
2019-06-18 00:15:00,3.03008819
2019-06-26 00:55:01,1.18198705
2019-07-04 00:15:00,1.05008245
2019-07-12 00:55:01,1.55765557
2019-07-20 00:15:00,-32767
2019-07-28 00:55:01,1.40534508
2019-08-05 00:15:00,-32767
2019-08-13 00:55:01,3.65045118
2019-08-21 00:15:00,2.59923983
2019-08-29 00:55:01,1.33158696
2019-09-06 00:15:01,-32767
2019-09-14 00:30:00,1.98033094
2019-09-22 00:15:01,8.53279781
2019-09-30 00:30:00,2.41834211
2019-10-08 00:15:01,10.4216681
2019-10-16 00:30:00,0.576032519
2019-10-24 00:15:01,4.96957493
2019-11-01 00:30:00,-32767
2019-11-09 00:15:01,-32767
2019-11-17 00:30:01,-32767
2019-11-25 00:15:01,-32767
2019-12-03 00:30:01,-32767
2019-12-11 00:15:00,-32767
2019-12-19 00:30:00,-32767
2019-12-27 00:15:01,-32767
2020-01-01 00:00:00,-32767
2020-01-09 00:50:01,-32767
2020-01-17 00:00:01,-32767
2020-01-25 00:50:01,-32767
2020-02-02 00:00:01,2.82154036
2020-02-10 00:50:01,1.75466394
2020-02-18 00:00:01,-32767
2020-02-26 00:50:00,-32767
2020-03-05 00:00:00,0.85090524
2020-03-13 00:00:00,3.56189156
2020-03-21 00:00:00,30.5076389
2020-03-29 00:00:00,11.4300203
2020-04-06 00:30:01,12.3292065
2020-04-14 00:00:00,-32767
2020-04-22 00:30:01,-32767
2020-04-30 00:00:00,2.50403714
2020-05-08 00:30:01,11.0479403
2020-05-16 00:00:00,3.24872231
2020-05-24 00:30:01,3.87729692
2020-06-01 00:00:01,1.43664718
2020-06-09 00:30:01,2.31906176
2020-06-17 00:00:01,-32767
2020-06-25 00:30:01,23.0391331
2020-07-03 00:00:01,2.78782368
2020-07-11 00:30:01,2.78910637
2020-07-19 00:00:01,4.14177942
2020-07-27 00:30:00,3.04485989
2020-08-04 00:00:01,3.21242046
2020-08-12 00:30:00,1.55275381
2020-08-20 01:05:01,-32767
2020-08-28 00:41:06,-32767
2020-09-05 00:00:01,7.16377497
2020-09-13 00:00:01,-32767
2020-09-21 00:00:01,1.72142768
2020-09-29 00:00:01,4.93770075
2020-10-07 00:00:01,-32767
2020-10-15 00:00:01,2.31919646
2020-10-23 00:50:01,10.7666454
2020-10-31 00:00:00,-32767
2020-11-08 00:50:00,13.4389706
2020-11-16 00:00:00,-32767
2020-11-24 00:50:01,-32767
2020-12-02 00:00:01,-32767
2020-12-10 00:50:01,-32767
2020-12-18 00:00:01,-32767
2020-12-26 00:50:01,-32767
2021-01-01 00:10:01,-32767
2021-01-09 00:00:00,-32767
2021-01-17 00:10:00,-32767
2021-01-25 00:00:01,-32767
2021-02-02 00:10:01,4.96797085
2021-02-10 00:00:01,2.92476249
2021-02-18 00:10:01,-32767
2021-02-26 00:00:01,-32767
2021-03-06 00:10:01,2.64636517
2021-03-14 00:00:01,3.20309114
2021-03-22 00:10:01,1.6603173
2021-03-30 00:00:01,2.0855701
2021-04-07 00:15:01,16.8540211
2021-04-15 00:00:00,8.69219494
2021-04-23 00:40:00,3.54325366
2021-05-01 00:00:00,6.32804251
2021-05-09 00:40:00,14.0599394
2021-05-17 00:00:00,13.151782
2021-05-25 00:40:01,-32767
2021-06-02 00:00:00,0.971501887
2021-06-10 00:40:01,1.72822118
2021-06-18 00:00:01,10.3289757
2021-06-26 00:40:01,4.66197681
2021-07-04 00:00:01,2.4125073
2021-07-12 00:40:01,1.34837615
2021-07-20 00:00:01,-32767
2021-07-28 00:40:01,-32767
2021-08-05 00:00:01,6.57902956
2021-08-13 00:40:01,16.7564926
2021-08-21 00:00:01,-32767
2021-08-29 00:40:01,2.20490599
2021-09-06 00:00:01,-32767
2021-09-14 00:10:01,0.99320811
2021-09-22 00:00:01,1.70265472
2021-09-30 00:10:01,-32767
2021-10-08 00:00:01,-32767
2021-10-16 00:10:01,3.82797146
2021-10-24 00:00:01,14.9913034
2021-11-01 00:00:00,-32767
2021-11-09 00:00:00,-32767
2021-11-17 00:00:00,-32767
2021-11-25 00:00:00,-32767
2021-12-03 00:00:00,-32767
2021-12-11 00:00:00,-32767
2021-12-19 00:00:00,-32767
2021-12-27 00:00:00,-32767
2022-01-01 00:00:00,-32767
2022-01-09 00:00:00,-32767
2022-01-17 00:00:00,-32767
2022-01-25 00:00:00,6.95229721
