"Date","Quadrat No.","Meter point","Sampler","Recorder","SiteHeightYear","SUBSTRATE-ROCK","SUBSTRATE-SAND","WATER","Boulder","Cobble","Pebble","SAND SCOUR","Bedrock","Site","Zone","Year","Shore_height_cm"
2011-08-13,"6",13,"Patrick","Katrina","North Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2011",287
2011-08-13,"7",15,"Laura","Noriko","North Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2011",276
2011-08-13,"8",17,"Sandra","Sandra","North Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2011",303
2011-08-13,"9",21,"Laura","Noriko","North Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2011",230
2011-08-13,"10",24,"Sandra","Sandra","North Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2011",274
2012-07-04,"1",5,"JJ","LA","North Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2012",319
2012-07-04,"2",8,"LA","JJ","North Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2012",379
2012-07-04,"3",9,"JJ","LA","North Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2012",291
2012-07-04,"4",11,"LA","JJ","North Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2012",346
2012-07-04,"5",15,"SCL","SCL","North Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2012",276
2012-07-04,"6",17,"PTM","PTM","North Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2012",303
2012-07-04,"7",19,"SCL","SCL","North Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2012",201
2012-07-04,"8",20,"PTM","PTM","North Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2012",219
2012-07-04,"9",21,"JJ","LA","North Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2012",230
2012-07-04,"10",22,"LA","JJ","North Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"North Beach","HIGH","2012",224
2011-08-14,"1",3,"Sandra","Sandra","Fifth Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2011",137
2011-08-14,"2",4,"Patrick","Katrina","Fifth Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2011",134
2011-08-14,"3",7,"Laura","Laura","Fifth Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2011",166
2011-08-14,"4",8,"Patrick","Katrina","Fifth Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2011",115
2011-08-14,"5",10,"Sandra","Sandra","Fifth Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2011",124
2011-08-14,"6",13,"Noriko","Noriko","Fifth Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2011",137
2011-08-14,"7",17,"Patrick","Katrina","Fifth Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2011",169
2011-08-14,"8",19,"Sandra","Sandra","Fifth Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2011",223
2011-08-14,"9",23,"Patrick","Katrina","Fifth Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2011",202
2011-08-14,"10",24,"Patrick","Katrina","Fifth Beach LOW 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2011",211
2012-07-05,"1",1,"SL","SL","Fifth Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2012",166
2012-07-05,"2",2,"SL","SL","Fifth Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2012",152
2012-07-05,"3",3,"SL","SL","Fifth Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2012",137
2012-07-05,"4",4,"SL","SL","Fifth Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2012",134
2012-07-05,"5",11,"PTM","JJ","Fifth Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2012",151
2012-07-05,"6",13,"PTM","JJ","Fifth Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2012",137
2012-07-05,"7",15,"PTM","JJ","Fifth Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2012",136
2012-07-05,"8",16,"LA","JJ","Fifth Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2012",152
2012-07-05,"9",22,"PTM","JJ","Fifth Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2012",200
2012-07-05,"10",24,"SL","SL","Fifth Beach LOW 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","LOW","2012",211
2011-08-14,"1",3,"Sandra","Sandra","Fifth Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2011",198
2011-08-14,"2",7,"Patrick","Katrina","Fifth Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2011",201
2011-08-14,"3",10,"Laura","Noriko","Fifth Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2011",209
2011-08-14,"4",13,"Sandra","Sandra","Fifth Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2011",234
2011-08-14,"5",14,"Patrick","Katrina","Fifth Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2011",224
2011-08-14,"6",15,"Laura","Noriko","Fifth Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2011",170
2011-08-14,"7",16,"Laura","Noriko","Fifth Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2011",222
2011-08-14,"8",19,"Patrick","Katrina","Fifth Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2011",231
2011-08-14,"9",20,"Sandra","Sandra","Fifth Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2011",231
2011-08-14,"10",26,"Patrick","Katrina","Fifth Beach MID 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2011",259
2012-07-05,"1",2,"LA","JJ","Fifth Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2012",236
2012-07-05,"2",4,"JJ","LA","Fifth Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2012",221
2012-07-05,"3",8,"PTM","PTM","Fifth Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2012",209
2012-07-05,"4",9,"PTM","PTM","Fifth Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2012",203
2012-07-05,"5",10,"PTM","PTM","Fifth Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2012",209
2012-07-05,"6",12,"SL","SL","Fifth Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2012",234
2012-07-05,"7",14,"SL","SL","Fifth Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2012",224
2012-07-05,"8",23,"LA","JJ","Fifth Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2012",242
2012-07-05,"9",26,"JJ","LA","Fifth Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2012",259
2012-07-05,"10",28,"LA","JJ","Fifth Beach MID 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","MID","2012",NA
2011-08-14,"1",2,"Sandra","Sandra","Fifth Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2011",350
2011-08-14,"2",6,"Laura","Noriko","Fifth Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2011",280
2011-08-14,"3",7,"Sandra","Sandra","Fifth Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2011",248
2011-08-14,"4",8,"Patrick","Katrina","Fifth Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2011",326
2011-08-14,"5",10,"Laura","Noriko","Fifth Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2011",305
2011-08-14,"6",13,"Patrick","Katrina","Fifth Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2011",311
2011-08-14,"7",14,"Sandra","Sandra","Fifth Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2011",278
2011-08-14,"8",20,"Laura","Noriko","Fifth Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2011",312
2011-08-14,"9",24,"Patrick","Katrina","Fifth Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2011",377
2011-08-14,"10",25,"Patrick","Katrina","Fifth Beach HIGH 2011",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2011",369
2012-07-05,"1",2,"JJ","LA","Fifth Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2012",350
2012-07-05,"2",10,"SL","SL","Fifth Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2012",305
2012-07-05,"3",14,"PTM","PTM","Fifth Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2012",278
2012-07-05,"4",17,"PTM","PTM","Fifth Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2012",338
2012-07-05,"5",18,"SL","SL","Fifth Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2012",313
2012-07-05,"6",21,"LA","JJ","Fifth Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2012",319
2012-07-05,"7",23,"JJ","LA","Fifth Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2012",356
2012-07-05,"8",24,"LA","JJ","Fifth Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2012",377
2012-07-05,"9",25,"JJ","LA","Fifth Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2012",369
2012-07-05,"10",26,"PTM","LA","Fifth Beach HIGH 2012",NA,NA,NA,NA,NA,NA,NA,NA,"Fifth Beach","HIGH","2012",335
2013-05-23,"1",4,"SCL","SCL","West Beach HIGH 2013","100","0.5","0",NA,NA,NA,NA,NA,"West Beach","HIGH","2013",240
2013-05-23,"2",15,"SS","KH","West Beach HIGH 2013","100","0.5","0",NA,NA,NA,NA,NA,"West Beach","HIGH","2013",242
2013-05-23,"3",16,"SS","KH","West Beach HIGH 2013","100","1","0",NA,NA,NA,NA,NA,"West Beach","HIGH","2013",260
2013-05-23,"4",17,"SCL","SCL","West Beach HIGH 2013","100","1","0",NA,NA,NA,NA,NA,"West Beach","HIGH","2013",234
2013-05-24,"5",19,"KH","SS","West Beach HIGH 2013","100","0.5","0",NA,NA,NA,NA,NA,"West Beach","HIGH","2013",240
2013-05-24,"6",27,"KH","SS","West Beach HIGH 2013",NA,NA,NA,NA,NA,NA,NA,NA,"West Beach","HIGH","2013",223
2013-05-24,"7",31,"SCL","SCL","West Beach HIGH 2013","100","0","1",NA,NA,NA,NA,NA,"West Beach","HIGH","2013",325
