Site,Zone,non.alga.flag,taxon,Abundance,rank,total,prop,csum
Fifth Beach,LOW,Algae,Salishia.firma,0.28125,39,123.5,0,0.93
Fifth Beach,LOW,Algae,Farlowia.mollis,0.275,40,123.5,0,0.93
Fifth Beach,LOW,Algae,Bossiella.sp..(crust),0.2625,41,123.5,0,0.93
Fifth Beach,LOW,Algae,Phyllospadix.torreyi,0.25,42,123.5,0,0.93
Fifth Beach,LOW,Algae,Ulva.fenestrata,0.25,43,123.5,0,0.94
Fifth Beach,LOW,Algae,Fucus.distichus,0.23125,44,123.5,0,0.94
Fifth Beach,LOW,Algae,Crusticorallina.muricata,0.225,45,123.5,0,0.94
Fifth Beach,LOW,Algae,Palmaria.mollis,0.225,46,123.5,0,0.94
Fifth Beach,LOW,Algae,Ahnfeltia.fastigiata,0.21875,47,123.5,0,0.94
Fifth Beach,LOW,Algae,Leathesia.marina,0.21875,48,123.5,0,0.95
Fifth Beach,LOW,Algae,Mazzaella.parvula,0.21875,49,123.5,0,0.95
Fifth Beach,LOW,Algae,Antithamnion.defectum,0.20625,50,123.5,0,0.95
Fifth Beach,LOW,Algae,Halosaccion.glandiforme,0.1875,51,123.5,0,0.95
Fifth Beach,LOW,Algae,Lithophyllum.sp..1,0.18125,52,123.5,0,0.95
Fifth Beach,LOW,Algae,Bossiella.sp.5.chiloensis,0.16875,53,123.5,0,0.95
Fifth Beach,LOW,Algae,Ralfsioid,0.16875,54,123.5,0,0.95
Fifth Beach,LOW,Algae,Wildmania.norrisii,0.16875,55,123.5,0,0.96
Fifth Beach,LOW,Algae,Cladophora.columbiana,0.15,56,123.5,0,0.96
Fifth Beach,LOW,Algae,Costaria.costata,0.1375,57,123.5,0,0.96
Fifth Beach,LOW,Algae,Desmarestia.aculeata,0.125,58,123.5,0,0.96
Fifth Beach,LOW,Algae,Bossiella.hakaiensis,0.11875,59,123.5,0,0.96
Fifth Beach,LOW,Algae,Laminaria.setchellii,0.1125,60,123.5,0,0.96
Fifth Beach,LOW,Algae,Prionitis.sternbergii,0.1125,61,123.5,0,0.96
Fifth Beach,LOW,Algae,Cumathamnion.decipiens,0.10625,62,123.5,0,0.96
Fifth Beach,LOW,Algae,Melanosiphon.intestinalis,0.1,63,123.5,0,0.96
Fifth Beach,LOW,Algae,Savoiea.robusta,0.09375,64,123.5,0,0.96
Fifth Beach,LOW,Algae,Bossiella.reptans,0.08125,65,123.5,0,0.97
Fifth Beach,LOW,Algae,Ceramium.pacificum,0.08125,66,123.5,0,0.97
Fifth Beach,LOW,Algae,Nemalion.helminthoides,0.08125,67,123.5,0,0.97
Fifth Beach,LOW,Algae,Lithophyllum.impressum,0.075,68,123.5,0,0.97
Fifth Beach,LOW,Algae,Odonthalia.floccosa.f..comosa,0.075,69,123.5,0,0.97
Fifth Beach,LOW,Algae,Acrosiphonia.coalita,0.0625,70,123.5,0,0.97
Fifth Beach,LOW,Algae,Lithothamnion.phymatodeum,0.0625,71,123.5,0,0.97
Fifth Beach,LOW,Algae,Schizymenia.pacifica,0.0625,72,123.5,0,0.97
Fifth Beach,LOW,Algae,Codium.fragile,0.05625,73,123.5,0,0.97
Fifth Beach,LOW,Algae,Colpomenia.bullosa,0.05625,74,123.5,0,0.97
Fifth Beach,LOW,Algae,Codium.setchellii,0.05,75,123.5,0,0.97
Fifth Beach,LOW,Algae,Corallina.frondescens,0.05,76,123.5,0,0.97
Fifth Beach,LOW,Algae,Johansenia.macmillanii,0.05,77,123.5,0,0.97
Fifth Beach,LOW,Algae,Cladophora.sericea,0.0375,78,123.5,0,0.97
Fifth Beach,LOW,Algae,Egregia.menziesii,0.0375,79,123.5,0,0.97
Fifth Beach,LOW,Algae,Elachista.fucicola,0.0375,80,123.5,0,0.97
Fifth Beach,LOW,Algae,Acrosiphonia.arcta,0.03125,81,123.5,0,0.97
Fifth Beach,LOW,Algae,Antithamnionella.pacifica,0.03125,82,123.5,0,0.97
Fifth Beach,LOW,Algae,Bossiella.flexulosa,0.03125,83,123.5,0,0.97
Fifth Beach,LOW,Algae,Lithophyllum.sp..2,0.03125,84,123.5,0,0.97
Fifth Beach,LOW,Algae,Mazzaella.parksii,0.03125,85,123.5,0,0.97
Fifth Beach,LOW,Algae,Neopolyporolithon.reclinatum,0.03125,86,123.5,0,0.97
Fifth Beach,LOW,Algae,Bossiella.plumosa,0.025,87,123.5,0,0.97
Fifth Beach,LOW,Algae,Peyssonnelia.sp.,0.025,88,123.5,0,0.97
Fifth Beach,LOW,Algae,Polysiphonia.hendryi.var..luxuriens,0.025,89,123.5,0,0.97
Fifth Beach,LOW,Algae,Pyropia.smithii,0.025,90,123.5,0,0.97
Fifth Beach,LOW,Algae,Colonial.Diatoms,0.01875,91,123.5,0,0.97
Fifth Beach,LOW,Algae,Colpomenia.peregrina,0.01875,92,123.5,0,0.97
Fifth Beach,LOW,Algae,Scytosiphon.dotyi,0.01875,93,123.5,0,0.98
Fifth Beach,LOW,Algae,Bossiella.sp.4.chiloensis,0.0125,94,123.5,0,0.98
Fifth Beach,LOW,Algae,Corallina.sp.,0.0125,95,123.5,0,0.98
Fifth Beach,LOW,Algae,Corallina.sp.1.frondescens,0.0125,96,123.5,0,0.98
Fifth Beach,LOW,Algae,Lithophyllum.sp.,0.0125,97,123.5,0,0.98
Fifth Beach,LOW,Algae,Lithothamnion.glaciale,0.0125,98,123.5,0,0.98
Fifth Beach,LOW,Algae,Phycodrys.sp.,0.0125,99,123.5,0,0.98
Fifth Beach,LOW,Algae,Polysiphonia.hendryi.var..gardneri,0.0125,100,123.5,0,0.98
Fifth Beach,LOW,Algae,Rhizoclonium.tortuosum,0.0125,101,123.5,0,0.98
Fifth Beach,LOW,Algae,Ulva.linza,0.0125,102,123.5,0,0.98
Fifth Beach,LOW,Algae,Unknown.crust,0.0125,103,123.5,0,0.98
Fifth Beach,LOW,Algae,Acrosiphonia.sp.,0.00625,104,123.5,0,0.98
Fifth Beach,LOW,Algae,Blidingia.minima,0.00625,105,123.5,0,0.98
Fifth Beach,LOW,Algae,Bossiella.californica,0.00625,106,123.5,0,0.98
Fifth Beach,LOW,Algae,Bossiella.pseudodichotoma,0.00625,107,123.5,0,0.98
Fifth Beach,LOW,Algae,Chiharaea.silvae,0.00625,108,123.5,0,0.98
Fifth Beach,LOW,Algae,Gloiopeltis.furcata,0.00625,109,123.5,0,0.98
Fifth Beach,LOW,Algae,Laminaria.yezoensis,0.00625,110,123.5,0,0.98
Fifth Beach,LOW,Algae,Melobesia.sp.,0.00625,111,123.5,0,0.98
Fifth Beach,LOW,Algae,Nereocystis.luetkeana,0.00625,112,123.5,0,0.98
Fifth Beach,LOW,Algae,Polysiphonia.paniculata,0.00625,113,123.5,0,0.98
Fifth Beach,LOW,Algae,Pterygophora.californica,0.00625,114,123.5,0,0.98
Fifth Beach,LOW,Algae,Ulva.sp.,0.00625,115,123.5,0,0.98
Fifth Beach,LOW,Animal,Tunicata,0.775,1,123.5,0.01,0.98
Fifth Beach,LOW,Animal,Anemone,0.74375,2,123.5,0.01,0.99
Fifth Beach,LOW,Animal,Bryozoan,0.38125,3,123.5,0,0.99
Fifth Beach,LOW,Animal,Hydroid,0.2125,4,123.5,0,0.99
Fifth Beach,LOW,Animal,Barnacle,0.18125,5,123.5,0,1
Fifth Beach,LOW,Animal,Tunicata/Porifera,0.1,6,123.5,0,1
Fifth Beach,LOW,Animal,Anthopleura.xanthogrammica,0.09375,7,123.5,0,1
Fifth Beach,LOW,Animal,Porifera,0.075,8,123.5,0,1
Fifth Beach,LOW,Animal,Tube.worms,0.06875,9,123.5,0,1
Fifth Beach,LOW,Animal,Anthopleura.elegantissima,0.05,10,123.5,0,1
Fifth Beach,LOW,Animal,Balanus.glandula,0.0375,11,123.5,0,1
Fifth Beach,LOW,Animal,Chthamalus.dalli,0.0375,12,123.5,0,1
Fifth Beach,LOW,Animal,Riterella.pulchra,0.025,13,123.5,0,1
Fifth Beach,LOW,Animal,Styela.sp.,0.025,14,123.5,0,1
Fifth Beach,LOW,Animal,Semibalanus.cariosus,0.01875,15,123.5,0,1
Fifth Beach,LOW,Animal,Balanus.sp.,0.0125,16,123.5,0,1
Fifth Beach,LOW,Animal,Flustralidra,0.0125,17,123.5,0,1
Fifth Beach,LOW,Animal,Mytilus.trossulus,0.0125,18,123.5,0,1
Fifth Beach,LOW,Animal,Spirorbis,0.0125,19,123.5,0,1
Fifth Beach,MID,Algae,Hildenbrandia.sp.,11.66875,1,109.3,0.11,0.11
Fifth Beach,MID,Algae,Pyropia.abbottiae,9.95,2,109.3,0.09,0.2
Fifth Beach,MID,Algae,Plocamium.violaceum,6.9,3,109.3,0.06,0.26
Fifth Beach,MID,Algae,Fucus.distichus,6.5875,4,109.3,0.06,0.32
Fifth Beach,MID,Algae,Chamberlainium.tumidum,5.6875,5,109.3,0.05,0.37
Fifth Beach,MID,Algae,Alaria.marginata,5.6375,6,109.3,0.05,0.42
Fifth Beach,MID,Algae,Corallina.vancouveriensis,5.628125,7,109.3,0.05,0.48
Fifth Beach,MID,Algae,Endocladia.muricata,5.43125,8,109.3,0.05,0.53
Fifth Beach,MID,Algae,Phyllospadix.scouleri,5.225,9,109.3,0.05,0.57
Fifth Beach,MID,Algae,Petrocelis,3.35,10,109.3,0.03,0.6
Fifth Beach,MID,Algae,Halosaccion.glandiforme,3.28125,11,109.3,0.03,0.63
Fifth Beach,MID,Algae,Neorhodomela.larix,2.4375,12,109.3,0.02,0.66
Fifth Beach,MID,Algae,Cryptosiphonia.woodii,2.04375,13,109.3,0.02,0.68
Fifth Beach,MID,Algae,Microcladia.borealis,1.6125,14,109.3,0.01,0.69
Fifth Beach,MID,Algae,Pyropia.perforata,1.58125,15,109.3,0.01,0.7
Fifth Beach,MID,Algae,Wildmania.norrisii,1.5375,16,109.3,0.01,0.72
Fifth Beach,MID,Algae,Mazzaella.oregona,1.33125,17,109.3,0.01,0.73
Fifth Beach,MID,Algae,Elachista.fucicola,1.30625,18,109.3,0.01,0.74
Fifth Beach,MID,Algae,Bossiella.frondifera,1.28125,19,109.3,0.01,0.75
Fifth Beach,MID,Algae,Mastocarpus.sp.,1.20625,20,109.3,0.01,0.77
Fifth Beach,MID,Algae,Phyllospadix.serrulatus,0.9875,21,109.3,0.01,0.77
Fifth Beach,MID,Algae,Ulva.fenestrata,0.9875,22,109.3,0.01,0.78
Fifth Beach,MID,Algae,Prionitis.sternbergii,0.89375,23,109.3,0.01,0.79
Fifth Beach,MID,Algae,Savoiea.robusta,0.89375,24,109.3,0.01,0.8
Fifth Beach,MID,Algae,Bossiella.frondescens,0.83125,25,109.3,0.01,0.81
Fifth Beach,MID,Algae,Leathesia.marina,0.8125,26,109.3,0.01,0.82
Fifth Beach,MID,Algae,Dilsea.californica,0.775,27,109.3,0.01,0.82
Fifth Beach,MID,Algae,Acrosiphonia.coalita,0.75625,28,109.3,0.01,0.83
Fifth Beach,MID,Algae,Callithamnion.pikeanum,0.7375,29,109.3,0.01,0.84
Fifth Beach,MID,Algae,Ceramium.pacificum,0.6375,30,109.3,0.01,0.84
Fifth Beach,MID,Algae,Farlowia.mollis,0.56875,31,109.3,0.01,0.85
Fifth Beach,MID,Algae,coralline.crust,0.525,32,109.3,0,0.85
Fifth Beach,MID,Algae,Polysiphonia.hendryi.var..hendryi,0.4875,33,109.3,0,0.86
Fifth Beach,MID,Algae,Acrosiphonia.sp.,0.453125,34,109.3,0,0.86
Fifth Beach,MID,Algae,Corallina.officinalis,0.3875,35,109.3,0,0.86
Fifth Beach,MID,Algae,Bossiella.pseudodichotoma,0.34375,36,109.3,0,0.87
Fifth Beach,MID,Algae,Cladophora.columbiana,0.2875,37,109.3,0,0.87
Fifth Beach,MID,Algae,Desmarestia.ligulata,0.2875,38,109.3,0,0.87
Fifth Beach,MID,Algae,Acrosiphonia.arcta,0.275,39,109.3,0,0.87
Fifth Beach,MID,Algae,Corallina.sp.1.frondescens,0.23125,40,109.3,0,0.88
Fifth Beach,MID,Algae,Polysiphonia.hendryi.var..gardneri,0.225,41,109.3,0,0.88
Fifth Beach,MID,Algae,Polyneura.latissima,0.2,42,109.3,0,0.88
Fifth Beach,MID,Algae,Lithothamnion.phymatodeum,0.18125,43,109.3,0,0.88
Fifth Beach,MID,Algae,Mazzaella.splendens,0.18125,44,109.3,0,0.88
Fifth Beach,MID,Algae,Hedophyllum.sessile,0.175,45,109.3,0,0.89
Fifth Beach,MID,Algae,Pylaiella.littoralis,0.175,46,109.3,0,0.89
Fifth Beach,MID,Algae,Pyropia.fucicola,0.16875,47,109.3,0,0.89
Fifth Beach,MID,Algae,Hymenena.sp.,0.15625,48,109.3,0,0.89
Fifth Beach,MID,Algae,Wildmania.schizophylla,0.15,49,109.3,0,0.89
Fifth Beach,MID,Algae,Nemalion.helminthoides,0.135625,50,109.3,0,0.89
Fifth Beach,MID,Algae,Ulva.linza,0.13125,51,109.3,0,0.89
Fifth Beach,MID,Algae,Bossiella.sp..(crust),0.1125,52,109.3,0,0.9
Fifth Beach,MID,Algae,Ralfsioid,0.1125,53,109.3,0,0.9
Fifth Beach,MID,Algae,Palmaria.mollis,0.10625,54,109.3,0,0.9
Fifth Beach,MID,Algae,Mazzaella.parvula,0.09375,55,109.3,0,0.9
Fifth Beach,MID,Algae,Desmarestia.aculeata,0.0875,56,109.3,0,0.9
Fifth Beach,MID,Algae,Gloiopeltis.furcata,0.0875,57,109.3,0,0.9
Fifth Beach,MID,Algae,Polysiphonia.pacifica,0.0875,58,109.3,0,0.9
Fifth Beach,MID,Algae,Palmaria.hecatensis,0.08125,59,109.3,0,0.9
Fifth Beach,MID,Algae,Analipus.japonicus,0.075,60,109.3,0,0.9
Fifth Beach,MID,Algae,Neopolyporolithon.reclinatum,0.06875,61,109.3,0,0.9
Fifth Beach,MID,Algae,Ptilota.filicina,0.06875,62,109.3,0,0.9
Fifth Beach,MID,Algae,Calliarthron.tuberculosum,0.0625,63,109.3,0,0.9
Fifth Beach,MID,Algae,Ptilota.sp.,0.0625,64,109.3,0,0.9
Fifth Beach,MID,Algae,Lithothamnion.glaciale,0.05625,65,109.3,0,0.9
Fifth Beach,MID,Algae,Crusticorallina.muricata,0.05,66,109.3,0,0.91
Fifth Beach,MID,Algae,Laminaria.setchellii,0.04375,67,109.3,0,0.91
Fifth Beach,MID,Algae,Schizymenia.pacifica,0.04375,68,109.3,0,0.91
Fifth Beach,MID,Algae,Scytosiphon.dotyi,0.04375,69,109.3,0,0.91
Fifth Beach,MID,Algae,Bossiella.sp.5.chiloensis,0.0375,70,109.3,0,0.91
Fifth Beach,MID,Algae,Lithophyllum.impressum,0.0375,71,109.3,0,0.91
Fifth Beach,MID,Algae,Odonthalia.floccosa,0.0375,72,109.3,0,0.91
Fifth Beach,MID,Algae,Prionitis.sp.,0.0375,73,109.3,0,0.91
Fifth Beach,MID,Algae,Bossiella.reptans,0.03125,74,109.3,0,0.91
Fifth Beach,MID,Algae,Corallina.frondescens,0.03125,75,109.3,0,0.91
Fifth Beach,MID,Algae,Mazzaella.parksii,0.03125,76,109.3,0,0.91
Fifth Beach,MID,Algae,Nereocystis.luetkeana,0.03125,77,109.3,0,0.91
Fifth Beach,MID,Algae,Polysiphonia.sp.,0.03125,78,109.3,0,0.91
Fifth Beach,MID,Algae,Colonial.Diatoms,0.025,79,109.3,0,0.91
Fifth Beach,MID,Algae,Colpomenia.bullosa,0.025,80,109.3,0,0.91
Fifth Beach,MID,Algae,Scytosiphon.lomentaria,0.025,81,109.3,0,0.91
Fifth Beach,MID,Algae,Bossiella.hakaiensis,0.01875,82,109.3,0,0.91
Fifth Beach,MID,Algae,Bossiella.sp.2.chiloensis,0.01875,83,109.3,0,0.91
Fifth Beach,MID,Algae,Colpomenia.peregrina,0.01875,84,109.3,0,0.91
Fifth Beach,MID,Algae,Melanosiphon.intestinalis,0.01875,85,109.3,0,0.91
Fifth Beach,MID,Algae,Melobesia.sp.,0.01875,86,109.3,0,0.91
Fifth Beach,MID,Algae,Bossiella.dichotoma,0.0125,87,109.3,0,0.91
Fifth Beach,MID,Algae,Costaria.costata,0.0125,88,109.3,0,0.91
Fifth Beach,MID,Algae,Ectocarpus.commensalis,0.0125,89,109.3,0,0.91
Fifth Beach,MID,Algae,Lithophyllum.sp..1,0.0125,90,109.3,0,0.91
Fifth Beach,MID,Algae,Lomentaria.hakodatensis,0.0125,91,109.3,0,0.91
Fifth Beach,MID,Algae,Peyssonnelia.sp.,0.0125,92,109.3,0,0.91
Fifth Beach,MID,Algae,Polysiphonia.paniculata,0.0125,93,109.3,0,0.91
Fifth Beach,MID,Algae,Bossiella.manzae,0.00625,94,109.3,0,0.91
Fifth Beach,MID,Algae,Codium.fragile,0.00625,95,109.3,0,0.91
Fifth Beach,MID,Algae,Codium.setchellii,0.00625,96,109.3,0,0.91
Fifth Beach,MID,Algae,Corallina.sp.2.frondescens,0.00625,97,109.3,0,0.91
Fifth Beach,MID,Algae,Cumathamnion.decipiens,0.00625,98,109.3,0,0.91
Fifth Beach,MID,Algae,Ectocarpus.siliculosus,0.00625,99,109.3,0,0.91
Fifth Beach,MID,Algae,Egregia.menziesii,0.00625,100,109.3,0,0.91
Fifth Beach,MID,Algae,Lithophyllum.sp.,0.00625,101,109.3,0,0.91
Fifth Beach,MID,Algae,Mesophyllum.vancouveriense,0.00625,102,109.3,0,0.91
Fifth Beach,MID,Algae,Neorhodomela.oregona,0.00625,103,109.3,0,0.91
Fifth Beach,MID,Algae,Petalonia.fascia,0.00625,104,109.3,0,0.91
Fifth Beach,MID,Algae,Unknown.crust,0.00625,105,109.3,0,0.91
Fifth Beach,MID,Animal,Anemone,4.13125,1,109.3,0.04,0.95
Fifth Beach,MID,Animal,Barnacle,2.93125,2,109.3,0.03,0.98
Fifth Beach,MID,Animal,Balanus.glandula,1.396875,3,109.3,0.01,0.99
Fifth Beach,MID,Animal,Anthopleura.elegantissima,0.45625,4,109.3,0,0.99
Fifth Beach,MID,Animal,Anthopleura.sp.,0.25625,5,109.3,0,1
Fifth Beach,MID,Animal,Chthamalus.dalli,0.1,6,109.3,0,1
Fifth Beach,MID,Animal,Hydroid,0.1,7,109.3,0,1
Fifth Beach,MID,Animal,Anthopleura.xanthogrammica,0.05,8,109.3,0,1
Fifth Beach,MID,Animal,Semibalanus.cariosus,0.05,9,109.3,0,1
Fifth Beach,MID,Animal,Mytilus.sp.,0.03125,10,109.3,0,1
Fifth Beach,MID,Animal,Porifera,0.03125,11,109.3,0,1
Fifth Beach,MID,Animal,Tunicata/Porifera,0.03125,12,109.3,0,1
Fifth Beach,MID,Animal,Bryozoan,0.00625,13,109.3,0,1
Fifth Beach,HIGH,Algae,Fucus.distichus,17.70625,1,120.4,0.15,0.15
Fifth Beach,HIGH,Algae,Hildenbrandia.sp.,10.33125,2,120.4,0.09,0.23
Fifth Beach,HIGH,Algae,Endocladia.muricata,6.8125,3,120.4,0.06,0.29
Fifth Beach,HIGH,Algae,Petrocelis,4.63125,4,120.4,0.04,0.33
Fifth Beach,HIGH,Algae,Mastocarpus.sp.,3.39375,5,120.4,0.03,0.36
Fifth Beach,HIGH,Algae,Pyropia.perforata,2.9625,6,120.4,0.02,0.38
Fifth Beach,HIGH,Algae,Savoiea.robusta,2.075,7,120.4,0.02,0.4
Fifth Beach,HIGH,Algae,Chamberlainium.tumidum,1.94375,8,120.4,0.02,0.41
Fifth Beach,HIGH,Algae,Pyropia.abbottiae,1.3375,9,120.4,0.01,0.43
Fifth Beach,HIGH,Algae,Ulva.fenestrata,1.15,10,120.4,0.01,0.43
Fifth Beach,HIGH,Algae,Mazzaella.oregona,1.05,11,120.4,0.01,0.44
Fifth Beach,HIGH,Algae,Gloiopeltis.furcata,0.9625,12,120.4,0.01,0.45
Fifth Beach,HIGH,Algae,Acrosiphonia.arcta,0.8375,13,120.4,0.01,0.46
Fifth Beach,HIGH,Algae,Plocamium.violaceum,0.71875,14,120.4,0.01,0.46
Fifth Beach,HIGH,Algae,Halosaccion.glandiforme,0.69375,15,120.4,0.01,0.47
Fifth Beach,HIGH,Algae,Microcladia.borealis,0.60625,16,120.4,0.01,0.47
Fifth Beach,HIGH,Algae,Cladophora.columbiana,0.53125,17,120.4,0,0.48
Fifth Beach,HIGH,Algae,Wildmania.norrisii,0.525,18,120.4,0,0.48
Fifth Beach,HIGH,Algae,Pyropia.fucicola,0.4875,19,120.4,0,0.49
Fifth Beach,HIGH,Algae,Alaria.marginata,0.4825,20,120.4,0,0.49
Fifth Beach,HIGH,Algae,Farlowia.mollis,0.475,21,120.4,0,0.5
Fifth Beach,HIGH,Algae,Corallina.vancouveriensis,0.4375,22,120.4,0,0.5
Fifth Beach,HIGH,Algae,Ulva.linza,0.4,23,120.4,0,0.5
Fifth Beach,HIGH,Algae,Cryptosiphonia.woodii,0.3625,24,120.4,0,0.51
Fifth Beach,HIGH,Algae,Callithamnion.pikeanum,0.2875,25,120.4,0,0.51
Fifth Beach,HIGH,Algae,Mazzaella.parksii,0.2375,26,120.4,0,0.51
Fifth Beach,HIGH,Algae,Elachista.fucicola,0.23125,27,120.4,0,0.51
Fifth Beach,HIGH,Algae,Acrosiphonia.coalita,0.20625,28,120.4,0,0.51
Fifth Beach,HIGH,Algae,Polysiphonia.hendryi.var..hendryi,0.2,29,120.4,0,0.52
Fifth Beach,HIGH,Algae,Acrosiphonia.sp.,0.13125,30,120.4,0,0.52
Fifth Beach,HIGH,Algae,Mazzaella.parvula,0.13125,31,120.4,0,0.52
Fifth Beach,HIGH,Algae,Polysiphonia.pacifica,0.10625,32,120.4,0,0.52
Fifth Beach,HIGH,Algae,Melanosiphon.intestinalis,0.0875,33,120.4,0,0.52
Fifth Beach,HIGH,Algae,Nemalion.helminthoides,0.0775,34,120.4,0,0.52
Fifth Beach,HIGH,Algae,Polysiphonia.hendryi,0.075,35,120.4,0,0.52
Fifth Beach,HIGH,Algae,Pyropia.fallax,0.06875,36,120.4,0,0.52
Fifth Beach,HIGH,Algae,Scytosiphon.dotyi,0.06875,37,120.4,0,0.52
Fifth Beach,HIGH,Algae,Prionitis.sternbergii,0.0625,38,120.4,0,0.52
Fifth Beach,HIGH,Algae,Leathesia.marina,0.05625,39,120.4,0,0.52
Fifth Beach,HIGH,Algae,Unknown.crust,0.05,40,120.4,0,0.52
Fifth Beach,HIGH,Algae,Blidingia.minima,0.0375,41,120.4,0,0.52
Fifth Beach,HIGH,Algae,Palmaria.hecatensis,0.0375,42,120.4,0,0.52
Fifth Beach,HIGH,Algae,Phyllospadix.scouleri,0.0375,43,120.4,0,0.52
Fifth Beach,HIGH,Algae,Analipus.japonicus,0.025,44,120.4,0,0.52
Fifth Beach,HIGH,Algae,Bossiella.frondescens,0.025,45,120.4,0,0.52
Fifth Beach,HIGH,Algae,Cladophora.sericea,0.025,46,120.4,0,0.52
Fifth Beach,HIGH,Algae,Polysiphonia.hendryi.var..gardneri,0.025,47,120.4,0,0.52
Fifth Beach,HIGH,Algae,Rhizoclonium.tortuosum,0.025,48,120.4,0,0.52
Fifth Beach,HIGH,Algae,Scytosiphon.lomentaria,0.025,49,120.4,0,0.53
Fifth Beach,HIGH,Algae,Bossiella.frondifera,0.01875,50,120.4,0,0.53
Fifth Beach,HIGH,Algae,Polysiphonia.pacifica.var.delicatula,0.01875,51,120.4,0,0.53
Fifth Beach,HIGH,Algae,Pylaiella.littoralis,0.01875,52,120.4,0,0.53
Fifth Beach,HIGH,Algae,Blidingia.sp.,0.0125,53,120.4,0,0.53
Fifth Beach,HIGH,Algae,Chaetomorpha.cannabina,0.0125,54,120.4,0,0.53
Fifth Beach,HIGH,Algae,Cumathamnion.decipiens,0.0125,55,120.4,0,0.53
Fifth Beach,HIGH,Algae,Neorhodomela.larix,0.0125,56,120.4,0,0.53
Fifth Beach,HIGH,Algae,Polysiphonia.brodiei,0.0125,57,120.4,0,0.53
Fifth Beach,HIGH,Algae,Ralfsioid,0.0125,58,120.4,0,0.53
Fifth Beach,HIGH,Algae,Ceramium.pacificum,0.00625,59,120.4,0,0.53
Fifth Beach,HIGH,Algae,Corallina.sp.1.frondescens,0.00625,60,120.4,0,0.53
Fifth Beach,HIGH,Algae,Tiffaniella.snyderae,0.00625,61,120.4,0,0.53
