UID,Year,quadrat,Shore_height_cm,Quadrat,meter.point,transect,Meter.point,Acrosiphonia,Ahnfeltia.fastigiata,Alaria.marginata,Analipus.japonicus,Antithamnion.defectum,Antithamnionella.spp.,Bangia.sp.,Blidingia,Bossiella_articulate,Calliarthron.tuberculosum,Callithamnion.pikeanum,Callophyllis.sp.,Ceramium.codicola,Ceramium.pacificum,Chaetomorpha.cannabina,Chamberlainium.tumidum,Chiharaea.rhododactyla,Chiharaea.silvae,Cladophora.columbiana,Cladophora.sericea,Codium.fragile,Codium.setchellii,Collinsiella.tuberculata,Colpomenia.peregrina,Corallina,coralline.crust,Costaria.costata,Cryptosiphonia.woodii,Cumathamnion.decipiens,Dactylosiphon.bullosus,Desmarestia.aculeata,Desmarestia.ligulata,Dilsea.californica,Ectocarpus.commensalis,Ectocarpus.sp.,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Erythrotrichia.carnea,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.nigripes,Hedophyllum.sessile,Herposiphonia.plumula,Hildenbrandia,Hymenena.spp.,Johansenia.macmillanii,Laminaria.setchellii,Laminaria.yezoensis,Leathesia.marina,Lithothamnion.glaciale,Lithothamnion.phymatodeum,Lomentaria.hakodatensis,Mastocarpus,Mazzaella.oregona,Mazzaella.parksii,Mazzaella.parvula,Mazzaella.splendens,Melanosiphon.intestinalis,Melobesia.sp.,Mesophyllum.vancouveriense,Microcladia.borealis,Monostroma.grevillei,Nemalion.helminthoides,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neorhodomela.aculeata,Neorhodomela.larix,Neorhodomela.oregona,Nereocystis.luetkeana,Odonthalia.floccosa,Odonthalia.floccosa.f..comosa,Opuntiella.californica,Osmundea.spectabilis,Palmaria.hecatensis,Palmaria.mollis,Petrocelis,Peyssonnelia.sp.,Phyllospadix.spp.,Plocamium.pacificum,Plocamium.violaceum,Polyneura.latissima,Polysiphonia,Prionitis,Pterocladiella.caloglossoides,Pterygophora.californica,Ptilota.filicina,Pylaiella.littoralis,Pyropia,Ralfsioid,Rhizoclonium.tortuosum,Rhodochorton.purpureum,Salishia.firma,Savoiea.robusta,Schizymenia.pacifica,Scytosiphon.dotyi,Scytosiphon.lomentaria,Smithora.naiadum,Soranthera.ulvoidea,Sphacelaria.rigidula,Symphyocladiella.dendroidea,Tokidadendron.bullatum,Ulva,Unknown.crust,elev.var,localrich
Fifth Beach HIGH 2013 1,2013,Fifth Beach HIGH 2,350,1,2,Fifth Beach HIGH,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.08450510801868726,7
Fifth Beach HIGH 2013 10,2013,Fifth Beach HIGH 28,336,10,28,Fifth Beach HIGH,28,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.13382439480406458,9
Fifth Beach HIGH 2013 2,2013,Fifth Beach HIGH 5,370,2,5,Fifth Beach HIGH,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06749852738989826,6
Fifth Beach HIGH 2013 3,2013,Fifth Beach HIGH 12,315,3,12,Fifth Beach HIGH,12,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,50,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1,0,0.20074311233190273,13
Fifth Beach HIGH 2013 4,2013,Fifth Beach HIGH 16,348,4,16,Fifth Beach HIGH,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.09537800981977874,6
Fifth Beach HIGH 2013 5,2013,Fifth Beach HIGH 19,283,5,19,Fifth Beach HIGH,19,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,6,6,0,0,60,0,1,0,0,0,90,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0.12118354402004496,13
Fifth Beach HIGH 2013 6,2013,Fifth Beach HIGH 20,312,6,20,Fifth Beach HIGH,20,13,0,4,0.5,0,0,0,0,0,0,0.5,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,5,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0.25548928320420433,16
Fifth Beach HIGH 2013 7,2013,Fifth Beach HIGH 22,337,7,22,Fifth Beach HIGH,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,25,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,0,5,0,0,0,0,5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.21258341045916818,15
Fifth Beach HIGH 2013 8,2013,Fifth Beach HIGH 26,335,8,26,Fifth Beach HIGH,26,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,18,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,8,0,2,0,0,0,0,0,34,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.2030477076154171,13
Fifth Beach HIGH 2013 9,2013,Fifth Beach HIGH 27,349,9,27,Fifth Beach HIGH,27,0.5,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0.5,0,0,0,0,0,5,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.2386473511231586,15
Fifth Beach LOW 2012 1,2012,Fifth Beach LOW 1,166,1,1,Fifth Beach LOW,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0.5,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0.5,0,55,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25521740431792456,15
Fifth Beach LOW 2012 10,2012,Fifth Beach LOW 24,211,10,24,Fifth Beach LOW,24,0,0,83,0,0,0,0,0,4,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,10,0,3,20,0,0,0,0,0,0,0,11,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3399386975182638,17
Fifth Beach LOW 2012 2,2012,Fifth Beach LOW 2,152,2,2,Fifth Beach LOW,2,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.5,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0.5,0,17,0,3,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.3010167291501586,16
Fifth Beach LOW 2012 3,2012,Fifth Beach LOW 3,137,3,3,Fifth Beach LOW,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,5,2,2,35,0,0,0,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,35,0,1,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.3027785194723205,18
Fifth Beach LOW 2012 4,2012,Fifth Beach LOW 4,134,4,4,Fifth Beach LOW,4,0,0,15,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.34692601614435203,11
Fifth Beach LOW 2012 5,2012,Fifth Beach LOW 11,151,5,11,Fifth Beach LOW,11,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,4,0,0,0,0,0,0,0,13,8,0,0,12,0,0,0,2,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.28805408940819605,17
Fifth Beach LOW 2012 6,2012,Fifth Beach LOW 13,137,6,13,Fifth Beach LOW,13,0.5,0,90,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,2,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2862140054818761,11
Fifth Beach LOW 2012 7,2012,Fifth Beach LOW 15,136,7,15,Fifth Beach LOW,15,0,0,95,0,5,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3004875634889645,13
Fifth Beach LOW 2012 8,2012,Fifth Beach LOW 16,152,8,16,Fifth Beach LOW,16,0,0,93,0,0,0,0,0,10,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,2,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.3149823323471984,11
Fifth Beach LOW 2012 9,2012,Fifth Beach LOW 22,200,9,22,Fifth Beach LOW,22,0,0,80,0,0,0,0,0,10,0,3,0,0,0,0,10,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,10,0,8,8,0,0,0,0,0,0,0,12,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,40,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32064322078034374,16
Fifth Beach LOW 2013 1,2013,Fifth Beach LOW 1,166,1,1,Fifth Beach LOW,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,1.5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,65,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3987624426230443,13
Fifth Beach LOW 2013 10,2013,Fifth Beach LOW 24,211,10,24,Fifth Beach LOW,24,0,0,0,35,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,1,0,1,0,13,0,0,0,44,0,0,0,0,0,0,0,0.4388653830723746,16
Fifth Beach LOW 2013 2,2013,Fifth Beach LOW 4,134,2,4,Fifth Beach LOW,4,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,82,0,0,0,0,0,11,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0.30905907474572475,8
Fifth Beach LOW 2013 3,2013,Fifth Beach LOW 5,138,3,5,Fifth Beach LOW,5,0.5,0,0,0,0,0,0,0,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0.5,0,0,0,1.5,10,0,1,1,0,0,0,5,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.3281100140402281,17
Fifth Beach LOW 2013 4,2013,Fifth Beach LOW 7,166,4,7,Fifth Beach LOW,7,0.5,0,0,0,0,0,0,0,0.5,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1.5,0,0,2,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,9,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0.5,0,34,0,9,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3303948967030002,18
Fifth Beach LOW 2013 5,2013,Fifth Beach LOW 8,115,5,8,Fifth Beach LOW,8,0,0.5,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0.5,0,0,0,0,7.5,0,0,0,0,0,0,5,0,0,0,0,0.5,6,0,0,0,0,1,35,0,0,1,0,0,0,0,0,13,0,18,0,0,0,0,0,2,19,2,0,0,0,0,9,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0.3763443568896212,21
Fifth Beach LOW 2013 6,2013,Fifth Beach LOW 14,147,6,14,Fifth Beach LOW,14,0,0,50,0,0,0,0,0,0.5,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,20,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,12,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3171064674961477,14
Fifth Beach LOW 2013 7,2013,Fifth Beach LOW 15,136,7,15,Fifth Beach LOW,15,0,0,0,53,0,0.5,0,0,0,0,5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,4,0,10,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6,7,0,0,0,0,10,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.3283712109792949,18
Fifth Beach LOW 2013 8,2013,Fifth Beach LOW 19,223,8,19,Fifth Beach LOW,19,0.5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,10,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,65,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23950427080601513,15
Fifth Beach LOW 2013 9,2013,Fifth Beach LOW 23,202,9,23,Fifth Beach LOW,23,0.5,0,30,0,0,0,0,0,12,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,50,16,0,0,0,0,0,0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3054827234713384,12
