UID,Year,Site,Zone,Quadrat,Meter.point,Acrosiphonia,Ahnfeltia.fastigiata,Alaria.marginata,Analipus.japonicus,Anemone,Antithamnion.defectum,Bangia.sp.,Barnacles,Blidingia,Bossiella.articulate,Bryozoan,Calliarthron.tuberculosum,Callithamnion.pikeanum,Callophyllis.sp.,Ceramium.codicola,Ceramium.pacificum,Chaetomorpha,Chamberlainium.tumidum,Chiharaea.rhododactyla,Chiharaea.silvae,Cladophora.columbiana,Cladophora.sericea,Codium.fragile,Codium.setchellii,Collinsiella.tuberculata,Colpomenia.peregrina,Corallina,coralline.crust,Costaria.costata,Cryptosiphonia.woodii,Cumathamnion.decipiens,Dactylosiphon.bullosus,Desmarestia.aculeata,Desmarestia.ligulata,Devaleraea.mollis,Dilsea.californica,Ectocarpus.commensalis,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Erythrotrichia.carnea,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.nigripes,Hedophyllum.sessile,Herposiphonia.plumula,Hildenbrandia,Hydroid,Hymenena.spp.,Johansenia.macmillanii,Laminaria.setchellii,Laminaria.yezoensis,Leathesia.marina,Lithothamnion.glaciale,Lithothamnion.phymatodeum,Lomentaria.hakodatensis,Mastocarpus,Mazzaella.oregona,Mazzaella.parksii,Mazzaella.parvula,Mazzaella.splendens,Melanosiphon.intestinalis,Melobesia.mediocris,Mesophyllum.vancouveriense,Microcladia.borealis,Monostroma,Mytilus.sp.,Nemalion.helminthoides,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neoporphyra.perforata,Neopyropia.fucicola,Neorhodomela.aculeata,Neorhodomela.larix,Neorhodomela.oregona,Nereocystis.luetkeana,Odonthalia.floccosa,Odonthalia.floccosa.f..comosa,Opuntiella.californica,Osmundea.spectabilis,Palmaria.hecatensis,Petrocelis,Peyssonnelia.sp.,Phyllospadix.spp.,Plocamium.pacificum,Plocamium.violaceum,Pododesmus.sp.,Pollicipes.polymerus,Polyneura.latissima,Polysiphonia,Prionitis,Pterocladiella.caloglossoides,Pterygophora.californica,Ptilota.filicina,Pylaiella.littoralis,Pyropia/Neoporphyra/Porphyrella,Ralfsioid,Rhizoclonium.tortuosum,Rhodochorton.purpureum,Salishia.firma,Savoiea.robusta,Schizymenia.pacifica,Scytosiphon.dotyi,Scytosiphon.lomentaria,Smithora.naiadum,Soranthera.ulvoidea,Sphacelaria.rigidula,Symphyocladiella.dendroidea,Tokidadendron.bullatum,Tube.worm,Tube.worms,Tunicata/Porifera,Ulva,Wildemania,Date,Sampler,Recorder,Bedrock,Boulder,Cobble,Sand.Gravel.Pebble,Water,SiteHeightYear,SUBSTRATE.ROCK,SUBSTRATE.SAND,WATER,Pebble,SAND.SCOUR,SUBSTRATE.Clam.shell,Shore_height_cm,Lat,Long
Fifth Beach LOW 2013 1,2013,Fifth Beach,LOW,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,8,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-05-26,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach LOW 2013,100,100,0,NA,NA,NA,166,51.6408522382711,-128.156659301138
Fifth Beach LOW 2013 10,2013,Fifth Beach,LOW,10,24,0,0,0,35,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,0,1,0,13,0,0,0,44,0,0,0,0,0,0,0,0,0,0,2013-05-26,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach LOW 2013,100,0,0,NA,NA,NA,211,51.6407643555966,-128.156962696069
Fifth Beach LOW 2013 2,2013,Fifth Beach,LOW,2,4,0,0.5,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,2013-05-26,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach LOW 2013,100,99,0,NA,NA,NA,134,51.6408408582381,-128.156698602173
Fifth Beach LOW 2013 3,2013,Fifth Beach,LOW,3,5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0.5,0,0,0,1.5,10,0,1,1,0,0,0,5,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2013-05-26,SS,KH,NA,NA,NA,NA,NA,Fifth Beach LOW 2013,95,95,2,NA,NA,NA,138,51.640837058904,-128.156711703587
Fifth Beach LOW 2013 4,2013,Fifth Beach,LOW,4,7,0.5,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,1.5,0,0,2,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0.5,0,34,0,9,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-05-26,SS,KH,NA,NA,NA,NA,NA,Fifth Beach LOW 2013,60,70,0,NA,NA,NA,166,51.6408294692012,-128.156737903354
Fifth Beach LOW 2013 5,2013,Fifth Beach,LOW,5,8,0,0.5,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,1,0,0,4,0,0,0.5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0.5,6,0,0,0,0,0,1,35,0,0,9,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,19,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2013-05-26,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach LOW 2013,100,18,3,NA,NA,NA,115,51.6408256788532,-128.156751004596
Fifth Beach LOW 2013 6,2013,Fifth Beach,LOW,6,14,0,0,50,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,18,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-05-26,KH,SS,NA,NA,NA,NA,NA,Fifth Beach LOW 2013,100,1,0,NA,NA,NA,147,51.640802909711,-128.156829605275
Fifth Beach LOW 2013 7,2013,Fifth Beach,LOW,7,15,0,0,0,53,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2,0,0,0,4,0,10,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0.5,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6,7,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-05-26,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach LOW 2013,100,55,2,NA,NA,NA,136,51.6407991103622,-128.156842706669
Fifth Beach LOW 2013 8,2013,Fifth Beach,LOW,8,19,0.5,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-05-26,KH,SS,NA,NA,NA,NA,NA,Fifth Beach LOW 2013,100,0,0,NA,NA,NA,223,51.6407839309022,-128.156895107551
Fifth Beach LOW 2013 9,2013,Fifth Beach,LOW,9,23,0.5,0,30,0,0,0,0,0,0,12,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,21.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-05-26,KH,SS,NA,NA,NA,NA,NA,Fifth Beach LOW 2013,100,0,0,NA,NA,NA,202,51.6407687514185,-128.15694750839901
Fifth Beach LOW 2014 1,2014,Fifth Beach,LOW,1,2,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2014-06-14,KRH,OCP,NA,NA,NA,NA,NA,Fifth Beach LOW 2014,17,83,NA,NA,NA,NA,152,51.640848447932,-128.156672402393
Fifth Beach LOW 2014 10,2014,Fifth Beach,LOW,10,22,0,0,22,2,1,0,0,1,0,11,0,0,0,0,0,0,0,6,0,0,0,0,0.5,0,0,0,11,12,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0.5,0,12,0,19,0,0,0,0,0,1,0,1,0,6.5,0.5,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-14,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach LOW 2014,100,0,9,NA,NA,NA,200,51.6407725507895,-128.156934408468
Fifth Beach LOW 2014 2,2014,Fifth Beach,LOW,2,3,0,0,7,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,18,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2014-06-14,SMS,JMB,NA,NA,NA,NA,NA,Fifth Beach LOW 2014,14,86,NA,NA,NA,NA,137,51.6408446485905,-128.156685502367
Fifth Beach LOW 2014 3,2014,Fifth Beach,LOW,3,5,0.5,0,23,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,8,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0.5,0,0,0,1,0,0,0,0,0,0.5,0,0,0,1,4,0,1,6,0,0,0,4,0,0,0,0,0,0,0,0,50,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,2,0,0,0,0,17,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2014-06-14,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach LOW 2014,93,7,5,NA,NA,NA,138,51.640837058904,-128.156711703587
Fifth Beach LOW 2014 4,2014,Fifth Beach,LOW,4,7,0,0,20,0,0.5,0,0,1,0.5,0.5,0,0,0.5,0,0,0,0,3,0,0,0,0,0,0,0,0,0.5,2,0,0.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.5,0,0,0,22,0,0,0,0,0,0.5,0,0,0,1,4,0,0.5,18,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,32,0,8,0,0,0.5,0.5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,2014-06-14,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach LOW 2014,96,4,0.5,NA,NA,NA,166,51.6408294692012,-128.156737903354
Fifth Beach LOW 2014 5,2014,Fifth Beach,LOW,5,14,0.5,0,29,0.5,3,0,0,2.5,0,3,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.5,0,0,0,44,0,0,0,0,0,0.5,0,0,0,1,6,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,48,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2014-06-14,KRH,OCP,NA,NA,NA,NA,NA,Fifth Beach LOW 2014,100,NA,1,NA,NA,NA,147,51.640802909711,-128.156829605275
Fifth Beach LOW 2014 6,2014,Fifth Beach,LOW,6,16,0,0,63,0,0,0,0,0,0,9,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2014-06-14,SMS,JMB,NA,NA,NA,NA,NA,Fifth Beach LOW 2014,100,NA,NA,NA,NA,NA,152,51.6407953199921,-128.156855806448
Fifth Beach LOW 2014 7,2014,Fifth Beach,LOW,7,18,0,0,18,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0.5,0,0,0,23,0,0,0,0,0,0.5,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6,0,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2014-06-14,KRH,KRH,NA,NA,NA,NA,NA,Fifth Beach LOW 2014,100,NA,5,NA,NA,NA,207,51.6407877302672,-128.156882007612
Fifth Beach LOW 2014 8,2014,Fifth Beach,LOW,8,19,0,0,42,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0.5,0,0,0,12,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,1,0,0,0,6,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,20,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2014-06-14,KRH,KRH,NA,NA,NA,NA,NA,Fifth Beach LOW 2014,100,NA,NA,NA,NA,NA,223,51.6407839309022,-128.156895107551
Fifth Beach LOW 2014 9,2014,Fifth Beach,LOW,9,20,0,0,24,0.5,1,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2014-06-14,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach LOW 2014,100,0,1,NA,NA,NA,204,51.6407801405261,-128.156908207322
Fifth Beach LOW 2015 1,2015,Fifth Beach,LOW,1,2,0,0,0,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-06-16,SCL,SCL,NA,NA,NA,NA,NA,Fifth Beach LOW 2015,100,50,0,NA,NA,NA,152,51.640848447932,-128.156672402393
