"LA BAIE DEPARTURE (LA STATION BIOLOGIQUE DU PACIFIQUE):
TOUS LES JOURS LA TEMPÉRATURE ET SALINITÉ DE SURFACE DE LA MER",,,,
2/2/1915,26.7,7.9,49.2103,-123.9554
2/3/1915,23.9,7.4,49.2103,-123.9554
2/4/1915,26.5,6.8,49.2103,-123.9554
2/5/1915,26.6,7.3,49.2103,-123.9554
2/6/1915,24.7,7.2,49.2103,-123.9554
2/7/1915,22.8,7.9,49.2103,-123.9554
2/8/1915,21,8.6,49.2103,-123.9554
2/9/1915,26.8,8.4,49.2103,-123.9554
2/10/1915,23.5,8.1,49.2103,-123.9554
2/11/1915,16,7.3,49.2103,-123.9554
2/12/1915,24,7.3,49.2103,-123.9554
2/13/1915,26.7,7.8,49.2103,-123.9554
2/14/1915,21.4,6.6,49.2103,-123.9554
2/15/1915,25.9,6.7,49.2103,-123.9554
2/16/1915,26.5,7.7,49.2103,-123.9554
2/17/1915,26.8,8.5,49.2103,-123.9554
2/18/1915,26.6,7.7,49.2103,-123.9554
2/19/1915,26.6,7.4,49.2103,-123.9554
2/20/1915,26.5,6.8,49.2103,-123.9554
2/21/1915,26.6,7.3,49.2103,-123.9554
2/22/1915,26.5,7,49.2103,-123.9554
2/23/1915,25.6,7.3,49.2103,-123.9554
2/24/1915,23.5,7.1,49.2103,-123.9554
2/25/1915,26.6,7.1,49.2103,-123.9554
2/26/1915,26.6,7.1,49.2103,-123.9554
2/27/1915,14.1,7.7,49.2103,-123.9554
2/28/1915,26.4,8.6,49.2103,-123.9554
3/1/1915,27.4,8.4,49.2103,-123.9554
3/2/1915,27.3,7.7,49.2103,-123.9554
3/3/1915,22.8,7.7,49.2103,-123.9554
3/4/1915,27.3,7.5,49.2103,-123.9554
3/5/1915,25.4,7.8,49.2103,-123.9554
3/6/1915,26.3,7.7,49.2103,-123.9554
3/7/1915,26.7,8.2,49.2103,-123.9554
3/8/1915,27.3,7.8,49.2103,-123.9554
3/9/1915,27.3,7.9,49.2103,-123.9554
3/10/1915,27.4,8.2,49.2103,-123.9554
3/11/1915,27.4,8.2,49.2103,-123.9554
3/12/1915,27.4,8.2,49.2103,-123.9554
3/13/1915,27.4,8.5,49.2103,-123.9554
3/14/1915,27.1,8.7,49.2103,-123.9554
3/15/1915,26.4,8.5,49.2103,-123.9554
3/16/1915,23.9,8.2,49.2103,-123.9554
3/17/1915,23.1,8.2,49.2103,-123.9554
3/18/1915,27.4,8.1,49.2103,-123.9554
3/19/1915,27.4,8.6,49.2103,-123.9554
3/20/1915,25.6,8.1,49.2103,-123.9554
3/21/1915,25,9.1,49.2103,-123.9554
3/22/1915,25.2,9.7,49.2103,-123.9554
3/23/1915,27.6,9.4,49.2103,-123.9554
3/24/1915,27.6,9.7,49.2103,-123.9554
3/25/1915,27.6,9.7,49.2103,-123.9554
3/26/1915,27.6,9.3,49.2103,-123.9554
3/27/1915,27.3,10,49.2103,-123.9554
3/28/1915,28.1,10.1,49.2103,-123.9554
3/29/1915,24.5,10.3,49.2103,-123.9554
3/30/1915,23.7,9.7,49.2103,-123.9554
3/31/1915,20.6,9,49.2103,-123.9554
4/1/1915,24.4,9.4,49.2103,-123.9554
4/2/1915,22.6,9.8,49.2103,-123.9554
4/3/1915,13.4,9.1,49.2103,-123.9554
4/4/1915,14.8,9.3,49.2103,-123.9554
4/5/1915,14.3,9.4,49.2103,-123.9554
4/6/1915,15,10.3,49.2103,-123.9554
4/7/1915,20.8,10.4,49.2103,-123.9554
4/8/1915,24.6,9,49.2103,-123.9554
4/9/1915,25.7,9.8,49.2103,-123.9554
4/10/1915,26.7,10.7,49.2103,-123.9554
4/11/1915,27.7,9.9,49.2103,-123.9554
4/12/1915,23.3,10.3,49.2103,-123.9554
4/13/1915,24.5,10.3,49.2103,-123.9554
4/14/1915,27.7,9.8,49.2103,-123.9554
4/15/1915,27.9,10.9,49.2103,-123.9554
4/16/1915,26.8,11.3,49.2103,-123.9554
4/17/1915,28.1,11.7,49.2103,-123.9554
4/18/1915,28.1,11.9,49.2103,-123.9554
4/19/1915,28.1,11.7,49.2103,-123.9554
4/20/1915,27.8,10.6,49.2103,-123.9554
4/21/1915,27.8,10.6,49.2103,-123.9554
4/22/1915,27.9,11.1,49.2103,-123.9554
4/23/1915,27.9,10.8,49.2103,-123.9554
4/24/1915,28.1,11.8,49.2103,-123.9554
4/25/1915,28,11.3,49.2103,-123.9554
4/26/1915,27.9,11.1,49.2103,-123.9554
4/27/1915,27.9,11,49.2103,-123.9554
4/28/1915,27.9,10.8,49.2103,-123.9554
4/29/1915,27.8,10.6,49.2103,-123.9554
4/30/1915,27.8,10.6,49.2103,-123.9554
5/1/1915,27.9,10.7,49.2103,-123.9554
5/2/1915,27.9,11,49.2103,-123.9554
5/3/1915,27.8,11.4,49.2103,-123.9554
5/4/1915,28,11.6,49.2103,-123.9554
5/5/1915,28.4,13.3,49.2103,-123.9554
5/6/1915,28.4,13.1,49.2103,-123.9554
5/7/1915,28.6,13.9,49.2103,-123.9554
5/8/1915,28.4,13.3,49.2103,-123.9554
5/9/1915,28.3,12.8,49.2103,-123.9554
5/10/1915,28.2,12.2,49.2103,-123.9554
5/11/1915,26.1,11.8,49.2103,-123.9554
5/12/1915,28,11.6,49.2103,-123.9554
5/13/1915,28.1,12,49.2103,-123.9554
5/14/1915,26.1,12.1,49.2103,-123.9554
5/15/1915,25.8,12.6,49.2103,-123.9554
5/16/1915,23.1,13.1,49.2103,-123.9554
5/17/1915,21.4,13.4,49.2103,-123.9554
5/18/1915,21.5,13.7,49.2103,-123.9554
5/19/1915,24.1,13.5,49.2103,-123.9554
5/20/1915,25.4,13.2,49.2103,-123.9554
5/21/1915,28.2,12.2,49.2103,-123.9554
5/22/1915,27.8,12.6,49.2103,-123.9554
5/23/1915,26.6,12.2,49.2103,-123.9554
5/24/1915,28.2,12.1,49.2103,-123.9554
5/25/1915,28.3,12.7,49.2103,-123.9554
5/26/1915,26.4,12.1,49.2103,-123.9554
5/27/1915,28.2,12.4,49.2103,-123.9554
5/28/1915,28.2,9.9,49.2103,-123.9554
5/29/1915,23.8,12.4,49.2103,-123.9554
5/30/1915,23.2,13.5,49.2103,-123.9554
5/31/1915,23.4,13.8,49.2103,-123.9554
6/1/1915,25.8,12.5,49.2103,-123.9554
6/2/1915,25.8,13.5,49.2103,-123.9554
6/3/1915,25.9,14.2,49.2103,-123.9554
6/4/1915,25.7,14.6,49.2103,-123.9554
6/5/1915,25.9,14.5,49.2103,-123.9554
6/6/1915,26.5,14.5,49.2103,-123.9554
6/7/1915,27.5,13.6,49.2103,-123.9554
6/8/1915,28.4,14.1,49.2103,-123.9554
6/9/1915,28.4,14.6,49.2103,-123.9554
6/10/1915,28.1,14.3,49.2103,-123.9554
6/11/1915,28.5,14.5,49.2103,-123.9554
6/12/1915,28.5,15.1,49.2103,-123.9554
6/13/1915,28.4,13.1,49.2103,-123.9554
