UID,Taxon,Abundance,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,funct_2021,flag
Fifth Beach HIGH 2011 10,Pyropia perforata,0.5,Pyropia perforata,Pyropia perforata,Pyropia,Pyropia,Algae,sessile,NA,blade,sheet,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 10,Savoiea robusta,10,Savoiea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Algae,sessile,added in 2019,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 10,Semibalanus cariosus,10,Semibalanus cariosus,Barnacles,Barnacles,Barnacles,Animal,sessile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach HIGH 2011 2,Chamberlainium tumidum,9,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach HIGH 2011 2,Cladophora columbiana,3,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 2,Cladophora stimpsonii,2.5,Cladophora stimpsonii,Cladophora stimpsonii,Cladophora stimpsonii,Cladophora stimpsonii,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 2,Cryptosiphonia woodii,7,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 2,Elachista fucicola,7,Elachista fucicola,Elachista fucicola,Elachista fucicola,Elachista fucicola,Algae,sessile,NA,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 2,Endocladia muricata,3,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 2,Fucus distichus,58,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach HIGH 2011 2,Halosaccion glandiforme,4,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 2,Hildenbrandia sp.,80,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 2,Mastocarpus latissimus,6,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 2,Mastocarpus rigidus,4,Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 2,Mazzaella oregona,17,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 2,Petrocelis,4,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 2,Ulva lactuca,2,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 2,Ulva linza,2,Ulva linza,Ulva linza,Ulva,Ulva,Algae,sessile,NA,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 3,Alaria marginata,8,Alaria marginata,Alaria marginata,Alaria marginata,Alaria marginata,Algae,sessile,NA,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,NA
Fifth Beach HIGH 2011 3,bare rock,7,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach HIGH 2011 3,Chamberlainium tumidum,35,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach HIGH 2011 3,Cladophora columbiana,1,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 3,Corallina frondescens,0.5,Corallina frondescens,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach HIGH 2011 3,Corallina vancouveriensis,2,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach HIGH 2011 3,Cryptosiphonia woodii,0.5,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 3,Elachista fucicola,1,Elachista fucicola,Elachista fucicola,Elachista fucicola,Elachista fucicola,Algae,sessile,NA,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 3,Endocladia muricata,3,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 3,Fucus distichus,4,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach HIGH 2011 3,Halosaccion glandiforme,13,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 3,Hildenbrandia sp.,25,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 3,Leathesia marina,0.5,Leathesia marina,Leathesia marina,Leathesia marina,Leathesia marina,Algae,sessile,NA,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 3,Mastocarpus latissimus,2,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 3,Mazzaella oregona,3,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 3,Petrocelis,3,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 3,Pylaiella littoralis,0.5,Pylaiella littoralis,Pylaiella littoralis,Pylaiella littoralis,Pylaiella littoralis,Algae,sessile,NA,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 3,Savoiea robusta,1,Savoiea robusta,Savoiea robusta,Savoiea robusta,Savoiea robusta,Algae,sessile,added in 2019,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 3,Ulva lactuca,1,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 3,Ulva linza,0.5,Ulva linza,Ulva linza,Ulva,Ulva,Algae,sessile,NA,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 4,bare rock,25,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach HIGH 2011 4,Cladophora columbiana,6,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 4,Endocladia muricata,10,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 4,Fucus distichus,15,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach HIGH 2011 4,Halosaccion glandiforme,0.5,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 4,Hildenbrandia sp.,4,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 4,Mastocarpus latissimus,6,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 4,Nemalion helminthoides,1,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Algae,sessile,NA,red turf,NA,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 4,Neorhodomela larix,0.5,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Neorhodomela larix,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 4,Petrocelis,50,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 4,Pyropia perforata,4,Pyropia perforata,Pyropia perforata,Pyropia,Pyropia,Algae,sessile,NA,blade,sheet,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 5,Acrosiphonia spp.,0.5,Acrosiphonia spp.,Acrosiphonia,Acrosiphonia,Acrosiphonia,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 5,Chamberlainium tumidum,2,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach HIGH 2011 5,Cladophora columbiana,5,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 5,Corallina vancouveriensis,3,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,NA
Fifth Beach HIGH 2011 5,Elachista fucicola,1.5,Elachista fucicola,Elachista fucicola,Elachista fucicola,Elachista fucicola,Algae,sessile,NA,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 5,Endocladia muricata,18,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 5,Fucus distichus,23,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach HIGH 2011 5,Halosaccion glandiforme,13,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 5,Hildenbrandia sp.,7,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 5,Mastocarpus rigidus,13,Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 5,Mazzaella oregona,5,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 5,Nemalion helminthoides,1.5,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Algae,sessile,NA,red turf,NA,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 5,Petrocelis,79,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 5,Pyropia perforata,3,Pyropia perforata,Pyropia perforata,Pyropia,Pyropia,Algae,sessile,NA,blade,sheet,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 5,Ulva linza,1,Ulva linza,Ulva linza,Ulva,Ulva,Algae,sessile,NA,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 6,bare rock,10,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach HIGH 2011 6,Chamberlainium tumidum,3,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach HIGH 2011 6,Elachista fucicola,0.5,Elachista fucicola,Elachista fucicola,Elachista fucicola,Elachista fucicola,Algae,sessile,NA,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 6,Endocladia muricata,1,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 6,Fucus distichus,40,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach HIGH 2011 6,Halosaccion glandiforme,1,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 6,Hildenbrandia sp.,8,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 6,Mastocarpus latissimus,8,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 6,Mastocarpus rigidus,3,Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 6,Mazzaella oregona,4,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 6,Nemalion helminthoides,0.5,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Nemalion helminthoides,Algae,sessile,NA,red turf,NA,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 6,Petrocelis,40,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 6,Pyropia perforata,2,Pyropia perforata,Pyropia perforata,Pyropia,Pyropia,Algae,sessile,NA,blade,sheet,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 6,Wildmania schizophylla,1,Wildmania schizophylla,Wildmania schizophylla,Pyropia,Pyropia,Algae,sessile,NA,blade,sheet,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 7,bare rock,1,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fifth Beach HIGH 2011 7,Callithamnion pikeanum,0.5,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,NA,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 7,Chamberlainium tumidum,1,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach HIGH 2011 7,Cladophora columbiana,0.5,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 7,Cryptosiphonia woodii,4,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,NA,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 7,Elachista fucicola,1,Elachista fucicola,Elachista fucicola,Elachista fucicola,Elachista fucicola,Algae,sessile,NA,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 7,Endocladia muricata,0.5,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 7,Fucus distichus,60,Fucus distichus,Fucus distichus,Fucus distichus,Fucus distichus,Algae,sessile,NA,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,NA
Fifth Beach HIGH 2011 7,Halosaccion glandiforme,4,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,NA,red turf,sheet,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 7,Hildenbrandia sp.,25,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Hildenbrandia,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 7,Leathesia marina,0.5,Leathesia marina,Leathesia marina,Leathesia marina,Leathesia marina,Algae,sessile,NA,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 7,Mastocarpus latissimus,17,Mastocarpus latissimus,Mastocarpus latissimus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 7,Mastocarpus rigidus,0.5,Mastocarpus rigidus,Mastocarpus rigidus,Mastocarpus,Mastocarpus,Algae,sessile,REVISIT,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,NA
Fifth Beach HIGH 2011 7,Mazzaella oregona,5,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Mazzaella oregona,Algae,sessile,NA,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 7,Palmaria hecatensis,1,Palmaria hecatensis,Palmaria hecatensis,Palmaria hecatensis,Palmaria hecatensis,Algae,sessile,NA,red turf,thick leathery,red turf,red turf,turf,turf,blade,blade,NA
Fifth Beach HIGH 2011 7,Petrocelis,1,Petrocelis,Petrocelis,Petrocelis,Petrocelis,Algae,sessile,NA,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,NA
Fifth Beach HIGH 2011 7,Ulva lactuca,6,Ulva fenestrata,Ulva fenestrata,Ulva,Ulva,Algae,sessile,changed in 2019,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 7,Ulva linza,0.5,Ulva linza,Ulva linza,Ulva,Ulva,Algae,sessile,NA,blade,sheet,green blade,blade,green blade,blade,blade,blade,NA
Fifth Beach HIGH 2011 8,Chamberlainium tumidum,11,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,NA
Fifth Beach HIGH 2011 8,Cladophora columbiana,2,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Algae,sessile,NA,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,NA
Fifth Beach HIGH 2011 8,Endocladia muricata,42,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,NA
