UID,Taxon,Abundance
Fifth Beach LOW 2019 7,Pyropia abbottiae,17
Fifth Beach LOW 2019 8,Pyropia abbottiae,74
Fifth Beach MID 2011 1,Pyropia abbottiae,1
Fifth Beach MID 2013 3,Pyropia abbottiae,2
Fifth Beach MID 2013 5,Pyropia abbottiae,14
Fifth Beach MID 2013 6,Pyropia abbottiae,4
Fifth Beach MID 2013 8,Pyropia abbottiae,1
Fifth Beach MID 2013 9,Pyropia abbottiae,16
Fifth Beach MID 2014 1,Pyropia abbottiae,4
Fifth Beach MID 2014 10,Pyropia abbottiae,30
Fifth Beach MID 2014 3,Pyropia abbottiae,7
Fifth Beach MID 2014 4,Pyropia abbottiae,2
Fifth Beach MID 2014 5,Pyropia abbottiae,4
Fifth Beach MID 2014 8,Pyropia abbottiae,7
Fifth Beach MID 2014 9,Pyropia abbottiae,24
Fifth Beach MID 2015 1,Pyropia abbottiae,5
Fifth Beach MID 2015 10,Pyropia abbottiae,2
Fifth Beach MID 2015 4,Pyropia abbottiae,0.5
Fifth Beach MID 2015 5,Pyropia abbottiae,16.5
Fifth Beach MID 2015 8,Pyropia abbottiae,14
Fifth Beach MID 2015 9,Pyropia abbottiae,12
Fifth Beach MID 2016 1,Pyropia abbottiae,1
Fifth Beach MID 2016 3,Pyropia abbottiae,0.5
Fifth Beach MID 2016 5,Pyropia abbottiae,1
Fifth Beach MID 2016 6,Pyropia abbottiae,1
Fifth Beach MID 2016 8,Pyropia abbottiae,0.5
Fifth Beach MID 2017 1,Pyropia abbottiae,2
Fifth Beach MID 2017 10,Pyropia abbottiae,60
Fifth Beach MID 2017 2,Pyropia abbottiae,0.5
Fifth Beach MID 2017 3,Pyropia abbottiae,5
Fifth Beach MID 2017 4,Pyropia abbottiae,24
Fifth Beach MID 2017 5,Pyropia abbottiae,1
Fifth Beach MID 2017 6,Pyropia abbottiae,95
Fifth Beach MID 2017 7,Pyropia abbottiae,10
Fifth Beach MID 2017 8,Pyropia abbottiae,2
Fifth Beach MID 2017 9,Pyropia abbottiae,89
Fifth Beach MID 2018 1,Pyropia abbottiae,0.5
Fifth Beach MID 2018 10,Pyropia abbottiae,18
Fifth Beach MID 2018 2,Pyropia abbottiae,10
Fifth Beach MID 2018 3,Pyropia abbottiae,2
Fifth Beach MID 2018 5,Pyropia abbottiae,17
Fifth Beach MID 2018 6,Pyropia abbottiae,3
Fifth Beach MID 2018 9,Pyropia abbottiae,1
Fifth Beach MID 2019 1,Pyropia abbottiae,8
Fifth Beach MID 2019 10,Pyropia abbottiae,11
Fifth Beach MID 2019 2,Pyropia abbottiae,18
Fifth Beach MID 2019 3,Pyropia abbottiae,57
Fifth Beach MID 2019 4,Pyropia abbottiae,45
Fifth Beach MID 2019 5,Pyropia abbottiae,14
Fifth Beach MID 2019 6,Pyropia abbottiae,42
Fifth Beach MID 2019 7,Pyropia abbottiae,39
Fifth Beach MID 2019 8,Pyropia abbottiae,53
North Beach HIGH 2013 1,Pyropia abbottiae,21
North Beach HIGH 2013 10,Pyropia abbottiae,10
North Beach HIGH 2013 2,Pyropia abbottiae,20
North Beach HIGH 2013 3,Pyropia abbottiae,2
North Beach HIGH 2013 4,Pyropia abbottiae,1
North Beach HIGH 2013 5,Pyropia abbottiae,7
North Beach HIGH 2013 7,Pyropia abbottiae,4
North Beach HIGH 2013 8,Pyropia abbottiae,43
North Beach HIGH 2013 9,Pyropia abbottiae,2
North Beach HIGH 2014 10,Pyropia abbottiae,1
North Beach HIGH 2014 2,Pyropia abbottiae,3
North Beach HIGH 2014 5,Pyropia abbottiae,2
North Beach HIGH 2015 1,Pyropia abbottiae,6
North Beach HIGH 2015 2,Pyropia abbottiae,0.5
North Beach HIGH 2015 4,Pyropia abbottiae,1
North Beach HIGH 2015 5,Pyropia abbottiae,7
North Beach HIGH 2015 6,Pyropia abbottiae,1
North Beach HIGH 2015 7,Pyropia abbottiae,3
North Beach HIGH 2015 8,Pyropia abbottiae,8
North Beach HIGH 2015 9,Pyropia abbottiae,7
North Beach HIGH 2016 6,Pyropia abbottiae,2
North Beach HIGH 2016 7,Pyropia abbottiae,2
North Beach HIGH 2016 8,Pyropia abbottiae,0.5
North Beach HIGH 2017 1,Pyropia abbottiae,1
North Beach HIGH 2017 3,Pyropia abbottiae,0.5
North Beach HIGH 2017 6,Pyropia abbottiae,15
North Beach HIGH 2017 9,Pyropia abbottiae,3
North Beach HIGH 2018 4,Pyropia abbottiae,8
North Beach HIGH 2018 6,Pyropia abbottiae,3
North Beach HIGH 2018 7,Pyropia abbottiae,11
North Beach HIGH 2019 10,Pyropia abbottiae,2
North Beach HIGH 2019 2,Pyropia abbottiae,7
North Beach HIGH 2019 4,Pyropia abbottiae,1
North Beach HIGH 2019 5,Pyropia abbottiae,12
North Beach HIGH 2019 8,Pyropia abbottiae,0.5
North Beach HIGH 2019 9,Pyropia abbottiae,0.5
North Beach LOW 2014 3,Pyropia abbottiae,0.5
North Beach LOW 2017 1,Pyropia abbottiae,5
North Beach LOW 2017 10,Pyropia abbottiae,29
North Beach LOW 2017 8,Pyropia abbottiae,4
North Beach LOW 2018 10,Pyropia abbottiae,17
North Beach MID 2011 1,Pyropia abbottiae,2
North Beach MID 2011 3,Pyropia abbottiae,1
North Beach MID 2011 9,Pyropia abbottiae,6
North Beach MID 2012 10,Pyropia abbottiae,2
North Beach MID 2013 10,Pyropia abbottiae,34
North Beach MID 2013 3,Pyropia abbottiae,6
North Beach MID 2013 4,Pyropia abbottiae,18
North Beach MID 2013 7,Pyropia abbottiae,25
North Beach MID 2013 9,Pyropia abbottiae,30
North Beach MID 2014 1,Pyropia abbottiae,8
North Beach MID 2014 3,Pyropia abbottiae,22
North Beach MID 2014 5,Pyropia abbottiae,9
North Beach MID 2014 7,Pyropia abbottiae,2
North Beach MID 2014 9,Pyropia abbottiae,4
North Beach MID 2015 10,Pyropia abbottiae,23
North Beach MID 2015 4,Pyropia abbottiae,1
North Beach MID 2015 5,Pyropia abbottiae,1
North Beach MID 2015 6,Pyropia abbottiae,12
North Beach MID 2015 7,Pyropia abbottiae,24
North Beach MID 2015 8,Pyropia abbottiae,11
North Beach MID 2015 9,Pyropia abbottiae,22
North Beach MID 2017 1,Pyropia abbottiae,5
North Beach MID 2017 10,Pyropia abbottiae,2
North Beach MID 2017 2,Pyropia abbottiae,3
North Beach MID 2017 3,Pyropia abbottiae,4
North Beach MID 2017 4,Pyropia abbottiae,53
North Beach MID 2017 5,Pyropia abbottiae,42
North Beach MID 2017 7,Pyropia abbottiae,3.5
North Beach MID 2018 1,Pyropia abbottiae,2
North Beach MID 2018 5,Pyropia abbottiae,1
North Beach MID 2019 1,Pyropia abbottiae,3
North Beach MID 2019 10,Pyropia abbottiae,50
North Beach MID 2019 2,Pyropia abbottiae,38
North Beach MID 2019 3,Pyropia abbottiae,14
North Beach MID 2019 4,Pyropia abbottiae,1
North Beach MID 2019 5,Pyropia abbottiae,5
North Beach MID 2019 6,Pyropia abbottiae,7
North Beach MID 2019 9,Pyropia abbottiae,4
West Beach HIGH 2013 7,Pyropia abbottiae,0.5
West Beach HIGH 2018 9,Pyropia abbottiae,0.5
West Beach HIGH 2019 8,Pyropia abbottiae,1
West Beach LOW 2013 4,Pyropia abbottiae,8
West Beach LOW 2018 1,Pyropia abbottiae,1
West Beach LOW 2019 3,Pyropia abbottiae,1
West Beach LOW 2019 7,Pyropia abbottiae,0.5
West Beach LOW 2019 8,Pyropia abbottiae,0.5
West Beach MID 2013 9,Pyropia abbottiae,7
West Beach MID 2015 10,Pyropia abbottiae,1
West Beach MID 2017 1,Pyropia abbottiae,0.5
West Beach MID 2019 6,Pyropia abbottiae,0.5
