UID,Taxon,Abundance
Fifth Beach HIGH 2011 9,Semibalanus cariosus,55
Fifth Beach HIGH 2011 9,Wildmania schizophylla,1
Fifth Beach HIGH 2012 1,Anthopleura sp.,2
Fifth Beach HIGH 2012 1,Balanus glandula,40
Fifth Beach HIGH 2012 1,Chthamalus dalli,20
Fifth Beach HIGH 2012 1,Cladophora columbiana,2
Fifth Beach HIGH 2012 1,Endocladia muricata,3
Fifth Beach HIGH 2012 1,Fucus distichus,75
Fifth Beach HIGH 2012 1,Gloiopeltis furcata,2
Fifth Beach HIGH 2012 1,Littorina sp.,400
Fifth Beach HIGH 2012 1,Lottia sp.,25
Fifth Beach HIGH 2012 1,Mastocarpus alaskensis,6
Fifth Beach HIGH 2012 1,Mytilus sp.,5
Fifth Beach HIGH 2012 1,Nucella sp.,3
Fifth Beach HIGH 2012 1,Pentidotea sp.,8
Fifth Beach HIGH 2012 1,Petrocelis,10
Fifth Beach HIGH 2012 1,Pyropia perforata,3
Fifth Beach HIGH 2012 1,Ulva lactuca,1
Fifth Beach HIGH 2012 1,Ulva linza,2
Fifth Beach HIGH 2012 1,Wildmania norrisii,2
Fifth Beach HIGH 2012 10,Acrosiphonia sp.,0.5
Fifth Beach HIGH 2012 10,Alaria marginata,8
Fifth Beach HIGH 2012 10,Balanus glandula,18
Fifth Beach HIGH 2012 10,bare rock,1
Fifth Beach HIGH 2012 10,Chthamalus dalli,10
Fifth Beach HIGH 2012 10,Corallina vancouveriensis,3
Fifth Beach HIGH 2012 10,Endocladia muricata,24
Fifth Beach HIGH 2012 10,Fucus distichus,12
Fifth Beach HIGH 2012 10,Gloiopeltis furcata,1
Fifth Beach HIGH 2012 10,Halosaccion glandiforme,2
Fifth Beach HIGH 2012 10,Hildenbrandia occidentalis,4
Fifth Beach HIGH 2012 10,Littorina sp.,320
Fifth Beach HIGH 2012 10,Lottia sp.,120
Fifth Beach HIGH 2012 10,Mastocarpus alaskensis,5
Fifth Beach HIGH 2012 10,Microcladia borealis,6
Fifth Beach HIGH 2012 10,Mytilus sp.,4
Fifth Beach HIGH 2012 10,Nemalion helminthoides,1
Fifth Beach HIGH 2012 10,Nucella sp.,2
Fifth Beach HIGH 2012 10,Plocamium violaceum,4
Fifth Beach HIGH 2012 10,Pyropia perforata,18
Fifth Beach HIGH 2012 10,Rhizoclonium tortuosum,1
Fifth Beach HIGH 2012 10,Scytosiphon dotyi,0.5
Fifth Beach HIGH 2012 10,Ulva lactuca,0.5
Fifth Beach HIGH 2012 10,Wildmania norrisii,8
Fifth Beach HIGH 2012 2,Amphiporus,1
Fifth Beach HIGH 2012 2,Analipus japonicus,1
Fifth Beach HIGH 2012 2,Anthopleura sp.,3
Fifth Beach HIGH 2012 2,Balanus glandula,55
Fifth Beach HIGH 2012 2,bare rock,0.5
Fifth Beach HIGH 2012 2,Cladophora columbiana,2
Fifth Beach HIGH 2012 2,Cryptosiphonia woodii,1
Fifth Beach HIGH 2012 2,Elachista fucicola,0.5
Fifth Beach HIGH 2012 2,Endocladia muricata,2
Fifth Beach HIGH 2012 2,Fucus distichus,88
Fifth Beach HIGH 2012 2,Halosaccion glandiforme,12
Fifth Beach HIGH 2012 2,Hildenbrandia occidentalis,35
Fifth Beach HIGH 2012 2,Littorina sp.,10
Fifth Beach HIGH 2012 2,Lottia sp.,4
Fifth Beach HIGH 2012 2,Mastocarpus agardhii,0.5
Fifth Beach HIGH 2012 2,Mastocarpus alaskensis,5
Fifth Beach HIGH 2012 2,Mazzaella parvula,1
Fifth Beach HIGH 2012 2,Microcladia borealis,0.5
Fifth Beach HIGH 2012 2,Mytilus sp.,0.5
Fifth Beach HIGH 2012 2,Pentidotea sp.,5
Fifth Beach HIGH 2012 2,Petrocelis,0.5
Fifth Beach HIGH 2012 2,Pyropia perforata,1
Fifth Beach HIGH 2012 2,Semibalanus cariosus,1
Fifth Beach HIGH 2012 2,Ulva lactuca,0.5
Fifth Beach HIGH 2012 2,Ulva linza,0.5
Fifth Beach HIGH 2012 3,Alaria marginata,2
Fifth Beach HIGH 2012 3,Balanus glandula,40
Fifth Beach HIGH 2012 3,Chamberlainium tumidum,1
Fifth Beach HIGH 2012 3,Chthamalus dalli,2
Fifth Beach HIGH 2012 3,Cryptosiphonia woodii,4
Fifth Beach HIGH 2012 3,Elachista fucicola,2
Fifth Beach HIGH 2012 3,Fucus distichus,98
Fifth Beach HIGH 2012 3,Halosaccion glandiforme,3
Fifth Beach HIGH 2012 3,Hildenbrandia occidentalis,30
Fifth Beach HIGH 2012 3,Lottia sp.,15
Fifth Beach HIGH 2012 3,Mastocarpus agardhii,2
Fifth Beach HIGH 2012 3,Mastocarpus alaskensis,6
Fifth Beach HIGH 2012 3,Mazzaella oregona,8
Fifth Beach HIGH 2012 3,Mytilus sp.,1
Fifth Beach HIGH 2012 3,Pagarus sp.,1
Fifth Beach HIGH 2012 3,Pentidotea sp.,1
Fifth Beach HIGH 2012 3,Pyropia perforata,3
Fifth Beach HIGH 2012 3,Ulva lactuca,4
Fifth Beach HIGH 2012 3,Ulva linza,1
Fifth Beach HIGH 2012 4,Acrosiphonia sp.,1
Fifth Beach HIGH 2012 4,Balanus glandula,30
Fifth Beach HIGH 2012 4,bare rock,2
Fifth Beach HIGH 2012 4,Chthamalus dalli,40
Fifth Beach HIGH 2012 4,Endocladia muricata,1
Fifth Beach HIGH 2012 4,Fucus distichus,70
Fifth Beach HIGH 2012 4,Hildenbrandia occidentalis,10
Fifth Beach HIGH 2012 4,Littorina sp.,300
Fifth Beach HIGH 2012 4,Lottia sp.,40
Fifth Beach HIGH 2012 4,Mastocarpus alaskensis,2
Fifth Beach HIGH 2012 4,Nemalion helminthoides,2
Fifth Beach HIGH 2012 4,Pentidotea sp.,1
Fifth Beach HIGH 2012 4,Pyropia perforata,8
Fifth Beach HIGH 2012 4,Ulva lactuca,2
Fifth Beach HIGH 2012 4,Ulva linza,1
Fifth Beach HIGH 2012 5,Acrosiphonia sp.,0.5
Fifth Beach HIGH 2012 5,Anthopleura sp.,1
Fifth Beach HIGH 2012 5,Balanus glandula,30
Fifth Beach HIGH 2012 5,bare rock,2
Fifth Beach HIGH 2012 5,Chamberlainium tumidum,3
Fifth Beach HIGH 2012 5,Chthamalus dalli,10
Fifth Beach HIGH 2012 5,Elachista fucicola,2
Fifth Beach HIGH 2012 5,Endocladia muricata,2
Fifth Beach HIGH 2012 5,Fucus distichus,70
Fifth Beach HIGH 2012 5,Halosaccion glandiforme,0.5
Fifth Beach HIGH 2012 5,Hildenbrandia occidentalis,40
Fifth Beach HIGH 2012 5,Littorina sp.,3
Fifth Beach HIGH 2012 5,Lottia sp.,7
Fifth Beach HIGH 2012 5,Mastocarpus alaskensis,15
Fifth Beach HIGH 2012 5,Mazzaella oregona,3
Fifth Beach HIGH 2012 5,Pentidotea sp.,3
Fifth Beach HIGH 2012 5,Pisaster ochraceus,1
Fifth Beach HIGH 2012 5,Pyropia perforata,3
Fifth Beach HIGH 2012 5,Semibalanus cariosus,3
Fifth Beach HIGH 2012 5,Ulva lactuca,0.5
Fifth Beach HIGH 2012 5,Ulva linza,13
Fifth Beach HIGH 2012 5,Wildmania norrisii,0.5
Fifth Beach HIGH 2012 6,Acrosiphonia sp.,5
Fifth Beach HIGH 2012 6,Alaria marginata,2
Fifth Beach HIGH 2012 6,Analipus japonicus,0.5
Fifth Beach HIGH 2012 6,Balanus glandula,12
Fifth Beach HIGH 2012 6,bare rock,3
Fifth Beach HIGH 2012 6,Callithamnion pikeanum,1
Fifth Beach HIGH 2012 6,Chamberlainium tumidum,8
Fifth Beach HIGH 2012 6,Chthamalus dalli,8
Fifth Beach HIGH 2012 6,Corallina vancouveriensis,1.5
Fifth Beach HIGH 2012 6,Cryptosiphonia woodii,4
Fifth Beach HIGH 2012 6,Endocladia muricata,18
Fifth Beach HIGH 2012 6,Fucus distichus,1.5
Fifth Beach HIGH 2012 6,Halosaccion glandiforme,1
Fifth Beach HIGH 2012 6,Littorina sp.,48
Fifth Beach HIGH 2012 6,Lottia sp.,6
Fifth Beach HIGH 2012 6,Mastocarpus agardhii,5
Fifth Beach HIGH 2012 6,Mastocarpus alaskensis,70
Fifth Beach HIGH 2012 6,Mazzaella oregona,4
Fifth Beach HIGH 2012 6,Mazzaella parksii,3
Fifth Beach HIGH 2012 6,Nemalion helminthoides,0.1
Fifth Beach HIGH 2012 6,Pentidotea sp.,1
Fifth Beach HIGH 2012 6,Petrocelis,12
Fifth Beach HIGH 2012 6,Polysiphonia hendryi,2.5
Fifth Beach HIGH 2012 6,Pyropia perforata,3
Fifth Beach HIGH 2012 6,Ulva lactuca,1
Fifth Beach HIGH 2012 6,Ulva linza,4
Fifth Beach HIGH 2012 7,Acrosiphonia sp.,2.5
Fifth Beach HIGH 2012 7,Anthopleura sp.,1
Fifth Beach HIGH 2012 7,Balanus glandula,30
Fifth Beach HIGH 2012 7,Chamberlainium tumidum,1.5
Fifth Beach HIGH 2012 7,Chiton,2
Fifth Beach HIGH 2012 7,Chthamalus dalli,50
Fifth Beach HIGH 2012 7,Corallina vancouveriensis,3
Fifth Beach HIGH 2012 7,Endocladia muricata,10
Fifth Beach HIGH 2012 7,Fucus distichus,7
Fifth Beach HIGH 2012 7,Littorina sp.,320
Fifth Beach HIGH 2012 7,Lottia sp.,65
Fifth Beach HIGH 2012 7,Mastocarpus alaskensis,1
Fifth Beach HIGH 2012 7,Mazzaella oregona,3
Fifth Beach HIGH 2012 7,Mytilus sp.,2
Fifth Beach HIGH 2012 7,Nemalion helminthoides,0.1
Fifth Beach HIGH 2012 7,Nucella sp.,1
Fifth Beach HIGH 2012 7,Petrocelis,5
Fifth Beach HIGH 2012 7,Plocamium violaceum,5
Fifth Beach HIGH 2012 7,Pollicipes polymerus,0.5
Fifth Beach HIGH 2012 7,Polysiphonia hendryi,2
Fifth Beach HIGH 2012 7,Polysiphonia pacifica var delicatula,1.5
Fifth Beach HIGH 2012 7,Pyropia perforata,2
Fifth Beach HIGH 2012 7,Savoiea robusta,6
Fifth Beach HIGH 2012 7,Semibalanus cariosus,10
Fifth Beach HIGH 2012 7,Wildmania norrisii,6
Fifth Beach HIGH 2012 8,Alaria marginata,0.1
Fifth Beach HIGH 2012 8,Anthopleura sp.,2
Fifth Beach HIGH 2012 8,Balanus glandula,15
Fifth Beach HIGH 2012 8,bare rock,12
Fifth Beach HIGH 2012 8,Callithamnion pikeanum,3.5
Fifth Beach HIGH 2012 8,Chthamalus dalli,30
Fifth Beach HIGH 2012 8,Endocladia muricata,5
Fifth Beach HIGH 2012 8,Fucus distichus,6
Fifth Beach HIGH 2012 8,Littorina sp.,108
Fifth Beach HIGH 2012 8,Lottia sp.,128
Fifth Beach HIGH 2012 8,Mastocarpus alaskensis,0.5
Fifth Beach HIGH 2012 8,Mazzaella oregona,1
Fifth Beach HIGH 2012 8,Mytilus sp.,10
Fifth Beach HIGH 2012 8,Petrocelis,0.5
Fifth Beach HIGH 2012 8,Savoiea robusta,0.5
Fifth Beach HIGH 2012 8,Semibalanus cariosus,36
Fifth Beach HIGH 2012 8,Ulva linza,0.5
Fifth Beach HIGH 2012 8,Wildmania norrisii,1
Fifth Beach HIGH 2012 9,Acrosiphonia sp.,1
Fifth Beach HIGH 2012 9,Alaria marginata,5
Fifth Beach HIGH 2012 9,Callithamnion pikeanum,1.5
Fifth Beach HIGH 2012 9,Corallina vancouveriensis,4
Fifth Beach HIGH 2012 9,Endocladia muricata,9
Fifth Beach HIGH 2012 9,Gloiopeltis furcata,1
Fifth Beach HIGH 2012 9,Littorina sp.,250
Fifth Beach HIGH 2012 9,Lottia sp.,350
Fifth Beach HIGH 2012 9,Mastocarpus alaskensis,5
Fifth Beach HIGH 2012 9,Mazzaella oregona,6
Fifth Beach HIGH 2012 9,Microcladia borealis,3.5
Fifth Beach HIGH 2012 9,Mytilus sp.,25
Fifth Beach HIGH 2012 9,Nemalion helminthoides,1.5
Fifth Beach HIGH 2012 9,Nucella sp.,2
Fifth Beach HIGH 2012 9,Pollicipes polymerus,6
Fifth Beach HIGH 2012 9,Polysiphonia hendryi,1.5
Fifth Beach HIGH 2012 9,Savoiea robusta,18
Fifth Beach HIGH 2012 9,Semibalanus cariosus,20
Fifth Beach HIGH 2012 9,Ulva linza,0.5
Fifth Beach HIGH 2012 9,Wildmania norrisii,4
Fifth Beach HIGH 2012 9,Worm,1
Fifth Beach HIGH 2013 1,bare rock,7
Fifth Beach HIGH 2013 1,Barnacle,80
Fifth Beach HIGH 2013 1,Elachista fucicola,1
Fifth Beach HIGH 2013 1,Endocladia muricata,1
Fifth Beach HIGH 2013 1,Fucus distichus,75
Fifth Beach HIGH 2013 1,Hildenbrandia occidentalis,1
Fifth Beach HIGH 2013 1,Mastocarpus alaskensis,2
Fifth Beach HIGH 2013 1,Petrocelis,14
Fifth Beach HIGH 2013 1,Ulva lactuca,0.5
Fifth Beach HIGH 2013 10,Acrosiphonia arcta,0.5
Fifth Beach HIGH 2013 10,bare rock,3
Fifth Beach HIGH 2013 10,Barnacle,75
Fifth Beach HIGH 2013 10,Callithamnion pikeanum,1
Fifth Beach HIGH 2013 10,Endocladia muricata,8
Fifth Beach HIGH 2013 10,Fucus distichus,3
Fifth Beach HIGH 2013 10,Mastocarpus agardhii,1
Fifth Beach HIGH 2013 10,Mytilus sp.,24
Fifth Beach HIGH 2013 10,Petrocelis,0.5
Fifth Beach HIGH 2013 10,Polysiphonia hendryi var. hendryi,1
Fifth Beach HIGH 2013 10,Pyropia abbottiae,2
Fifth Beach HIGH 2013 10,Pyropia perforata,4
Fifth Beach HIGH 2013 10,Ulva linza,0.5
Fifth Beach HIGH 2013 2,bare rock,5
Fifth Beach HIGH 2013 2,Barnacle,60
Fifth Beach HIGH 2013 2,Endocladia muricata,4
Fifth Beach HIGH 2013 2,Fucus distichus,20
Fifth Beach HIGH 2013 2,Mastocarpus alaskensis,1
Fifth Beach HIGH 2013 2,Petrocelis,35
Fifth Beach HIGH 2013 2,Pyropia perforata,4
Fifth Beach HIGH 2013 2,Ulva lactuca,1
Fifth Beach HIGH 2013 3,Alaria marginata,0.5
Fifth Beach HIGH 2013 3,bare rock,2
Fifth Beach HIGH 2013 3,Barnacle,2
Fifth Beach HIGH 2013 3,Chamberlainium tumidum,0.5
Fifth Beach HIGH 2013 3,Cladophora sericea,1
Fifth Beach HIGH 2013 3,Cumathamnion decipiens,1
Fifth Beach HIGH 2013 3,Farlowia mollis,3
Fifth Beach HIGH 2013 3,Gloiopeltis furcata,50
Fifth Beach HIGH 2013 3,Hildenbrandia occidentalis,0.5
Fifth Beach HIGH 2013 3,Hildenbrandia sp.,0.5
Fifth Beach HIGH 2013 3,Mazzaella oregona,0.5
Fifth Beach HIGH 2013 3,Mytilus sp.,6
Fifth Beach HIGH 2013 3,Petrocelis,3
Fifth Beach HIGH 2013 3,Plocamium violaceum,1
Fifth Beach HIGH 2013 3,Pyropia abbottiae,1
Fifth Beach HIGH 2013 3,Savoiea robusta,0.5
Fifth Beach HIGH 2013 3,Ulva lactuca,1
Fifth Beach HIGH 2013 4,bare rock,3
Fifth Beach HIGH 2013 4,Barnacle,87
Fifth Beach HIGH 2013 4,Endocladia muricata,1
Fifth Beach HIGH 2013 4,Fucus distichus,85
Fifth Beach HIGH 2013 4,Hildenbrandia occidentalis,1
Fifth Beach HIGH 2013 4,Petrocelis,9
Fifth Beach HIGH 2013 4,Pyropia perforata,0.5
Fifth Beach HIGH 2013 4,Ulva linza,0.5
Fifth Beach HIGH 2013 5,Acrosiphonia arcta,0.5
Fifth Beach HIGH 2013 5,bare rock,0.5
Fifth Beach HIGH 2013 5,Cryptosiphonia woodii,0.5
Fifth Beach HIGH 2013 5,Elachista fucicola,6
Fifth Beach HIGH 2013 5,Endocladia muricata,6
Fifth Beach HIGH 2013 5,Fucus distichus,60
Fifth Beach HIGH 2013 5,Halosaccion glandiforme,1
Fifth Beach HIGH 2013 5,Hildenbrandia occidentalis,90
Fifth Beach HIGH 2013 5,Mastocarpus agardhii,1
Fifth Beach HIGH 2013 5,Mastocarpus alaskensis,2
Fifth Beach HIGH 2013 5,Mazzaella oregona,1
Fifth Beach HIGH 2013 5,Mazzaella parksii,2
Fifth Beach HIGH 2013 5,Petrocelis,10
Fifth Beach HIGH 2013 5,Pyropia perforata,1
Fifth Beach HIGH 2013 5,Ulva lactuca,0.5
Fifth Beach HIGH 2013 5,Ulva linza,1
Fifth Beach HIGH 2013 6,Acrosiphonia arcta,13
Fifth Beach HIGH 2013 6,Alaria marginata,4
Fifth Beach HIGH 2013 6,Analipus japonicus,0.5
Fifth Beach HIGH 2013 6,bare rock,18
Fifth Beach HIGH 2013 6,Callithamnion pikeanum,0.5
Fifth Beach HIGH 2013 6,Chamberlainium tumidum,11
Fifth Beach HIGH 2013 6,Corallina vancouveriensis,1
Fifth Beach HIGH 2013 6,Endocladia muricata,0.5
Fifth Beach HIGH 2013 6,Fucus distichus,5
Fifth Beach HIGH 2013 6,Halosaccion glandiforme,1
Fifth Beach HIGH 2013 6,Hildenbrandia occidentalis,43
Fifth Beach HIGH 2013 6,Mazzaella oregona,2
Fifth Beach HIGH 2013 6,Melanosiphon intestinalis,0.5
Fifth Beach HIGH 2013 6,Palmaria hecatensis,3
Fifth Beach HIGH 2013 6,Plocamium violaceum,2
Fifth Beach HIGH 2013 6,Pyropia perforata,4
Fifth Beach HIGH 2013 6,Ulva lactuca,16
Fifth Beach HIGH 2013 6,Ulva linza,2
Fifth Beach HIGH 2013 7,Acrosiphonia arcta,1
Fifth Beach HIGH 2013 7,Alaria marginata,1
Fifth Beach HIGH 2013 7,bare rock,2
Fifth Beach HIGH 2013 7,Barnacle,60
Fifth Beach HIGH 2013 7,Corallina vancouveriensis,1
Fifth Beach HIGH 2013 7,Cryptosiphonia woodii,0.5
Fifth Beach HIGH 2013 7,Endocladia muricata,25
Fifth Beach HIGH 2013 7,Fucus distichus,4
Fifth Beach HIGH 2013 7,Hildenbrandia occidentalis,5
Fifth Beach HIGH 2013 7,Mastocarpus alaskensis,2
Fifth Beach HIGH 2013 7,Mazzaella oregona,2
Fifth Beach HIGH 2013 7,Petrocelis,8
Fifth Beach HIGH 2013 7,Plocamium violaceum,8
Fifth Beach HIGH 2013 7,Prionitis sternbergii,5
Fifth Beach HIGH 2013 7,Pyropia perforata,5
Fifth Beach HIGH 2013 7,Savoiea robusta,0.5
Fifth Beach HIGH 2013 7,Ulva lactuca,0.5
Fifth Beach HIGH 2013 8,Acrosiphonia arcta,0.5
Fifth Beach HIGH 2013 8,Alaria marginata,3
Fifth Beach HIGH 2013 8,bare rock,2
Fifth Beach HIGH 2013 8,Barnacle,0.5
Fifth Beach HIGH 2013 8,Cladophora columbiana,1
Fifth Beach HIGH 2013 8,Cladophora sericea,0.5
Fifth Beach HIGH 2013 8,Farlowia mollis,35
Fifth Beach HIGH 2013 8,Gloiopeltis furcata,18
Fifth Beach HIGH 2013 8,Hildenbrandia occidentalis,0.5
Fifth Beach HIGH 2013 8,Microcladia borealis,0.5
Fifth Beach HIGH 2013 8,Mytilus sp.,23
Fifth Beach HIGH 2013 8,Petrocelis,0.5
Fifth Beach HIGH 2013 8,Plocamium violaceum,8
Fifth Beach HIGH 2013 8,Polysiphonia pacifica,2
Fifth Beach HIGH 2013 8,Pyropia abbottiae,2
Fifth Beach HIGH 2013 8,Pyropia fucicola,1
Fifth Beach HIGH 2013 8,Pyropia perforata,30
Fifth Beach HIGH 2013 8,Savoiea robusta,4
Fifth Beach HIGH 2013 8,Wildmania norrisii,1
Fifth Beach HIGH 2013 9,Acrosiphonia arcta,0.5
Fifth Beach HIGH 2013 9,Alaria marginata,1
Fifth Beach HIGH 2013 9,bare rock,4
Fifth Beach HIGH 2013 9,Barnacle,50
Fifth Beach HIGH 2013 9,Callithamnion pikeanum,2
Fifth Beach HIGH 2013 9,Corallina vancouveriensis,4
Fifth Beach HIGH 2013 9,Endocladia muricata,13
