"UID","Taxon","Abundance"
"Foggy Cove LOW 2012 2","Bare Rock","15"
"Foggy Cove LOW 2012 2","Encrusting Corraline","2"
"Foggy Cove LOW 2012 2","Acrosiphonia coalita","1"
"Foggy Cove LOW 2012 2","Alaria marginata","10"
"Foggy Cove LOW 2012 2","Corallina frondescens","4"
"Foggy Cove LOW 2012 2","Corallina vancouveriensis","1"
"Foggy Cove LOW 2012 2","Coralline crust, unknown","2"
"Foggy Cove LOW 2012 2","Egregia menziesii","10"
"Foggy Cove LOW 2012 2","Hildenbrandia","2"
"Foggy Cove LOW 2012 2","Mazzaella oregona","4"
"Foggy Cove LOW 2012 2","Mazzaella splendens","5"
"Foggy Cove LOW 2012 2","Neogastroclonium subarticulatum","2"
"Foggy Cove LOW 2012 2","Neorhodomela larix","8"
"Foggy Cove LOW 2012 2","Osmundea spectabilis","1"
"Foggy Cove LOW 2012 2","Palmaria hecatensis","7"
"Foggy Cove LOW 2012 2","Polyneura latissima","15"
"Foggy Cove LOW 2012 2","Pyropia sp.","1"
"Foggy Cove LOW 2012 2","Prionitis sternbergii","3"
"Foggy Cove LOW 2012 2","Ptilota spp.","5"
"Foggy Cove LOW 2012 2","Ulva lactuca","4"
"Foggy Cove LOW 2012 2","Pagarus spp.","1"
"Foggy Cove LOW 2012 2","Pink Worm (Amphiporus)","1"
"Foggy Cove LOW 2012 2","Kelp Crab","1"
"Foggy Cove LOW 2012 3","Bare Rock","15"
"Foggy Cove LOW 2012 3","Encrusting Corraline","4"
"Foggy Cove LOW 2012 3","Acrosiphonia coalita","10"
"Foggy Cove LOW 2012 3","Alaria marginata","8"
"Foggy Cove LOW 2012 3","Corallina frondescens","7"
"Foggy Cove LOW 2012 3","Coralline crust, unknown","4"
"Foggy Cove LOW 2012 3","Cryptopleura","3"
"Foggy Cove LOW 2012 3","Egregia menziesii","6"
"Foggy Cove LOW 2012 3","Hildenbrandia","5"
"Foggy Cove LOW 2012 3","Mazzaella oregona","3"
"Foggy Cove LOW 2012 3","Mazzaella splendens","2"
"Foggy Cove LOW 2012 3","Neorhodomela larix","4"
"Foggy Cove LOW 2012 3","Odonthalia floccosa","4"
"Foggy Cove LOW 2012 3","Palmaria hecatensis","12"
"Foggy Cove LOW 2012 3","Ptilota spp.","2"
"Foggy Cove LOW 2012 3","Saccharina groenlandica","5"
"Foggy Cove LOW 2012 3","Ulva lactuca","10"
"Foggy Cove LOW 2012 4","Encrusting Corraline","10"
"Foggy Cove LOW 2012 4","Alaria marginata","35"
"Foggy Cove LOW 2012 4","Ceramium pacificum","1"
"Foggy Cove LOW 2012 4","Codium fragile","8"
"Foggy Cove LOW 2012 4","Corallina frondescens","4"
"Foggy Cove LOW 2012 4","Coralline crust, unknown","10"
"Foggy Cove LOW 2012 4","Cryptosiphonia woodii","0.5"
"Foggy Cove LOW 2012 4","Delesseria decipiens","0.5"
"Foggy Cove LOW 2012 4","Fucus distichus","10"
"Foggy Cove LOW 2012 4","Halosaccion glandiforme","0.5"
"Foggy Cove LOW 2012 4","Hildenbrandia","2"
"Foggy Cove LOW 2012 4","Mazzaella splendens","3"
"Foggy Cove LOW 2012 4","Neogastroclonium subarticulatum","0.5"
"Foggy Cove LOW 2012 4","Neorhodomela larix","10"
"Foggy Cove LOW 2012 4","Odonthalia floccosa","0.5"
"Foggy Cove LOW 2012 4","Osmundea spectabilis","2"
"Foggy Cove LOW 2012 4","Palmaria hecatensis","15"
"Foggy Cove LOW 2012 4","Plocamium violaceum","0.5"
"Foggy Cove LOW 2012 4","Polyneura latissima","12"
"Foggy Cove LOW 2012 4","Prionitis sternbergii","6"
"Foggy Cove LOW 2012 4","Ptilota spp.","4"
"Foggy Cove LOW 2012 4","Saccharina groenlandica","10"
"Foggy Cove LOW 2012 4","Ulva lactuca","2"
"Foggy Cove LOW 2012 4","Red Crust","2"
"Foggy Cove LOW 2012 4","Pisaster ochraceus","1"
"Foggy Cove LOW 2012 4","Pink Worm (Amphiporus)","1"
"Foggy Cove LOW 2012 4","Limpets","1"
"Foggy Cove LOW 2012 4","Spirorbidae","1"
"Foggy Cove LOW 2012 5","Encrusting Corraline","5"
"Foggy Cove LOW 2012 5","Bossiella frondifera","4"
"Foggy Cove LOW 2012 5","Ceramium pacificum","0.5"
"Foggy Cove LOW 2012 5","Codium fragile","13"
"Foggy Cove LOW 2012 5","Corallina frondescens","4"
"Foggy Cove LOW 2012 5","Corallina vancouveriensis","6"
"Foggy Cove LOW 2012 5","Coralline crust, unknown","5"
"Foggy Cove LOW 2012 5","Fucus distichus","0.5"
"Foggy Cove LOW 2012 5","Halosaccion glandiforme","0.5"
"Foggy Cove LOW 2012 5","Hildenbrandia","5"
"Foggy Cove LOW 2012 5","Laminaria yezoensis","5"
"Foggy Cove LOW 2012 5","Lomentaria hakodatensis","0.5"
"Foggy Cove LOW 2012 5","Mastocarpus latissimus","1"
"Foggy Cove LOW 2012 5","Mastocarpus agardhii","0.5"
"Foggy Cove LOW 2012 5","Mazzaella oregona","0.5"
"Foggy Cove LOW 2012 5","Mazzaella splendens","13"
"Foggy Cove LOW 2012 5","Neogastroclonium subarticulatum","3"
"Foggy Cove LOW 2012 5","Neorhodomela larix","5"
"Foggy Cove LOW 2012 5","Palmaria hecatensis","1"
"Foggy Cove LOW 2012 5","Palmaria mollis","1"
"Foggy Cove LOW 2012 5","Polyneura latissima","25"
"Foggy Cove LOW 2012 5","Pyropia sp.","1"
"Foggy Cove LOW 2012 5","Ptilota spp.","1"
"Foggy Cove LOW 2012 5","Ulva lactuca","1"
"Foggy Cove LOW 2012 5","Red Crust","5"
"Foggy Cove LOW 2012 5","Pink Worm (Amphiporus)","1"
"Foggy Cove LOW 2012 5","Limpets","1"
"Foggy Cove LOW 2012 5","Spirorbidae","0.5"
"Foggy Cove LOW 2012 5","Margarites or Calliostoma","1"
"Foggy Cove LOW 2012 5","Halichondria","1"
"Foggy Cove LOW 2012 6","Bare Rock","10"
"Foggy Cove LOW 2012 6","Alaria marginata","25"
"Foggy Cove LOW 2012 6","Antithamnionella pacifica","1"
"Foggy Cove LOW 2012 6","Bossiella frondifera","4"
"Foggy Cove LOW 2012 6","Corallina frondescens","20"
"Foggy Cove LOW 2012 6","Corallina vancouveriensis","3"
"Foggy Cove LOW 2012 6","Egregia menziesii","6"
"Foggy Cove LOW 2012 6","Endocladia muricata","3"
"Foggy Cove LOW 2012 6","Fucus distichus","4"
"Foggy Cove LOW 2012 6","Hildenbrandia","3"
"Foggy Cove LOW 2012 6","Mastocarpus agardhii","8"
"Foggy Cove LOW 2012 6","Mazzaella oregona","5"
"Foggy Cove LOW 2012 6","Neorhodomela larix","8"
"Foggy Cove LOW 2012 6","Palmaria hecatensis","5"
"Foggy Cove LOW 2012 6","Polyneura latissima","6"
"Foggy Cove LOW 2012 6","Prionitis sternbergii","0.5"
"Foggy Cove LOW 2012 6","Ptilota spp.","7"
"Foggy Cove LOW 2012 6","Ulva lactuca","4"
"Foggy Cove LOW 2012 6","Pagarus spp.","1"
"Foggy Cove LOW 2012 6","Chiton","1"
"Foggy Cove LOW 2012 6","Littornia","1"
"Foggy Cove LOW 2012 7","Bare Rock","4"
"Foggy Cove LOW 2012 7","Acrosiphonia coalita","0.5"
"Foggy Cove LOW 2012 7","Alaria marginata","4"
"Foggy Cove LOW 2012 7","Antithamnionella pacifica","2"
"Foggy Cove LOW 2012 7","Ceramium codicola","4"
"Foggy Cove LOW 2012 7","Ceramium pacificum","4"
"Foggy Cove LOW 2012 7","Codium fragile","6"
"Foggy Cove LOW 2012 7","Corallina frondescens","6"
"Foggy Cove LOW 2012 7","Corallina vancouveriensis","4"
"Foggy Cove LOW 2012 7","Cryptopleura","4"
"Foggy Cove LOW 2012 7","Cryptosiphonia woodii","7"
"Foggy Cove LOW 2012 7","Fucus distichus","70"
"Foggy Cove LOW 2012 7","Halosaccion glandiforme","2"
"Foggy Cove LOW 2012 7","Hildenbrandia","0.5"
"Foggy Cove LOW 2012 7","Mastocarpus latissimus","8"
"Foggy Cove LOW 2012 7","Mastocarpus agardhii","3"
"Foggy Cove LOW 2012 7","Mazzaella oregona","5"
"Foggy Cove LOW 2012 7","Neogastroclonium subarticulatum","2"
"Foggy Cove LOW 2012 7","Neorhodomela larix","4"
"Foggy Cove LOW 2012 7","Odonthalia floccosa","1"
"Foggy Cove LOW 2012 7","Palmaria hecatensis","5"
"Foggy Cove LOW 2012 7","Plocamium violaceum","12"
"Foggy Cove LOW 2012 7","Polyneura latissima","8"
"Foggy Cove LOW 2012 7","Pseudolithophyllum neofarlowii","8"
"Foggy Cove LOW 2012 7","Ptilota spp.","7"
"Foggy Cove LOW 2012 7","Ulva lactuca","0.5"
"Foggy Cove LOW 2012 7","Pink Worm (Amphiporus)","1"
"Foggy Cove LOW 2012 8","Alaria marginata","6"
"Foggy Cove LOW 2012 8","Ceramium codicola","6"
"Foggy Cove LOW 2012 8","Ceramium pacificum","6"
"Foggy Cove LOW 2012 8","Codium fragile","12"
"Foggy Cove LOW 2012 8","Corallina frondescens","5"
"Foggy Cove LOW 2012 8","Corallina vancouveriensis","2"
"Foggy Cove LOW 2012 8","Cryptopleura","3"
"Foggy Cove LOW 2012 8","Cryptosiphonia woodii","8"
"Foggy Cove LOW 2012 8","Fucus distichus","30"
"Foggy Cove LOW 2012 8","Mastocarpus latissimus","3"
"Foggy Cove LOW 2012 8","Neorhodomela larix","5"
"Foggy Cove LOW 2012 8","Odonthalia floccosa","0.5"
"Foggy Cove LOW 2012 8","Palmaria hecatensis","4"
"Foggy Cove LOW 2012 8","Plocamium violaceum","25"
"Foggy Cove LOW 2012 8","Polyneura latissima","10"
"Foggy Cove LOW 2012 8","Pyropia sp.","2"
"Foggy Cove LOW 2012 8","Pseudolithophyllum neofarlowii","2"
"Foggy Cove LOW 2012 8","Ptilota spp.","7"
"Foggy Cove LOW 2012 8","Tokidadendron bullatum","0.5"
"Foggy Cove LOW 2012 8","Ulva lactuca","8"
"Foggy Cove LOW 2012 9","Encrusting Corraline","7"
"Foggy Cove LOW 2012 9","Acrosiphonia coalita","2"
"Foggy Cove LOW 2012 9","Alaria marginata","75"
"Foggy Cove LOW 2012 9","Analipus japonicus","0.5"
"Foggy Cove LOW 2012 9","Bossiella frondifera","5"
"Foggy Cove LOW 2012 9","Codium fragile","3"
"Foggy Cove LOW 2012 9","Corallina frondescens","5"
"Foggy Cove LOW 2012 9","Corallina vancouveriensis","2"
"Foggy Cove LOW 2012 9","Coralline crust, unknown","7"
"Foggy Cove LOW 2012 9","Cryptosiphonia woodii","0.5"
"Foggy Cove LOW 2012 9","Desmarestia aculeata","0.5"
"Foggy Cove LOW 2012 9","Egregia menziesii","4"
"Foggy Cove LOW 2012 9","Fucus distichus","3"
"Foggy Cove LOW 2012 9","Halosaccion glandiforme","0.5"
"Foggy Cove LOW 2012 9","Hildenbrandia","5"
"Foggy Cove LOW 2012 9","Leathesia marina","0.5"
"Foggy Cove LOW 2012 9","Mastocarpus agardhii","2"
"Foggy Cove LOW 2012 9","Mazzaella oregona","2"
"Foggy Cove LOW 2012 9","Neorhodomela larix","0.5"
"Foggy Cove LOW 2012 9","Palmaria hecatensis","15"
"Foggy Cove LOW 2012 9","Palmaria mollis","0.5"
"Foggy Cove LOW 2012 9","Phyllospadix serrulatus","0.5"
"Foggy Cove LOW 2012 9","Plocamium violaceum","3"
"Foggy Cove LOW 2012 9","Polyneura latissima","3"
"Foggy Cove LOW 2012 9","Ptilota spp.","1"
"Foggy Cove LOW 2012 9","Rhodocorton purpureum","3"
"Foggy Cove LOW 2012 9","Saccharina groenlandica","0.5"
"Foggy Cove LOW 2012 9","Ulva lactuca","5"
"Foggy Cove LOW 2012 9","Red Crust","5"
"Foggy Cove LOW 2012 9","Pink Worm (Amphiporus)","3"
"Foggy Cove LOW 2012 9","Spirorbidae","1"
"Foggy Cove LOW 2012 9","Tonicella lineata","1"
"Foggy Cove LOW 2012 9","Orange Sponge","1"
"Foggy Cove LOW 2012 10","Encrusting Corraline","3"
"Foggy Cove LOW 2012 10","Acrosiphonia coalita","0.5"
"Foggy Cove LOW 2012 10","Alaria marginata","35"
"Foggy Cove LOW 2012 10","Ceramium pacificum","0.5"
"Foggy Cove LOW 2012 10","Corallina frondescens","1"
"Foggy Cove LOW 2012 10","Corallina vancouveriensis","2"
"Foggy Cove LOW 2012 10","Coralline crust, unknown","3"
"Foggy Cove LOW 2012 10","Cryptosiphonia woodii","10"
"Foggy Cove LOW 2012 10","Dilsea californica","2"
"Foggy Cove LOW 2012 10","Farlowia mollis","0.5"
"Foggy Cove LOW 2012 10","Fucus distichus","10"
"Foggy Cove LOW 2012 10","Halosaccion glandiforme","2"
"Foggy Cove LOW 2012 10","Leathesia marina","4"
"Foggy Cove LOW 2012 10","Lomentaria hakodatensis","0.5"
"Foggy Cove LOW 2012 10","Mazzaella oregona","0.5"
"Foggy Cove LOW 2012 10","Neogastroclonium subarticulatum","3"
"Foggy Cove LOW 2012 10","Neorhodomela larix","35"
"Foggy Cove LOW 2012 10","Petrocelis","0.5"
"Foggy Cove LOW 2012 10","Phyllospadix serrulatus","20"
"Foggy Cove LOW 2012 10","Plocamium violaceum","5"
"Foggy Cove LOW 2012 10","Polyneura latissima","2"
"Foggy Cove LOW 2012 10","Ptilota spp.","3"
"Foggy Cove LOW 2012 10","Ulva lactuca","0.5"
"Foggy Cove LOW 2012 10","Pagarus spp.","2"
"Foggy Cove LOW 2012 10","Limpets","1"
"Foggy Cove LOW 2012 10","Bittium?","2"
"Foggy Cove MID 2011 1","Cryptosiphonia woodii","3"
"Foggy Cove MID 2011 1","Elachista fucicola","1"
"Foggy Cove MID 2011 1","Endocladia muricata","4"
"Foggy Cove MID 2011 1","Fucus distichus subsp. evanescens","50"
"Foggy Cove MID 2011 1","Halosaccion glandiforme","4"
"Foggy Cove MID 2011 1","Hildenbrandia","2"
"Foggy Cove MID 2011 1","Mastocarpus latissimus","4"
"Foggy Cove MID 2011 1","Mastocarpus rigidus","15"
"Foggy Cove MID 2011 1","Mazzaella oregona","3"
"Foggy Cove MID 2011 1","Petrocelis--thick","13"
"Foggy Cove MID 2011 1","Petrocelis--thin","3"
"Foggy Cove MID 2011 1","Pseudolithophyllum neofarlowii","1"
"Foggy Cove MID 2011 2","Bare rock","50"
"Foggy Cove MID 2011 2","Elachista fucicola","3"
"Foggy Cove MID 2011 2","Endocladia muricata","0.5"
"Foggy Cove MID 2011 2","Fucus distichus subsp. evanescens","65"
