Site,FID,Shape *,Zone,ID,Site,Transect,StartEnd,UTMn,UTMe,aspect,slope
Foggy Cove,65,Point,MID,Foggy Mid 28, , ,28,5722574.059,559253.2014,71.634789,56.893177
Foggy Cove,66,Point,MID,Foggy Mid 29, , ,29,5722573.459,559252.4011,181.364395,55.284752
Foggy Cove,67,Point,MID,Foggy Mid 30, , ,30,5722572.86,559251.6008,2.063268,1.556991
Foggy Cove,68,Point,MID,Foggy Mid 31, , ,31,5722572.26,559250.8006,349.57135,13.644152
Foggy Cove,69,Point,MID,Foggy Mid 32, , ,32,5722571.66,559250.0003,342.062988,8.769424
Foggy Cove,70,Point,MID,Foggy Mid 33, , ,33,5722571.061,559249.2,270.223419,7.250606
Foggy Cove,71,Point,MID,Foggy Mid 34, , ,34,5722570.461,559248.3998,358.660065,15.374066
Foggy Cove,72,Point,MID,Foggy Mid 35, , ,35,5722569.861,559247.5995,202.91629,15.343904
Foggy Cove,73,Point,MID,Foggy Mid 36, , ,36,5722569.262,559246.7992,301.553833,1.015494
Foggy Cove,74,Point,MID,Foggy Mid 37, , ,37,5722568.662,559245.999,346.100342,27.463352
Foggy Cove,75,Point,MID,Foggy Mid 38, , ,38,5722568.062,559245.1987,357.55838,4.72284
Foggy Cove,76,Point,MID,Foggy Mid 39, , ,39,5722567.463,559244.3984,87.89772,15.435257
Foggy Cove,77,Point,MID,Foggy Mid 40, , ,40,5722566.863,559243.5982,2.433557,4.708244
Foggy Cove,78,Point,MID,Foggy Mid 41, , ,41,5722566.263,559242.7979,57.929356,27.4018
Foggy Cove,79,Point,MID,Foggy Mid 42, , ,42,5722565.664,559241.9976,300.117828,50.541878
Foggy Cove,80,Point,MID,Foggy Mid 43, , ,43,5722565.064,559241.1974,296.894562,20.099386
Foggy Cove,81,Point,MID,Foggy Mid 44, , ,44,5722564.465,559240.3971,115.481636,41.147366
Foggy Cove,82,Point,MID,Foggy Mid 45, , ,45,5722563.865,559239.5969,233.994293,4.506487
Foggy Cove,83,Point,MID,Foggy Mid 46, , ,46,5722563.265,559238.7966,357.414398,13.953025
Foggy Cove,84,Point,MID,Foggy Mid 47, , ,47,5722562.666,559237.9963,245.895233,19.988966
Foggy Cove,85,Point,MID,Foggy Mid 48, , ,48,5722562.066,559237.1961,47.707783,5.717052
Foggy Cove,86,Point,MID,Foggy Mid 49,WB,Mid,End,5722561.661,559236.6559,25.655132,45.915703
Foggy Cove,87,Point,HIGH,Foggy High 0,WB,High,Start,5722571.036,559288.0958,252.134201,19.035305
Foggy Cove,88,Point,HIGH,Foggy High 1, , ,1,5722570.272,559287.4511,52.514549,58.938457
Foggy Cove,89,Point,HIGH,Foggy High 2, , ,2,5722569.507,559286.8064,231.659103,8.280424
Foggy Cove,90,Point,HIGH,Foggy High 3, , ,3,5722568.743,559286.1618,212.170029,12.960378
Foggy Cove,91,Point,HIGH,Foggy High 4, , ,4,5722567.979,559285.5171,280.185944,15.102571
Foggy Cove,92,Point,HIGH,Foggy High 5, , ,5,5722567.214,559284.8724,14.505514,60.645409
Foggy Cove,93,Point,HIGH,Foggy High 6, , ,6,5722566.45,559284.2277,248.489822,49.686745
Foggy Cove,94,Point,HIGH,Foggy High 7, , ,7,5722565.685,559283.583,354.396729,5.103178
Foggy Cove,95,Point,HIGH,Foggy High 8, , ,8,5722564.921,559282.9383,160.075333,38.350822
Foggy Cove,96,Point,HIGH,Foggy High 9, , ,9,5722564.156,559282.2937,36.365665,32.938751
Foggy Cove,97,Point,HIGH,Foggy High 10, , ,10,5722563.392,559281.649,317.931885,39.401272
Foggy Cove,98,Point,HIGH,Foggy High 11, , ,11,5722562.627,559281.0043,282.670074,3.439324
Foggy Cove,99,Point,HIGH,Foggy High 12, , ,12,5722561.863,559280.3596,181.080185,21.367365
Foggy Cove,100,Point,HIGH,Foggy High 13, , ,13,5722561.099,559279.7149,337.854279,51.172653
Foggy Cove,101,Point,HIGH,Foggy High 14, , ,14,5722560.334,559279.0703,175.328812,18.781261
Foggy Cove,102,Point,HIGH,Foggy High 15, , ,15,5722559.57,559278.4256,217.512146,21.437616
Foggy Cove,103,Point,HIGH,Foggy High 16, , ,16,5722558.805,559277.7809,92.702286,14.420845
Foggy Cove,104,Point,HIGH,Foggy High 17, , ,17,5722558.041,559277.1362,25.265413,0.882445
Foggy Cove,105,Point,HIGH,Foggy High 18, , ,18,5722557.276,559276.4915,302.334534,26.936378
Foggy Cove,106,Point,HIGH,Foggy High 19, , ,19,5722556.512,559275.8468,43.926437,13.782753
Foggy Cove,107,Point,HIGH,Foggy High 20, , ,20,5722555.747,559275.2022,43.717541,24.726742
Foggy Cove,108,Point,HIGH,Foggy High 21, , ,21,5722554.983,559274.5575,343.494568,7.778367
Foggy Cove,109,Point,HIGH,Foggy High 22, , ,22,5722554.218,559273.9128,212.266159,52.559731
Foggy Cove,110,Point,HIGH,Foggy High 23, , ,23,5722553.454,559273.2681,24.585402,9.632463
Foggy Cove,111,Point,HIGH,Foggy High 24, , ,24,5722552.69,559272.6234,161.933624,1.811141
Foggy Cove,112,Point,HIGH,Foggy High 25, , ,25,5722551.925,559271.9787,334.936218,17.880995
Foggy Cove,113,Point,HIGH,Foggy High 26, , ,26,5722551.161,559271.3341,16.800419,6.56167
Foggy Cove,114,Point,HIGH,Foggy High 27, , ,27,5722550.396,559270.6894,203.210083,30.33341
Foggy Cove,115,Point,HIGH,Foggy High 28, , ,28,5722549.632,559270.0447,350.420868,45.173664
Foggy Cove,116,Point,HIGH,Foggy High 29, , ,29,5722548.867,559269.4,286.398956,47.399288
Foggy Cove,117,Point,HIGH,Foggy High 30, , ,30,5722548.103,559268.7553,141.871368,25.846975
Foggy Cove,118,Point,HIGH,Foggy High 31, , ,31,5722547.338,559268.1106,83.61055,16.332026
Foggy Cove,119,Point,HIGH,Foggy High 32, , ,32,5722546.574,559267.466,170.060806,13.335626
Foggy Cove,120,Point,HIGH,Foggy High 33, , ,33,5722545.81,559266.8213,126.943245,26.91613
Foggy Cove,121,Point,HIGH,Foggy High 34, , ,34,5722545.045,559266.1766,109.492172,46.444721
Foggy Cove,122,Point,HIGH,Foggy High 35, , ,35,5722544.281,559265.5319,246.928284,47.59483
Foggy Cove,123,Point,HIGH,Foggy High 36, , ,36,5722543.516,559264.8872,63.764427,3.475734
Foggy Cove,124,Point,HIGH,Foggy High 37, , ,37,5722542.752,559264.2425,215.385727,3.644187
Foggy Cove,125,Point,HIGH,Foggy High 38, , ,38,5722541.987,559263.5979,63.551384,29.638195
Foggy Cove,126,Point,HIGH,Foggy High 39, , ,39,5722541.223,559262.9532,119.352783,3.619046
Foggy Cove,127,Point,HIGH,Foggy High 40, , ,40,5722540.458,559262.3085,87.803909,12.713746
Foggy Cove,128,Point,HIGH,Foggy High 41, , ,41,5722539.694,559261.6638,214.541504,18.332064
Foggy Cove,129,Point,HIGH,Foggy High 42, , ,42,5722538.929,559261.0191,80.372833,22.299885
Foggy Cove,130,Point,HIGH,Foggy High 43, , ,43,5722538.165,559260.3744,143.743805,53.592037
Foggy Cove,131,Point,HIGH,Foggy High 45,WB,High,End,5722537.279,559259.6271,17.446218,11.699533
Fifth Beach,0,Point,HIGH,5th_high0,5B,High,Start,5721424.733,558365.2417,54.855736,-9999
Fifth Beach,1,Point,HIGH,5th_high1, , ,1,5721424.229,558364.3779,65.595291,14.895473
Fifth Beach,2,Point,HIGH,5th_high2, , ,2,5721423.725,558363.5142,180.554199,29.371613
Fifth Beach,3,Point,HIGH,5th_high3, , ,3,5721423.221,558362.6504,157.692719,17.635357
Fifth Beach,4,Point,HIGH,5th_high4, , ,4,5721422.717,558361.7866,119.253227,53.250118
Fifth Beach,5,Point,HIGH,5th_high5, , ,5,5721422.214,558360.9229,333.775665,50.189049
Fifth Beach,6,Point,HIGH,5th_high6, , ,6,5721421.71,558360.0591,303.276184,58.120583
Fifth Beach,7,Point,HIGH,5th_high7, , ,7,5721421.206,558359.1953,332.305511,41.406399
Fifth Beach,8,Point,HIGH,5th_high8, , ,8,5721420.702,558358.3316,121.748421,17.19721
Fifth Beach,9,Point,HIGH,5th_high9, , ,9,5721420.198,558357.4678,104.131638,66.873474
Fifth Beach,10,Point,HIGH,5th_high10, , ,10,5721419.694,558356.604,327.285065,58.954189
Fifth Beach,11,Point,HIGH,5th_high11, , ,11,5721419.19,558355.7403,1.60073,36.09639
Fifth Beach,12,Point,HIGH,5th_high12, , ,12,5721418.686,558354.8765,29.008102,50.192814
Fifth Beach,13,Point,HIGH,5th_high13, , ,13,5721418.182,558354.0127,326.037079,10.246593
Fifth Beach,14,Point,HIGH,5th_high14, , ,14,5721417.679,558353.149,352.472595,86.428658
Fifth Beach,15,Point,HIGH,5th_high15, , ,15,5721417.175,558352.2852,345.669037,54.747314
Fifth Beach,16,Point,HIGH,5th_high16, , ,16,5721416.671,558351.4214,315,25.860912
Fifth Beach,17,Point,HIGH,5th_high17, , ,17,5721416.167,558350.5577,318.726379,16.457472
Fifth Beach,18,Point,HIGH,5th_high18, , ,18,5721415.663,558349.6939,278.853027,27.61405
Fifth Beach,19,Point,HIGH,5th_high19, , ,19,5721415.159,558348.8301,333.305786,35.75943
Fifth Beach,20,Point,HIGH,5th_high20, , ,20,5721414.655,558347.9664,62.662846,30.660316
Fifth Beach,21,Point,HIGH,5th_high21, , ,21,5721414.151,558347.1026,267.434113,36.058132
Fifth Beach,22,Point,HIGH,5th_high22, , ,22,5721413.647,558346.2388,239.552765,15.600052
Fifth Beach,23,Point,HIGH,5th_high23, , ,23,5721413.143,558345.3751,253.5923,15.780977
Fifth Beach,24,Point,HIGH,5th_high24, , ,24,5721412.64,558344.5113,84.625221,40.123245
Fifth Beach,25,Point,HIGH,5th_high25, , ,25,5721412.136,558343.6475,335.341187,18.333088
Fifth Beach,26,Point,HIGH,5th_high26, , ,26,5721411.632,558342.7838,33.885738,8.916736
Fifth Beach,27,Point,HIGH,5th_high27, , ,27,5721411.128,558341.92,84.162003,2.781652
Fifth Beach,28,Point,HIGH,5th_high28, , ,28,5721410.624,558341.0562,229.797119,11.115026
Fifth Beach,29,Point,HIGH,5th_high30,5B,High,End,5721409.987,558339.9643,212.671295,13.043468
Fifth Beach,30,Point,MID,5th_mid0,5B,Mid,Start,5721426.757,558361.8463,76.303246,2.84238
Fifth Beach,31,Point,MID,5th_mid1, , ,1,5721426.39,558360.9162,335.067657,15.450023
Fifth Beach,32,Point,MID,5th_mid2, , ,2,5721426.022,558359.9861,104.468376,28.948036
Fifth Beach,33,Point,MID,5th_mid3, , ,3,5721425.655,558359.0561,236.863251,48.734943
Fifth Beach,34,Point,MID,5th_mid4, , ,4,5721425.288,558358.126,165.189133,28.724054
Fifth Beach,35,Point,MID,5th_mid5, , ,5,5721424.92,558357.1959,83.0793,27.940784
Fifth Beach,36,Point,MID,5th_mid6, , ,6,5721424.553,558356.2658,47.833672,7.746269
Fifth Beach,37,Point,MID,5th_mid7, , ,7,5721424.186,558355.3357,284.702911,52.567566
Fifth Beach,38,Point,MID,5th_mid8, , ,8,5721423.818,558354.4056,230.747437,11.749436
Fifth Beach,39,Point,MID,5th_mid9, , ,9,5721423.451,558353.4756,157.249466,5.798237
Fifth Beach,40,Point,MID,5th_mid10, , ,10,5721423.083,558352.5455,221.348297,3.587916
Fifth Beach,41,Point,MID,5th_mid11, , ,11,5721422.716,558351.6154,167.910278,9.963356
Fifth Beach,42,Point,MID,5th_mid12, , ,12,5721422.349,558350.6853,165.345749,17.38599
Fifth Beach,43,Point,MID,5th_mid13, , ,13,5721421.981,558349.7552,131.262802,37.307896
Fifth Beach,44,Point,MID,5th_mid14, , ,14,5721421.614,558348.8252,283.947021,51.999535
Fifth Beach,45,Point,MID,5th_mid15, , ,15,5721421.247,558347.8951,153.365967,0.159347
Fifth Beach,46,Point,MID,5th_mid16, , ,16,5721420.879,558346.965,145.733276,16.999107
Fifth Beach,47,Point,MID,5th_mid17, , ,17,5721420.512,558346.0349,195.103439,19.771894
Fifth Beach,48,Point,MID,5th_mid18, , ,18,5721420.145,558345.1048,139.137878,6.652734
Fifth Beach,49,Point,MID,5th_mid19, , ,19,5721419.777,558344.1748,192.432068,21.938158
Fifth Beach,50,Point,MID,5th_mid20, , ,20,5721419.41,558343.2447,267.861053,9.483908
Fifth Beach,51,Point,MID,5th_mid21, , ,21,5721419.043,558342.3146,23.155279,31.05065
Fifth Beach,52,Point,MID,5th_mid22, , ,22,5721418.675,558341.3845,308.38092,12.029996
Fifth Beach,53,Point,MID,5th_mid23, , ,23,5721418.308,558340.4544,105.795677,57.761765
Fifth Beach,54,Point,MID,5th_mid24, , ,24,5721417.941,558339.5243,199.570007,7.759952
Fifth Beach,55,Point,MID,5th_mid25, , ,25,5721417.573,558338.5943,249.352554,31.186518
Fifth Beach,56,Point,MID,5th_mid30,5B,Mid,End,5721417.075,558337.333,280.123474,6.034304
Fifth Beach,57,Point,LOW,5th_low0,5B,Low,Start,5721431.22,558358.3849,298.598328,6.920593
Fifth Beach,58,Point,LOW,5th_low1, , ,1,5721430.787,558357.4833,110.40052,22.871031
Fifth Beach,59,Point,LOW,5th_low2, , ,2,5721430.355,558356.5816,194.955093,0.768867
Fifth Beach,60,Point,LOW,5th_low3, , ,3,5721429.922,558355.68,215.384766,14.676292
Fifth Beach,61,Point,LOW,5th_low4, , ,4,5721429.49,558354.7784,237.410126,12.505121
Fifth Beach,62,Point,LOW,5th_low5, , ,5,5721429.057,558353.8767,41.607666,5.15394
Fifth Beach,63,Point,LOW,5th_low6, , ,6,5721428.625,558352.9751,60.563076,1.623281
Fifth Beach,64,Point,LOW,5th_low7, , ,7,5721428.192,558352.0735,98.513306,9.076941
Fifth Beach,65,Point,LOW,5th_low8, , ,8,5721427.76,558351.1718,112.662292,4.779734
Fifth Beach,66,Point,LOW,5th_low9, , ,9,5721427.327,558350.2702,40.813148,55.516907
Fifth Beach,67,Point,LOW,5th_low10, , ,10,5721426.895,558349.3686,75.962326,64.639282
Fifth Beach,68,Point,LOW,5th_low11, , ,11,5721426.462,558348.4669,39.124802,25.479235
Fifth Beach,69,Point,LOW,5th_low12, , ,12,5721426.03,558347.5653,210.847458,19.589848
Fifth Beach,70,Point,LOW,5th_low13, , ,13,5721425.597,558346.6637,123.995804,9.305442
Fifth Beach,71,Point,LOW,5th_low14, , ,14,5721425.165,558345.7621,7.379186,66.173027
Fifth Beach,72,Point,LOW,5th_low15, , ,15,5721424.732,558344.8604,59.56881,24.525932
Fifth Beach,73,Point,LOW,5th_low16, , ,16,5721424.3,558343.9588,273.622772,13.858103
Fifth Beach,74,Point,LOW,5th_low17, , ,17,5721423.867,558343.0572,141.745819,39.294689
Fifth Beach,75,Point,LOW,5th_low18, , ,18,5721423.435,558342.1555,234.245544,10.966775
Fifth Beach,76,Point,LOW,5th_low19, , ,19,5721423.002,558341.2539,294.493622,15.771369
Fifth Beach,77,Point,LOW,5th_low20, , ,20,5721422.57,558340.3523,346.447784,37.188023
Fifth Beach,78,Point,LOW,5th_low21, , ,21,5721422.137,558339.4506,314.485413,76.885979
Fifth Beach,79,Point,LOW,5th_low22, , ,22,5721421.705,558338.549,158.880676,49.072674
Fifth Beach,80,Point,LOW,5th_low23, , ,23,5721421.272,558337.6474,179.390594,18.843567
Fifth Beach,81,Point,LOW,5th_low30,5B,Low,End,5721420.771,558336.6021,273.819946,2.083981
North Beach,0,Point,HIGH,nb_martone_high_0,NB,High,Start,5724176.248,559817.7193,223.531601,12.742974
North Beach,1,Point,HIGH,nb_martone_high_1, , ,1,5724177.209,559817.4411,291.411255,19.612268
North Beach,2,Point,HIGH,nb_martone_high_2, , ,2,5724178.169,559817.1628,302.860779,22.28392
North Beach,3,Point,HIGH,nb_martone_high_3, , ,3,5724179.13,559816.8846,305.014862,9.939987
North Beach,4,Point,HIGH,nb_martone_high_4, , ,4,5724180.09,559816.6064,264.490356,7.267166
North Beach,5,Point,HIGH,nb_martone_high_5, , ,5,5724181.051,559816.3281,282.929535,17.897928
North Beach,6,Point,HIGH,nb_martone_high_6, , ,6,5724182.011,559816.0499,267.640808,75.894775
North Beach,7,Point,HIGH,nb_martone_high_7, , ,7,5724182.972,559815.7716,255.87793,86.666267
North Beach,8,Point,HIGH,nb_martone_high_8, , ,8,5724183.932,559815.4934,90.240707,48.720276
North Beach,9,Point,HIGH,nb_martone_high_9, , ,9,5724184.893,559815.2152,214.356186,8.706285
North Beach,10,Point,HIGH,nb_martone_high_10, , ,10,5724185.853,559814.9369,162.8311,57.426449
North Beach,11,Point,HIGH,nb_martone_high_11, , ,11,5724186.814,559814.6587,266.449707,34.055286
North Beach,12,Point,HIGH,nb_martone_high_12, , ,12,5724187.774,559814.3805,297.19458,69.678932
North Beach,13,Point,HIGH,nb_martone_high_13, , ,13,5724188.735,559814.1022,177.779343,43.196594
North Beach,14,Point,HIGH,nb_martone_high_14, , ,14,5724189.695,559813.824,162.414536,46.757465
North Beach,15,Point,HIGH,nb_martone_high_15, , ,15,5724190.656,559813.5457,266.432892,13.737219
North Beach,16,Point,HIGH,nb_martone_high_16, , ,16,5724191.616,559813.2675,224.484604,3.938349
North Beach,17,Point,HIGH,nb_martone_high_17, , ,17,5724192.577,559812.9893,327.680145,25.52437
North Beach,18,Point,HIGH,nb_martone_high_18, , ,18,5724193.537,559812.711,24.7265,29.915922
North Beach,19,Point,HIGH,nb_martone_high_19, , ,19,5724194.498,559812.4328,24.645756,38.355747
North Beach,20,Point,HIGH,nb_martone_high_20, , ,20,5724195.458,559812.1546,327.961517,12.706995
North Beach,21,Point,HIGH,nb_martone_high_21, , ,21,5724196.419,559811.8763,287.743042,50.106182
North Beach,22,Point,HIGH,nb_martone_high_22, , ,22,5724197.379,559811.5981,224.160904,18.706274
North Beach,23,Point,HIGH,nb_martone_high_23, , ,23,5724198.34,559811.3198,294.377014,63.989918
North Beach,24,Point,HIGH,nb_martone_high3,NB,High,End,5724199.388,559811.0162,286.986053,13.206356
North Beach,25,Point,MID,nb_martone_mid_0,NB,Mid,Start,5724176.247,559807.3969,282.406494,7.872806
North Beach,26,Point,MID,nb_martone_mid_1, , ,1,5724177.247,559807.4235,339.802216,31.74584
North Beach,27,Point,MID,nb_martone_mid_2, , ,2,5724178.246,559807.4501,343.30661,2.644929
North Beach,28,Point,MID,nb_martone_mid_3, , ,3,5724179.246,559807.4768,251.39769,19.263649
North Beach,29,Point,MID,nb_martone_mid_4, , ,4,5724180.246,559807.5034,224.253555,49.588322
North Beach,30,Point,MID,nb_martone_mid_5, , ,5,5724181.245,559807.53,260.211182,21.29483
North Beach,31,Point,MID,nb_martone_mid_6, , ,6,5724182.245,559807.5566,216.660294,23.933527
North Beach,32,Point,MID,nb_martone_mid_7, , ,7,5724183.245,559807.5833,209.92337,23.694477
North Beach,33,Point,MID,nb_martone_mid_8, , ,8,5724184.244,559807.6099,344.251709,35.125927
North Beach,34,Point,MID,nb_martone_mid_9, , ,9,5724185.244,559807.6365,223.552383,22.082691
North Beach,35,Point,MID,nb_martone_mid_10, , ,10,5724186.243,559807.6631,317.355499,11.241997
North Beach,36,Point,MID,nb_martone_mid_11, , ,11,5724187.243,559807.6898,232.471741,9.654313
North Beach,37,Point,MID,nb_martone_mid_12, , ,12,5724188.243,559807.7164,307.32193,3.739439
North Beach,38,Point,MID,nb_martone_mid_13, , ,13,5724189.242,559807.743,79.504066,45.666798
North Beach,39,Point,MID,nb_martone_mid_14, , ,14,5724190.242,559807.7696,105.147484,40.689545
North Beach,40,Point,MID,nb_martone_mid_15, , ,15,5724191.242,559807.7962,181.842529,3.009096
North Beach,41,Point,MID,nb_martone_mid_16, , ,16,5724192.241,559807.8229,305.959045,25.790337
North Beach,42,Point,MID,nb_martone_mid_17, , ,17,5724193.241,559807.8495,272.917908,5.862915
North Beach,43,Point,MID,nb_martone_mid_18, , ,18,5724194.241,559807.8761,219.222702,9.729287
North Beach,44,Point,MID,nb_martone_mid_19, , ,19,5724195.24,559807.9027,161.960846,11.26792
North Beach,45,Point,MID,nb_martone_mid_20, , ,20,5724196.24,559807.9294,308.798035,30.633509
North Beach,46,Point,MID,nb_martone_mid_21, , ,21,5724197.24,559807.956,255.668991,37.68903
North Beach,47,Point,MID,nb_martone_mid_22, , ,22,5724198.239,559807.9826,337.02771,2.554783
North Beach,48,Point,MID,nb_martone_mid_23, , ,23,5724199.239,559808.0092,234.417603,50.846729
North Beach,49,Point,MID,nb_martone_mid_24,NB,Mid,End,5724200.657,559808.047,211.17543,20.504719
North Beach,50,Point,LOW,nb_martone_low_0,NB,Low,Start,5724176.666,559803.3493,214.21315,34.186756
North Beach,51,Point,LOW,nb_martone_low_1, , ,1,5724177.666,559803.3359,291.026794,25.452784
North Beach,52,Point,LOW,nb_martone_low_2, , ,2,5724178.666,559803.3226,278.313446,15.212324
