Date,Quadrat,Meter.point,Sampler,Recorder,Bedrock,Boulder,Cobble,Sand.Gravel.Pebble,Water,SiteHeightYear,SUBSTRATE.ROCK,SUBSTRATE.SAND,WATER,Pebble,SAND.SCOUR,SUBSTRATE.Clam.shell,Site,Zone,Year,UID,Shore_height_cm,Lat,Long,Taxon,Abundance,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3
2012-07-03,1,1,JJ,LA,NA,NA,NA,NA,NA,Foggy Cove MID 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,MID,2012,Foggy Cove MID 2012 1,171,51.6511804351453,-128.143207876071,bare rock,10,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,2,6,SCL,SCL,NA,80,20,NA,NA,Foggy Cove MID 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,MID,2012,Foggy Cove MID 2012 2,165,51.6511539035591,-128.143266214345,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,3,13,PTM,PTM,NA,NA,NA,NA,NA,Foggy Cove MID 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,MID,2012,Foggy Cove MID 2012 3,217,51.6511167610954,-128.143347888936,bare rock,25,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,4,15,PTM,PTM,NA,NA,NA,NA,NA,Foggy Cove MID 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,MID,2012,Foggy Cove MID 2012 4,160,51.6511061412417,-128.143371224036,bare rock,7,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,5,20,SCL,SCL,NA,100,NA,NA,NA,Foggy Cove MID 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,MID,2012,Foggy Cove MID 2012 5,182,51.6510796095731,-128.143429562119,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,6,25,JJ,LA,NA,NA,NA,NA,NA,Foggy Cove MID 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,MID,2012,Foggy Cove MID 2012 6,165,51.6510530778751,-128.143487900135,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,7,30,??,??,NA,NA,NA,NA,NA,Foggy Cove MID 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,MID,2012,Foggy Cove MID 2012 7,185,51.6510265461582,-128.143546239528,bare rock,40,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,8,35,SCL,SCL,NA,100,NA,NA,1,Foggy Cove MID 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,MID,2012,Foggy Cove MID 2012 8,203,51.6510000054109,-128.143604577578,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,9,38,JJ,LA,NA,NA,NA,NA,NA,Foggy Cove MID 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,MID,2012,Foggy Cove MID 2012 9,181,51.6509840845467,-128.143639580596,bare rock,7,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,10,45,??,??,NA,NA,NA,NA,NA,Foggy Cove MID 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,MID,2012,Foggy Cove MID 2012 10,195,51.650946941809,-128.143721253133,bare rock,12,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,1,1,SCL,SCL,NA,70,25,5,NA,Foggy Cove HIGH 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,HIGH,2012,Foggy Cove HIGH 2012 1,239,51.6509994989318,-128.143028541667,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,2,4,LA,JJ,NA,NA,NA,NA,NA,Foggy Cove HIGH 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,HIGH,2012,Foggy Cove HIGH 2012 2,240,51.6509790877092,-128.143056882083,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,3,11,SCL,SCL,NA,94,5,1,NA,Foggy Cove HIGH 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,HIGH,2012,Foggy Cove HIGH 2012 3,234,51.6509314465258,-128.14312301183,bare rock,45,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,4,13,PTM,PTM,NA,NA,NA,NA,NA,Foggy Cove HIGH 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,HIGH,2012,Foggy Cove HIGH 2012 4,248,51.65091784503,-128.143141906238,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,5,22,LA,JJ,NA,NA,NA,NA,NA,Foggy Cove HIGH 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,HIGH,2012,Foggy Cove HIGH 2012 5,218,51.6508565932865,-128.143226928888,bare rock,50,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,6,26,SCL,SCL,NA,90,10,NA,10,Foggy Cove HIGH 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,HIGH,2012,Foggy Cove HIGH 2012 6,200,51.6508293812563,-128.143264716291,bare rock,90,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,7,29,PTM,PTM,NA,NA,NA,NA,NA,Foggy Cove HIGH 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,HIGH,2012,Foggy Cove HIGH 2012 7,320,51.6508089609952,-128.143293058109,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,8,30,PTM,PTM,NA,NA,NA,NA,NA,Foggy Cove HIGH 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,HIGH,2012,Foggy Cove HIGH 2012 8,320,51.6508021602336,-128.143302505263,bare rock,5,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,9,32,LA,JJ,NA,NA,NA,NA,NA,Foggy Cove HIGH 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,HIGH,2012,Foggy Cove HIGH 2012 9,264,51.6507885497071,-128.143321398287,bare rock,55,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-03,10,39,LA,JJ,NA,NA,NA,NA,NA,Foggy Cove HIGH 2012,NA,NA,NA,NA,NA,NA,Foggy Cove,HIGH,2012,Foggy Cove HIGH 2012 10,293,51.6507409173612,-128.14338752731,bare rock,97,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,1,1,PTM,JJ,0,NA,NA,NA,NA,North Beach LOW 2012,NA,NA,NA,NA,NA,NA,North Beach,LOW,2012,North Beach LOW 2012 1,156,51.6653960646784,-128.135297578966,bare rock,8,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,2,2,PTM,JJ,0,NA,NA,NA,NA,North Beach LOW 2012,NA,NA,NA,NA,NA,NA,North Beach,LOW,2012,North Beach LOW 2012 2,122,51.6654050565421,-128.135297600088,bare rock,6,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,3,3,PTM,JJ,0,NA,NA,NA,NA,North Beach LOW 2012,NA,NA,NA,NA,NA,NA,North Beach,LOW,2012,North Beach LOW 2012 3,97,51.6654140484163,-128.135297622656,bare rock,4,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,4,5,SL,SL,100,NA,NA,NA,NA,North Beach LOW 2012,NA,NA,NA,NA,NA,NA,North Beach,LOW,2012,North Beach LOW 2012 4,95,51.6654320321542,-128.135297666345,bare rock,10,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,5,9,SL,SL,100,NA,NA,NA,1,North Beach LOW 2012,NA,NA,NA,NA,NA,NA,North Beach,LOW,2012,North Beach LOW 2012 5,114,51.66546799065,-128.13529775534101,bare rock,5,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,6,13,PTM,JJ,0,NA,NA,NA,NA,North Beach LOW 2012,NA,NA,NA,NA,NA,NA,North Beach,LOW,2012,North Beach LOW 2012 6,90,51.665503958136,-128.135297844165,bare rock,5,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,7,14,PTM,JJ,0,NA,NA,NA,NA,North Beach LOW 2012,NA,NA,NA,NA,NA,NA,North Beach,LOW,2012,North Beach LOW 2012 7,110,51.6655129500101,-128.135297866732,bare rock,4,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,8,17,SL,SL,100,NA,NA,NA,NA,North Beach LOW 2012,NA,NA,NA,NA,NA,NA,North Beach,LOW,2012,North Beach LOW 2012 8,148,51.6655399166313,-128.13529793316,bare rock,3,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,9,18,SL,SL,100,NA,NA,NA,1,North Beach LOW 2012,NA,NA,NA,NA,NA,NA,North Beach,LOW,2012,North Beach LOW 2012 9,171,51.6655489085054,-128.135297955727,bare rock,40,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,10,22,PTM,JJ,0,NA,NA,NA,NA,North Beach LOW 2012,NA,NA,NA,NA,NA,NA,North Beach,LOW,2012,North Beach LOW 2012 10,139,51.6655848759802,-128.135298043105,bare rock,5,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,1,1,LA,JJ,0,NA,NA,NA,0,North Beach MID 2012,NA,NA,NA,NA,NA,NA,North Beach,MID,2012,North Beach MID 2012 1,273,51.6653918625895,-128.135238554923,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,2,9,JJ,LA,0,NA,NA,NA,0,North Beach MID 2012,NA,NA,NA,NA,NA,NA,North Beach,MID,2012,North Beach MID 2012 2,200,51.6654637365279,-128.135234106641,bare rock,8,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,3,11,LA,JJ,0,NA,NA,NA,0,North Beach MID 2012,NA,NA,NA,NA,NA,NA,North Beach,MID,2012,North Beach MID 2012 3,278,51.6654817027594,-128.135232993888,bare rock,8,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,4,12,JJ,LA,0,NA,NA,NA,0,North Beach MID 2012,NA,NA,NA,NA,NA,NA,North Beach,MID,2012,North Beach MID 2012 4,275,51.6654906903757,-128.135232438149,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,5,13,SCL,SCL,100,NA,NA,NA,3,North Beach MID 2012,NA,NA,NA,NA,NA,NA,North Beach,MID,2012,North Beach MID 2012 5,278,51.6654996690015,-128.13523188258,bare rock,20,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,6,15,LA,JJ,0,NA,NA,NA,0,North Beach MID 2012,NA,NA,NA,NA,NA,NA,North Beach,MID,2012,North Beach MID 2012 6,275,51.6655176442339,-128.1352307711,bare rock,28,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,7,19,PTM,PTM,0,NA,NA,NA,0,North Beach MID 2012,NA,NA,NA,NA,NA,NA,North Beach,MID,2012,North Beach MID 2012 7,279,51.665553576707,-128.135228547033,bare rock,35,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,8,20,PTM,PTM,0,NA,NA,NA,0,North Beach MID 2012,NA,NA,NA,NA,NA,NA,North Beach,MID,2012,North Beach MID 2012 8,279,51.6655625643125,-128.135227989845,bare rock,8,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,9,21,SCL,SCL,100,NA,NA,NA,25,North Beach MID 2012,NA,NA,NA,NA,NA,NA,North Beach,MID,2012,North Beach MID 2012 9,285,51.6655715519286,-128.135227434104,bare rock,5,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,10,24,SCL,SCL,100,NA,NA,NA,1,North Beach MID 2012,NA,NA,NA,NA,NA,NA,North Beach,MID,2012,North Beach MID 2012 10,278,51.6656022626013,-128.135225533574,bare rock,10,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,1,5,JJ,LA,0,NA,NA,0,0,North Beach HIGH 2012,NA,NA,NA,NA,NA,NA,North Beach,HIGH,2012,North Beach HIGH 2012 1,319,51.6654251143282,-128.135109167,bare rock,3,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,2,8,LA,JJ,0,NA,NA,0,0,North Beach HIGH 2012,NA,NA,NA,NA,NA,NA,North Beach,HIGH,2012,North Beach HIGH 2012 2,379,51.6654511046702,-128.135120741322,bare rock,13,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,3,9,JJ,LA,0,NA,NA,0,0,North Beach HIGH 2012,NA,NA,NA,NA,NA,NA,North Beach,HIGH,2012,North Beach HIGH 2012 3,291,51.6654597741074,-128.135124598836,bare rock,3,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,4,11,LA,JJ,0,NA,NA,0,0,North Beach HIGH 2012,NA,NA,NA,NA,NA,NA,North Beach,HIGH,2012,North Beach HIGH 2012 4,346,51.6654771040015,-128.135132315486,bare rock,4,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,5,15,SCL,SCL,100,NA,NA,0,0,North Beach HIGH 2012,NA,NA,NA,NA,NA,NA,North Beach,HIGH,2012,North Beach HIGH 2012 5,276,51.6655117637882,-128.135147748803,bare rock,7,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,6,17,PTM,PTM,0,NA,NA,0,0,North Beach HIGH 2012,NA,NA,NA,NA,NA,NA,North Beach,HIGH,2012,North Beach HIGH 2012 6,303,51.66552909367,-128.135155464024,bare rock,10,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,7,19,SCL,SCL,100,NA,NA,7,55,North Beach HIGH 2012,NA,NA,NA,NA,NA,NA,North Beach,HIGH,2012,North Beach HIGH 2012 7,201,51.665546423562,-128.135163180697,bare rock,5,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,8,20,PTM,PTM,0,NA,NA,0,0,North Beach HIGH 2012,NA,NA,NA,NA,NA,NA,North Beach,HIGH,2012,North Beach HIGH 2012 8,219,51.6655550840073,-128.135167038399,bare rock,8,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,9,21,JJ,LA,0,NA,NA,0,0,North Beach HIGH 2012,NA,NA,NA,NA,NA,NA,North Beach,HIGH,2012,North Beach HIGH 2012 9,230,51.6655637534535,-128.135170897376,bare rock,3,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-04,10,22,LA,JJ,0,NA,NA,0,0,North Beach HIGH 2012,NA,NA,NA,NA,NA,NA,North Beach,HIGH,2012,North Beach HIGH 2012 10,224,51.6655724138985,-128.13517475508,bare rock,10,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,1,1,SL,SL,100,NA,NA,2,1,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,LOW,2012,Fifth Beach LOW 2012 1,166,51.6408522382712,-128.156659301138,bare rock,3,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,2,2,SL,SL,100,NA,NA,present,7,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,LOW,2012,Fifth Beach LOW 2012 2,152,51.640848447932,-128.156672402393,bare rock,6,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,3,3,SL,SL,100,NA,NA,present,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,LOW,2012,Fifth Beach LOW 2012 3,137,51.6408446485905,-128.156685502367,bare rock,3,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,4,4,SL,SL,100,NA,NA,20,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,LOW,2012,Fifth Beach LOW 2012 4,134,51.6408408582381,-128.156698602173,bare rock,2,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,5,11,PTM,JJ,NA,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,LOW,2012,Fifth Beach LOW 2012 5,151,51.6408142897987,-128.156790305751,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,6,13,PTM,JJ,NA,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,LOW,2012,Fifth Beach LOW 2012 6,137,51.6408067000782,-128.156816505492,bare rock,2,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,7,15,PTM,JJ,NA,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,LOW,2012,Fifth Beach LOW 2012 7,136,51.6407991103622,-128.156842706669,bare rock,2,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,8,16,LA,JJ,NA,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,LOW,2012,Fifth Beach LOW 2012 8,152,51.6407953199921,-128.156855806448,bare rock,1,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,9,22,PTM,JJ,NA,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,LOW,2012,Fifth Beach LOW 2012 9,200,51.6407725507895,-128.156934408468,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,10,24,SL,SL,100,NA,NA,NA,NA,Fifth Beach LOW 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,LOW,2012,Fifth Beach LOW 2012 10,211,51.6407643555966,-128.156962696069,bare rock,4,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,1,2,LA,JJ,NA,NA,NA,NA,NA,Fifth Beach MID 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,MID,2012,Fifth Beach MID 2012 1,236,51.6408091386368,-128.156623931447,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,2,4,JJ,LA,NA,NA,NA,NA,NA,Fifth Beach MID 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,MID,2012,Fifth Beach MID 2012 2,221,51.6408027326185,-128.156650931544,bare rock,4,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,3,8,PTM,PTM,NA,NA,NA,NA,NA,Fifth Beach MID 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,MID,2012,Fifth Beach MID 2012 3,209,51.640789902603,-128.15670493494,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,4,9,PTM,PTM,NA,NA,NA,NA,NA,Fifth Beach MID 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,MID,2012,Fifth Beach MID 2012 4,203,51.6407866995801,-128.156718434255,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,5,10,PTM,PTM,100,NA,NA,NA,NA,Fifth Beach MID 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,MID,2012,Fifth Beach MID 2012 5,209,51.6407834875754,-128.156731935181,bare rock,6,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,6,12,SL,SL,100,NA,NA,NA,NA,Fifth Beach MID 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,MID,2012,Fifth Beach MID 2012 6,234,51.6407770815426,-128.156758936693,bare rock,15,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,7,14,SL,SL,NA,NA,NA,NA,0.5,Fifth Beach MID 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,MID,2012,Fifth Beach MID 2012 7,224,51.6407706665025,-128.156785936919,bare rock,6,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,8,23,LA,JJ,NA,NA,NA,NA,NA,Fifth Beach MID 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,MID,2012,Fifth Beach MID 2012 8,242,51.6407418122672,-128.15690744265,bare rock,10,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,9,26,JJ,LA,NA,NA,NA,NA,NA,Fifth Beach MID 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,MID,2012,Fifth Beach MID 2012 9,259,51.6407310507514,-128.1569527511,bare rock,8,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,10,28,LA,JJ,NA,NA,NA,NA,NA,Fifth Beach MID 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,MID,2012,Fifth Beach MID 2012 10,NA,NA,NA,bare rock,15,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,1,2,JJ,LA,NA,NA,NA,NA,NA,Fifth Beach HIGH 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,HIGH,2012,Fifth Beach HIGH 2012 1,350,51.6407881212247,-128.156573335008,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012-07-05,2,10,SL,SL,100,NA,NA,NA,2,Fifth Beach HIGH 2012,NA,NA,NA,NA,NA,NA,Fifth Beach,HIGH,2012,Fifth Beach HIGH 2012 2,305,51.6407525975039,-128.156673856794,bare rock,0.5,bare rock,Bare rock,Bare rock,Bare rock,Substratum,NA,NA,NA,NA,NA,NA,NA,NA
