Site,Zone,taxon,Abundance,rank,total,prop,csum
Foggy Cove,HIGH,Fucus distichus,11.45,1,30.7,0.37,0.37
Foggy Cove,HIGH,Barnacle,6.7,2,30.7,0.22,0.59
Foggy Cove,HIGH,Endocladia muricata,5.5,3,30.7,0.18,0.77
Foggy Cove,HIGH,Hildenbrandia sp.,1.65,4,30.7,0.05,0.82
Foggy Cove,HIGH,Gloiopeltis furcata,1.4,5,30.7,0.05,0.87
Foggy Cove,HIGH,Mastocarpus sp.,0.9,6,30.7,0.03,0.9
Foggy Cove,HIGH,Ahnfeltia fastigiata,0.8,7,30.7,0.03,0.93
Foggy Cove,HIGH,Pyropia fucicola,0.65,8,30.7,0.02,0.95
Foggy Cove,HIGH,Petrocelis,0.55,9,30.7,0.02,0.96
Foggy Cove,HIGH,Anemone,0.4,10,30.7,0.01,0.98
Foggy Cove,HIGH,Chamberlainium tumidum,0.15,11,30.7,0,0.98
Foggy Cove,HIGH,coralline crust,0.1,12,30.7,0,0.99
Foggy Cove,HIGH,Neorhodomela larix,0.1,13,30.7,0,0.99
Foggy Cove,HIGH,Pyropia abbottiae,0.1,14,30.7,0,0.99
Foggy Cove,HIGH,Pyropia fallax,0.1,15,30.7,0,1
North Beach,LOW,Hedophyllum sessile,70.7,1,204.7,0.35,0.35
North Beach,LOW,Alaria marginata,45.8,2,204.7,0.22,0.57
North Beach,LOW,Corallina vancouveriensis,11.8,3,204.7,0.06,0.63
North Beach,LOW,Bossiella frondifera,10.4,4,204.7,0.05,0.68
North Beach,LOW,Odonthalia floccosa,7.35,5,204.7,0.04,0.71
North Beach,LOW,Hildenbrandia sp.,6.85,6,204.7,0.03,0.75
North Beach,LOW,Phyllospadix scouleri,5.55,7,204.7,0.03,0.77
North Beach,LOW,Hedophyllum nigripes,5.5,8,204.7,0.03,0.8
North Beach,LOW,Ectocarpus commensalis,3.45,9,204.7,0.02,0.82
North Beach,LOW,Corallina sp.1 frondescens,3.4,10,204.7,0.02,0.83
North Beach,LOW,Lithothamnion phymatodeum,3,11,204.7,0.01,0.85
North Beach,LOW,Bossiella reptans,2.9,12,204.7,0.01,0.86
North Beach,LOW,Bossiella mayae,2.3,13,204.7,0.01,0.87
North Beach,LOW,Lithophyllum sp. 1,2.25,14,204.7,0.01,0.89
North Beach,LOW,Bossiella frondescens,2.1,15,204.7,0.01,0.9
North Beach,MID,Hildenbrandia sp.,26.2,1,96.1,0.27,0.27
North Beach,MID,Pyropia abbottiae,12.2,2,96.1,0.13,0.4
North Beach,MID,Barnacle,11.7,3,96.1,0.12,0.52
North Beach,MID,Fucus distichus,10.1,4,96.1,0.11,0.63
North Beach,MID,Anemone,5.6,5,96.1,0.06,0.68
North Beach,MID,Corallina vancouveriensis,4.7,6,96.1,0.05,0.73
North Beach,MID,Pyropia fallax,4.2,7,96.1,0.04,0.78
North Beach,MID,Halosaccion glandiforme,3,8,96.1,0.03,0.81
North Beach,MID,Wildmania norrisii,2.65,9,96.1,0.03,0.84
North Beach,MID,Phyllospadix scouleri,1.7,10,96.1,0.02,0.85
North Beach,MID,Polysiphonia hendryi var  gardneri,1.7,11,96.1,0.02,0.87
North Beach,MID,Savoiea robusta,1.6,12,96.1,0.02,0.89
North Beach,MID,Chamberlainium tumidum,1.4,13,96.1,0.01,0.9
North Beach,MID,Microcladia borealis,1.3,14,96.1,0.01,0.92
North Beach,MID,Collinsiella tuberculata,1.05,15,96.1,0.01,0.93
North Beach,HIGH,Barnacle,46.65,1,103.5,0.45,0.45
North Beach,HIGH,Hildenbrandia sp.,27.95,2,103.5,0.27,0.72
North Beach,HIGH,Fucus distichus,15.5,3,103.5,0.15,0.87
North Beach,HIGH,Mytilus sp.,2.9,4,103.5,0.03,0.9
North Beach,HIGH,Pyropia abbottiae,2.3,5,103.5,0.02,0.92
North Beach,HIGH,Wildmania norrisii,1.05,6,103.5,0.01,0.93
North Beach,HIGH,Pyropia fucicola,1,7,103.5,0.01,0.94
North Beach,HIGH,Ulva fenestrata,0.95,8,103.5,0.01,0.95
North Beach,HIGH,Mastocarpus sp.,0.85,9,103.5,0.01,0.96
North Beach,HIGH,Chamberlainium tumidum,0.75,10,103.5,0.01,0.97
North Beach,HIGH,Halosaccion glandiforme,0.75,11,103.5,0.01,0.97
North Beach,HIGH,Acrosiphonia arcta,0.7,12,103.5,0.01,0.98
North Beach,HIGH,Anemone,0.45,13,103.5,0,0.98
North Beach,HIGH,Endocladia muricata,0.4,14,103.5,0,0.99
North Beach,HIGH,Petrocelis,0.35,15,103.5,0,0.99
