event_pk,Replicate Number,Date,Work Area,Organization,Survey,Sampling Bout,Site ID,Project Specific ID,Hakai ID,Source,Lat,Long,Gather Lat,Gather Long,Collection Method,Line Out Depth,Pressure Transducer Depth (m),Filter Type,Volume (ml),Installed,Collected,Preserved,Analyzed,Lab Technician,NH4+,NO2+NO3 (uM),PO4,SiO2,PO4 Flag,SiO2 Flag,Analyzing Lab,Quality Log,no2_no3_units,Sample Status,Quality Level
7377,1,2013-06-30,CALVERT,HAKAI,"QCS,KWAK",1,QCS01,543,DUP007,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-06-30 10:15:00,2013-06-30 00:00:00,,,,2.098,0.318,9.308,see,see,UBC,"1: Duplicate tube number. Results to be reviewed2: Metadata has been QCd by BF | the ID that was originally recorded for this sample is in the ""project specific ID"" column, this ID is not being used because it was a duplicate. Results may be available but must be reviewed individually as the result may not actually be for this sample3: Metadata has been QCd by BF | the ID that was originally recorded for this sample is in the ""project specific ID"" column, this ID is not being used because it was a duplicate. Results may be available but must be reviewed individually as the result may not actually be for this sample",uM,Results,Technicianm
7377,2,2013-06-30,CALVERT,HAKAI,"QCS,KWAK",1,QCS01,544,DUP008,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-06-30 10:15:00,2013-06-30 00:00:00,,,,2.053,0.321,9.271,see,see,UBC,"1: Duplicate tube number. Results to be reviewed2: Metadata has been QCd by BF | the ID that was originally recorded for this sample is in the ""project specific ID"" column, this ID is not being used because it was a duplicate. Results may be available but must be reviewed individually as the result may not actually be for this sample3: Metadata has been QCd by BF | the ID that was originally recorded for this sample is in the ""project specific ID"" column, this ID is not being used because it was a duplicate. Results may be available but must be reviewed individually as the result may not actually be for this sample",uM,Results,Technicianm
24299,1,2013-07-11,CALVERT,HAKAI,"KWAK,QCS",1,QCS01,605,NUT605,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-07-11 09:32:00,2013-07-11 00:00:00,,,,1.782,0.284,5.899,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
24299,2,2013-07-11,CALVERT,HAKAI,"KWAK,QCS",1,QCS01,606,NUT606,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-07-11 09:32:00,2013-07-11 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
24299,1,2013-07-11,CALVERT,HAKAI,"KWAK,QCS",1,QCS01,607,NUT607,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-07-11 09:32:00,2013-07-11 00:00:00,,,,16.989,1.392,27.747,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
24299,2,2013-07-11,CALVERT,HAKAI,"KWAK,QCS",1,QCS01,608,NUT608,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-07-11 09:32:00,2013-07-11 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7452,1,2013-07-19,CALVERT,HAKAI,KWAK,1,QCS01,677,NUT677,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-07-19 09:03:00,2013-07-19 00:00:00,,,,0,0.154,8.744,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7452,2,2013-07-19,CALVERT,HAKAI,KWAK,1,QCS01,678,NUT678,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-07-19 09:03:00,2013-07-19 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7452,1,2013-07-19,CALVERT,HAKAI,KWAK,1,QCS01,679,NUT679,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-07-19 09:03:00,2013-07-19 00:00:00,,,,14.848,1.523,22.446,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7452,2,2013-07-19,CALVERT,HAKAI,KWAK,1,QCS01,680,NUT680,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-07-19 09:03:00,2013-07-19 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7530,1,2013-08-01,CALVERT,HAKAI,KWAK,1,QCS01,815,NUT815,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-08-01 10:30:00,2013-08-01 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7530,2,2013-08-01,CALVERT,HAKAI,KWAK,1,QCS01,816,NUT816,M,51.705,-128.2384,,,,5,,0.45nm,13,,2013-08-01 10:30:00,2013-08-01 00:00:00,,,,2.589,0.426,4.544,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7530,1,2013-08-01,CALVERT,HAKAI,KWAK,1,QCS01,819,NUT819,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-08-01 10:30:00,2013-08-01 00:00:00,,,,16.883,1.618,27.247,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7530,2,2013-08-01,CALVERT,HAKAI,KWAK,1,QCS01,820,NUT820,M,51.705,-128.2384,,,,30,,0.45nm,13,,2013-08-01 10:30:00,2013-08-01 00:00:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7719,1,2014-03-17,CALVERT,HAKAI,QCSD,1,QCS01,1619,NUT1619,M,51.705,-128.2384,,,,0,,0.45nm,13,,2014-03-17 12:50:00,2014-03-17 14:40:00,,,,14.96,1.33,22.498,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7719,2,2014-03-17,CALVERT,HAKAI,QCSD,1,QCS01,1620,NUT1620,M,51.705,-128.2384,,,,0,,0.45nm,13,,2014-03-17 12:50:00,2014-03-17 14:40:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was discarded2: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run3: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7719,1,2014-03-17,CALVERT,HAKAI,QCSD,1,QCS01,1624,NUT1624,M,51.705,-128.2384,,,,5,,0.45nm,13,,2014-03-17 12:50:00,2014-03-17 14:40:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was discarded2: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run3: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7719,2,2014-03-17,CALVERT,HAKAI,QCSD,1,QCS01,1625,NUT1625,M,51.705,-128.2384,,,,5,,0.45nm,13,,2014-03-17 12:50:00,2014-03-17 14:40:00,,,,14.919,1.336,22.543,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7719,1,2014-03-17,CALVERT,HAKAI,QCSD,1,QCS01,1618,NUT1618,M,51.705,-128.2384,,,,30,,0.45nm,13,,2014-03-17 12:50:00,2014-03-17 14:40:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was discarded2: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run3: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7719,2,2014-03-17,CALVERT,HAKAI,QCSD,1,QCS01,1629,NUT1629,M,51.705,-128.2384,,,,30,,0.45nm,13,,2014-03-17 12:50:00,2014-03-17 14:40:00,,,,13.764,1.251,19.825,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7719,1,2014-03-17,CALVERT,HAKAI,QCSD,1,QCS01,1623,NUT1623,M,51.705,-128.2384,,,,124,,0.45nm,13,,2014-03-17 12:50:00,2014-03-17 14:40:00,,,,,,,,,,"1: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was discarded2: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run3: Metadata has been QCd by BF | sample was taken as a backup. Once the results were returned and checked, the backup was not run",,Not Available,Technicianm
7719,2,2014-03-17,CALVERT,HAKAI,QCSD,1,QCS01,1628,NUT1628,M,51.705,-128.2384,,,,124,,0.45nm,13,,2014-03-17 12:50:00,2014-03-17 14:40:00,,,,16.869,1.468,27.336,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7755,1,2014-03-27,CALVERT,HAKAI,QCSD,1,QCS01,1767,NUT1767,M,51.705,-128.2384,,,,0,,0.45nm,13,,2014-03-27 09:52:00,2014-03-27 16:00:00,,,,15.054,1.321,23.159,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7755,1,2014-03-27,CALVERT,HAKAI,QCSD,1,QCS01,1769,NUT1769,M,51.705,-128.2384,,,,5,,0.45nm,13,,2014-03-27 09:52:00,2014-03-27 16:00:00,,,,14.891,1.319,23.1,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7755,1,2014-03-27,CALVERT,HAKAI,QCSD,1,QCS01,1770,NUT1770,M,51.705,-128.2384,,,,30,,0.45nm,13,,2014-03-27 09:52:00,2014-03-27 16:00:00,,,,15.95,1.39,24.15,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7755,1,2014-03-27,CALVERT,HAKAI,QCSD,1,QCS01,1768,NUT1768,M,51.705,-128.2384,,,,135,,0.45nm,13,,2014-03-27 09:52:00,2014-03-27 16:00:00,,,,23.743,1.928,38.842,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7806,1,2014-04-02,CALVERT,HAKAI,QCSD,1,QCS01,1795,NUT1795,M,51.705,-128.2384,,,,0,,0.45nm,13,,2014-04-02 09:30:00,2014-04-02 15:10:00,,,,16.193,1.459,29.258,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7806,1,2014-04-02,CALVERT,HAKAI,QCSD,1,QCS01,1841,NUT1841,M,51.705,-128.2384,,,,5,,0.45nm,13,,2014-04-02 09:30:00,2014-04-02 15:10:00,,,,15.956,1.457,28.734,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7806,1,2014-04-02,CALVERT,HAKAI,QCSD,1,QCS01,1811,NUT1811,M,51.705,-128.2384,,,,30,,0.45nm,13,,2014-04-02 09:30:00,2014-04-02 15:10:00,,,,14.714,1.346,24.886,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7806,1,2014-04-02,CALVERT,HAKAI,QCSD,1,QCS01,1822,NUT1822,M,51.705,-128.2384,,,,143,,0.45nm,13,,2014-04-02 09:30:00,2014-04-02 15:10:00,,,,24.136,2.046,46.163,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7902,1,2014-04-23,CALVERT,HAKAI,QCSD,1,QCS01,1965,NUT1965,M,51.705,-128.2384,,,,0,,0.45nm,13,,2014-04-23 10:20:00,2014-04-23 14:46:00,,,,10.579,1.053,17.983,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7902,1,2014-04-23,CALVERT,HAKAI,QCSD,1,QCS01,1964,NUT1964,M,51.705,-128.2384,,,,5,,0.45nm,13,,2014-04-23 10:20:00,2014-04-23 14:46:00,,,,10.634,1.044,18.009,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
7902,1,2014-04-23,CALVERT,HAKAI,QCSD,1,QCS01,1966,NUT1966,M,51.705,-128.2384,,,,30,,0.45nm,13,,2014-04-23 10:20:00,2014-04-23 14:46:00,,,,12.617,1.127,19.21,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
8018,1,2014-05-10,CALVERT,HAKAI,QCSD,1,QCS01,2065,NUT2065,M,51.705,-128.2384,,,,0,,0.45nm,13,,2014-05-10 13:50:53,2014-05-10 13:52:13,,,,0.074024226,0.120540019,0.563,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
8018,1,2014-05-10,CALVERT,HAKAI,QCSD,1,QCS01,2070,NUT2070,M,51.705,-128.2384,,,,5,,0.45nm,13,,2014-05-10 13:50:53,2014-05-10 13:52:13,,,,0.189386656,0.12729026,0.538,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
8018,1,2014-05-10,CALVERT,HAKAI,QCSD,1,QCS01,2062,NUT2062,M,51.705,-128.2384,,,,30,,0.45nm,13,,2014-05-10 13:50:53,2014-05-10 13:52:13,,,,7,0.880424301,10.137,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
8018,1,2014-05-10,CALVERT,HAKAI,QCSD,1,QCS01,2069,NUT2069,M,51.705,-128.2384,,,,138,,0.45nm,13,,2014-05-10 13:50:53,2014-05-10 13:52:13,,,,29.725,2.372,52.342,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
8066,1,2014-05-17,CALVERT,HAKAI,QCSD,1,QCS01,2184,NUT2184,M,51.705,-128.2384,,,,0,,0.45nm,13,,2014-05-17 09:31:57,2014-05-17 16:42:59,,,,0.37,0.21,2.105,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
8066,1,2014-05-17,CALVERT,HAKAI,QCSD,1,QCS01,2183,NUT2183,M,51.705,-128.2384,,,,5,,0.45nm,13,,2014-05-17 09:31:57,2014-05-17 16:42:59,,,,0.644948064,0.222,2.144,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
8066,1,2014-05-17,CALVERT,HAKAI,QCSD,1,QCS01,2185,NUT2185,M,51.705,-128.2384,,,,30,,0.45nm,13,,2014-05-17 09:31:57,2014-05-17 16:42:59,,,,4.454,0.767,8.8,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
8066,1,2014-05-17,CALVERT,HAKAI,QCSD,1,QCS01,2182,NUT2182,M,51.705,-128.2384,,,,124,,0.45nm,13,,2014-05-17 09:31:57,2014-05-17 16:42:59,,,,28.9,2.244,48.977,,,UBC,1: Metadata has been QCd by BF,uM,Results,Technicianm
353,1,2015-03-15,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3388,M,51.705,-128.2384,,,,0,,0.45nm,13,,2015-03-15 09:45:41,2015-03-15 15:45:38,,"Bryn,Lawren,Other",,,,,,,,,,Collected,Raw
353,1,2015-03-15,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3387,M,51.705,-128.2384,,,,5,,0.45nm,13,,2015-03-15 09:45:41,2015-03-15 15:45:38,,"Bryn,Lawren,Other",,,,,,,,,,Collected,Raw
353,1,2015-03-15,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3386,M,51.705,-128.2384,,,,10,,0.45nm,13,,2015-03-15 09:45:41,2015-03-15 15:45:38,,"Bryn,Lawren,Other",,,,,,,,,,Collected,Raw
353,1,2015-03-15,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3385,M,51.705,-128.2384,,,,30,,0.45nm,13,,2015-03-15 09:45:41,2015-03-15 15:45:38,,"Bryn,Lawren,Other",,,,,,,,,,Collected,Raw
353,1,2015-03-15,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3384,M,51.705,-128.2384,,,,50,,0.45nm,13,,2015-03-15 09:45:41,2015-03-15 15:45:38,,"Bryn,Lawren,Other",,,,,,,,,,Collected,Raw
353,1,2015-03-15,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3389,M,51.705,-128.2384,,,,100,,0.45nm,13,,2015-03-15 09:45:41,2015-03-15 15:45:38,,"Bryn,Lawren,Other",,,,,,,,,,Collected,Raw
353,1,2015-03-15,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3400,M,51.705,-128.2384,,,,136,,0.45nm,13,,2015-03-15 09:45:41,2015-03-15 15:45:38,,"Bryn,Lawren,Other",,,,,,,,,,Collected,Raw
465,1,2015-03-22,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3494,M,51.705,-128.2384,,,,0,,0.45nm,13,,2015-03-22 09:45:09,2015-03-22 14:49:35,,"Bryn,Lawren,Nelson,Other",,,,,,,,,,Collected,Raw
465,1,2015-03-22,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3495,M,51.705,-128.2384,,,,5,,0.45nm,13,,2015-03-22 09:45:09,2015-03-22 14:49:35,,"Bryn,Lawren,Nelson,Other",,,,,,,,,,Collected,Raw
465,1,2015-03-22,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3496,M,51.705,-128.2384,,,,10,,0.45nm,13,,2015-03-22 09:45:09,2015-03-22 14:49:35,,"Bryn,Lawren,Nelson,Other",,,,,,,,,,Collected,Raw
465,1,2015-03-22,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3497,M,51.705,-128.2384,,,,30,,0.45nm,13,,2015-03-22 09:45:09,2015-03-22 14:49:35,,"Bryn,Lawren,Nelson,Other",,,,,,,,,,Collected,Raw
465,1,2015-03-22,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3498,M,51.705,-128.2384,,,,50,,0.45nm,13,,2015-03-22 09:45:09,2015-03-22 14:49:35,,"Bryn,Lawren,Nelson,Other",,,,,,,,,,Collected,Raw
465,1,2015-03-22,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3499,M,51.705,-128.2384,,,,100,,0.45nm,13,,2015-03-22 09:45:09,2015-03-22 14:49:35,,"Bryn,Lawren,Nelson,Other",,,,,,,,,,Collected,Raw
465,1,2015-03-22,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3500,M,51.705,-128.2384,,,,123,,0.45nm,13,,2015-03-22 09:45:09,2015-03-22 14:49:35,,"Bryn,Lawren,Nelson,Other",,,,,,,,,,Collected,Raw
638,1,2015-04-05,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3606,M,51.705,-128.2384,,,,0,,0.45nm,13,,2015-04-05 10:42:17,2015-04-05 15:08:52,2015-06-02 00:00:00,"Bryn,Lawren,Nelson,Other",,8.967488301,0.997,14.36812434,,,UBC,1: Not sure which Poms were acidified,uM,Results,Raw
638,1,2015-04-05,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3607,M,51.705,-128.2384,,,,5,,0.45nm,13,,2015-04-05 10:42:17,2015-04-05 15:08:52,2015-06-02 00:00:00,"Bryn,Lawren,Nelson,Other",,8.90148719,1.016,14.27925796,,,UBC,1: Not sure which Poms were acidified,uM,Results,Raw
638,1,2015-04-05,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3608,M,51.705,-128.2384,,,,10,,0.45nm,13,,2015-04-05 10:42:17,2015-04-05 15:08:52,2015-06-02 00:00:00,"Bryn,Lawren,Nelson,Other",,8.959504163,1.032,14.14301561,,,UBC,1: Not sure which Poms were acidified,uM,Results,Raw
638,1,2015-04-05,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3609,M,51.705,-128.2384,,,,30,,0.45nm,13,,2015-04-05 10:42:17,2015-04-05 15:08:52,2015-06-02 00:00:00,"Bryn,Lawren,Nelson,Other",,8.462850877,1.052,13.43216182,,,UBC,1: Not sure which Poms were acidified,uM,Results,Raw
638,1,2015-04-05,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3610,M,51.705,-128.2384,,,,50,,0.45nm,13,,2015-04-05 10:42:17,2015-04-05 15:08:52,2015-06-02 00:00:00,"Bryn,Lawren,Nelson,Other",,7.772696293,0.984,12.78109309,,,UBC,1: Not sure which Poms were acidified,uM,Results,Raw
638,1,2015-04-05,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3611,M,51.705,-128.2384,,,,100,,0.45nm,13,,2015-04-05 10:42:17,2015-04-05 15:08:52,2015-06-02 00:00:00,"Bryn,Lawren,Nelson,Other",,19.33271955,1.652,29.82639891,,,UBC,1: Not sure which Poms were acidified,uM,Results,Raw
638,1,2015-04-05,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3612,M,51.705,-128.2384,,,,122,,0.45nm,13,,2015-04-05 10:42:17,2015-04-05 15:08:52,2015-06-02 00:00:00,"Bryn,Lawren,Nelson,Other",,26.96253312,2.443,45.31817256,,,UBC,1: Not sure which Poms were acidified,uM,Results,Raw
708,1,2015-04-10,CALVERT,HAKAI,QCSD,1,QCS01,,CM017,M,51.705,-128.2384,,,,0,,0.45nm,13,,2015-04-10 00:00:00,,,,,,,,,,,"1: Could not make it to station due to weather2: Station skipped today",,Collected,Raw
708,1,2015-04-10,CALVERT,HAKAI,QCSD,1,QCS01,,CM018,M,51.705,-128.2384,,,,5,,0.45nm,13,,2015-04-10 00:00:00,,,,,,,,,,,"1: Could not make it to station due to weather2: Station skipped today",,Collected,Raw
708,1,2015-04-10,CALVERT,HAKAI,QCSD,1,QCS01,,CM019,M,51.705,-128.2384,,,,10,,0.45nm,13,,2015-04-10 00:00:00,,,,,,,,,,,"1: Could not make it to station due to weather2: Station skipped today",,Collected,Raw
708,1,2015-04-10,CALVERT,HAKAI,QCSD,1,QCS01,,CM020,M,51.705,-128.2384,,,,30,,0.45nm,13,,2015-04-10 00:00:00,,,,,,,,,,,"1: Could not make it to station due to weather2: Station skipped today",,Collected,Raw
708,1,2015-04-10,CALVERT,HAKAI,QCSD,1,QCS01,,CM021,M,51.705,-128.2384,,,,50,,0.45nm,13,,2015-04-10 00:00:00,,,,,,,,,,,"1: Could not make it to station due to weather2: Station skipped today",,Collected,Raw
708,1,2015-04-10,CALVERT,HAKAI,QCSD,1,QCS01,,CM022,M,51.705,-128.2384,,,,100,,0.45nm,13,,2015-04-10 00:00:00,,,,,,,,,,,"1: Could not make it to station due to weather2: Station skipped today",,Collected,Raw
708,1,2015-04-10,CALVERT,HAKAI,QCSD,1,QCS01,,CM023,M,51.705,-128.2384,,,,125,,0.45nm,13,,2015-04-10 00:00:00,,,,,,,,,,,"1: Could not make it to station due to weather2: Station skipped today",,Collected,Raw
915,1,2015-04-25,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3807,M,51.705,-128.2384,,,,0,,0.45nm,13,,2015-04-25 10:18:42,2015-04-25 15:03:23,2015-05-29 00:00:00,"Bryn,Lawren,Nelson",,5.050520598,0.509324705,8.611803577,,,UBC,,uM,Results,Raw
915,1,2015-04-25,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3804,M,51.705,-128.2384,,,,5,,0.45nm,13,,2015-04-25 10:18:42,2015-04-25 15:03:23,2015-06-02 00:00:00,"Bryn,Lawren,Nelson",,5.203329892,0.572,8.023713142,,,UBC,,uM,Results,Raw
915,1,2015-04-25,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3821,M,51.705,-128.2384,,,,10,,0.45nm,13,,2015-04-25 10:18:42,2015-04-25 15:03:23,2015-05-29 00:00:00,"Bryn,Lawren,Nelson",,6.210026546,0.63878829,8.569343123,,,UBC,,uM,Results,Raw
915,1,2015-04-25,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3822,M,51.705,-128.2384,,,,30,,0.45nm,13,,2015-04-25 10:18:42,2015-04-25 15:03:23,2015-05-29 00:00:00,"Bryn,Lawren,Nelson",,9.835278328,0.999320226,15.39632306,,,UBC,,uM,Results,Raw
915,1,2015-04-25,CALVERT,HAKAI,QCSD,1,QCS01,,NUT3823,M,51.705,-128.2384,,,,50,,0.45nm,13,,2015-04-25 10:18:42,2015-04-25 15:03:23,2015-05-29 00:00:00,"Bryn,Lawren,Nelson",,5.53074076,0.708403055,9.7735045,,,UBC,,uM,Results,Raw
